Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,HOU,ORL,1,-30,21.33,10,3,7,1,1,2,1,5,2,0,0,4,2,8,-34
2023-10-27,HOU,SAS,1,-4,12.8,4,2,1,0,0,2,0,1,3,0,1,1,1,4,1
2023-10-29,HOU,GSW,0,-11,19.53,5,3,2,1,2,2,0,4,0,1,0,0,3,9,2
2023-11-01,HOU,CHO,0,9,13.22,3,1,1,0,2,2,0,1,1,1,0,1,3,4,10
2023-12-11,HOU,SAS,0,11,10.35,2,1,1,0,0,0,2,5,1,0,0,0,1,2,7
2023-12-20,HOU,ATL,0,-7,8.43,2,1,0,0,0,0,0,2,0,0,0,0,1,2,-10
2023-12-22,HOU,DAL,0,26,21.63,9,4,2,0,1,2,0,6,4,1,0,3,4,9,-3
2023-12-23,HOU,NOP,1,2,10.48,1,0,1,0,2,4,0,0,0,1,0,0,0,2,3
2023-12-26,HOU,IND,0,-6,12.45,5,3,0,0,1,1,2,4,0,2,0,1,1,7,9
2023-12-27,HOU,PHO,0,-16,17.08,6,1,1,0,0,0,2,4,3,0,1,0,2,2,2
2023-12-29,HOU,PHI,0,-4,8.67,1,0,0,0,1,2,1,3,1,0,0,0,1,1,0
2024-01-01,HOU,DET,0,23,28.43,6,5,1,1,1,1,1,4,6,2,0,2,3,12,10
2024-01-03,HOU,BRK,0,11,19.87,7,3,3,1,3,7,0,6,1,0,0,1,1,10,0
2024-01-05,HOU,MIN,0,-27,19.62,9,2,2,0,2,3,1,6,1,3,0,2,3,6,-20
2024-01-06,HOU,MIL,0,4,15.65,3,2,1,0,0,0,1,3,5,0,0,1,2,4,7
2024-01-08,HOU,MIA,1,-7,11.05,2,1,0,0,3,3,0,2,1,1,1,2,3,5,-5
2024-01-10,HOU,CHI,1,-5,13.6,7,3,3,0,0,0,0,2,3,1,0,2,2,6,3
2024-01-12,HOU,DET,1,2,7.82,2,1,0,0,0,0,0,1,2,1,0,0,0,2,-8
2024-01-13,HOU,BOS,1,-32,24.92,10,3,0,0,4,4,3,10,3,3,0,4,0,10,-14
2024-01-15,HOU,PHI,1,-9,19.27,8,7,1,0,0,1,2,3,0,1,0,1,2,14,-5
2024-01-17,HOU,NYK,1,-15,10.15,3,2,0,0,0,0,0,1,1,1,2,0,2,4,-5
2024-01-20,HOU,UTA,0,1,18.47,6,2,1,0,2,2,4,8,2,2,2,0,3,6,8
2024-01-21,HOU,BOS,0,-9,31.97,10,5,2,0,5,6,3,14,5,1,0,2,3,15,-8
2024-01-24,HOU,POR,0,-6,14.32,5,3,0,0,0,0,1,3,2,0,1,0,3,6,4
2024-01-26,HOU,CHO,1,34,22.73,6,4,1,1,4,6,2,6,8,2,0,1,2,13,25
2024-01-27,HOU,BRK,1,-2,15.4,3,2,2,1,0,0,1,4,2,3,2,2,3,5,-1
2024-01-29,HOU,LAL,0,16,11.9,1,0,0,0,0,0,1,7,3,1,0,5,3,0,-3
2024-01-31,HOU,NOP,0,-11,17.17,6,3,1,0,4,4,2,6,0,1,0,0,3,10,-5
2024-02-02,HOU,TOR,0,29,24.15,11,9,1,0,1,2,1,7,4,2,1,2,3,19,27
2024-02-04,HOU,MIN,1,-21,19.68,7,2,0,0,4,6,3,7,2,1,0,0,1,8,-11
2024-02-06,HOU,IND,1,-3,33.88,12,6,2,0,1,4,7,13,6,0,3,3,3,13,-7
2024-02-09,HOU,TOR,1,-3,31.73,5,4,0,0,0,0,2,9,4,1,0,6,4,8,-11
