Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,GSW,PHO,0,-4,27.28,12,4,3,0,2,3,1,1,0,0,1,0,3,10,-22
2023-10-27,GSW,SAC,1,8,26.92,13,5,3,0,1,2,1,5,3,0,2,2,4,11,2
2023-10-29,GSW,HOU,1,11,28.2,10,4,3,1,4,5,0,0,0,0,0,2,2,13,-4
2023-10-30,GSW,NOP,1,28,20.45,8,4,2,1,0,2,1,3,0,0,0,3,2,9,10
2023-11-01,GSW,SAC,0,1,25.3,10,6,1,0,2,2,0,2,0,0,0,1,2,14,-5
2023-11-03,GSW,OKC,1,2,26.53,11,6,1,0,5,8,4,5,1,0,0,0,1,17,-14
2023-11-05,GSW,CLE,1,-11,26.15,9,3,2,1,1,4,3,5,1,0,0,0,1,8,-5
2023-11-06,GSW,DET,1,11,21.57,9,2,2,0,0,2,3,6,1,1,1,2,0,4,-4
2023-11-08,GSW,DEN,1,-3,28.6,13,4,3,0,3,4,3,5,0,0,0,1,3,11,-6
2023-11-11,GSW,CLE,0,-8,29.13,12,6,4,1,0,2,3,5,3,0,0,3,2,13,-13
2023-11-12,GSW,MIN,0,-6,25.43,7,3,2,0,0,2,2,4,2,1,0,1,4,6,-13
2023-11-14,GSW,MIN,0,-3,27.62,15,4,7,1,0,0,2,7,0,3,1,4,5,9,2
2023-11-16,GSW,OKC,0,-19,26.27,13,6,4,0,0,0,4,6,2,0,0,5,2,12,-2
2023-11-18,GSW,OKC,0,-7,34.65,19,12,8,5,2,4,0,0,3,1,1,0,4,31,6
2023-11-20,GSW,HOU,0,5,30.0,10,3,3,2,4,4,4,7,1,0,0,0,2,12,-3
2023-11-22,GSW,PHO,1,-8,25.3,11,4,3,0,3,4,2,4,1,0,1,2,1,11,-14
2023-11-24,GSW,SAS,0,6,24.67,10,4,4,2,0,0,0,4,0,0,0,3,3,10,-1
2023-11-28,GSW,SAC,1,-1,35.92,18,11,5,2,5,6,2,10,3,0,0,3,5,29,-1
2023-12-06,GSW,POR,0,4,27.4,12,3,1,0,3,3,1,3,1,0,0,1,1,9,6
2023-12-08,GSW,OKC,1,-2,32.27,11,4,4,2,2,2,2,6,1,0,0,6,3,12,-1
2023-12-12,GSW,PHO,1,-3,14.67,7,1,3,1,0,0,2,4,1,0,0,3,1,3,-19
2023-12-14,GSW,LAC,1,-8,21.93,9,4,4,0,1,2,2,3,0,0,1,0,5,9,-7
2023-12-16,GSW,BRK,0,4,26.53,9,4,1,1,5,5,2,5,1,1,0,0,0,14,0
2023-12-17,GSW,POR,1,4,29.33,12,9,6,4,3,4,0,7,2,1,1,0,2,25,-3
2023-12-19,GSW,BOS,0,6,21.57,11,2,1,0,2,2,5,7,1,0,0,0,1,6,-10
2023-12-25,GSW,DEN,1,-6,28.82,11,7,4,2,6,6,1,3,2,0,1,2,5,22,18
2023-12-28,GSW,MIA,0,-12,25.93,11,4,3,0,3,4,1,2,4,0,0,1,2,11,5
2023-12-30,GSW,DAL,0,-10,27.93,13,5,3,1,3,3,3,5,4,1,1,0,2,14,-1
2024-01-02,GSW,ORL,0,6,21.33,7,4,3,1,1,3,0,3,0,2,0,1,1,10,-3
