Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MIN,TOR,1,-3,38.3,27,8,7,4,6,6,5,14,1,0,0,2,1,26,0
2023-10-28,MIN,MIA,0,16,33.37,15,7,5,3,2,2,0,2,7,0,0,2,3,19,21
2023-10-30,MIN,ATL,1,-14,37.78,21,13,8,5,0,1,0,5,7,1,0,5,4,31,-9
2023-11-01,MIN,DEN,0,21,31.83,16,8,4,1,7,8,0,2,1,2,0,4,1,24,11
2023-11-04,MIN,UTA,0,28,35.73,19,13,4,2,3,5,0,8,6,1,0,6,0,31,27
2023-11-06,MIN,BOS,0,5,38.13,25,15,8,2,6,7,0,9,7,1,0,3,5,38,18
2023-11-08,MIN,NOP,0,21,33.07,22,10,8,2,4,5,0,3,8,3,2,3,1,26,35
2023-11-10,MIN,SAS,1,7,37.12,21,9,8,2,8,11,2,7,5,2,1,4,1,28,3
2023-11-12,MIN,GSW,1,6,37.77,27,11,9,1,10,10,1,6,7,2,0,4,0,33,15
2023-11-14,MIN,GSW,1,3,36.3,16,7,6,3,3,5,0,4,4,3,0,5,1,20,-9
2023-11-15,MIN,PHO,1,-18,30.52,16,4,3,1,4,4,1,4,4,1,1,1,0,13,-29
2023-11-18,MIN,NOP,1,1,30.13,19,9,10,5,0,0,0,3,4,0,0,3,6,23,13
2023-11-20,MIN,NYK,0,17,39.13,21,9,6,1,4,4,2,10,5,2,0,3,1,23,9
2023-11-22,MIN,PHI,0,13,35.8,22,11,9,5,4,4,2,6,6,2,0,2,2,31,19
2023-11-24,MIN,SAC,0,-13,39.53,21,8,9,2,17,18,0,7,5,2,2,4,2,35,5
2023-11-26,MIN,MEM,1,22,33.98,14,8,4,1,7,7,0,5,7,0,1,2,3,24,23
2023-11-28,MIN,OKC,0,3,28.02,16,7,6,3,4,6,0,5,1,0,1,2,2,21,0
2023-12-06,MIN,SAS,0,8,36.88,17,4,5,2,7,8,1,7,6,1,1,3,2,17,14
2023-12-08,MIN,MEM,1,24,3.72,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-3
2023-12-14,MIN,DAL,1,18,34.57,19,3,3,0,3,6,1,2,11,2,0,5,2,9,20
2023-12-16,MIN,IND,0,18,33.63,23,14,10,7,2,2,0,2,4,3,0,4,3,37,17
2023-12-18,MIN,MIA,1,4,39.98,25,13,9,2,4,4,0,8,5,3,2,1,1,32,6
2023-12-20,MIN,PHI,1,-14,36.27,20,9,6,2,7,8,1,7,5,0,0,1,2,27,-10
2023-12-21,MIN,LAL,0,7,38.3,19,9,6,2,7,8,0,7,5,3,1,5,0,27,2
2023-12-23,MIN,SAC,1,12,39.08,27,13,12,3,5,5,0,5,10,1,1,5,1,34,8
2023-12-26,MIN,OKC,1,-23,34.1,16,7,5,2,9,13,1,7,6,1,0,4,3,25,-17
2023-12-28,MIN,DAL,0,8,37.87,23,12,11,6,14,18,0,3,4,3,1,6,2,44,11
2023-12-30,MIN,LAL,0,2,38.15,23,10,8,2,9,11,0,3,3,0,3,3,3,31,8
2024-01-01,MIN,NYK,1,-6,37.52,21,11,9,4,9,10,0,4,2,0,2,4,1,35,2
