Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-26,MIL,PHI,0,1,19.07,8,5,0,0,0,4,2,6,2,0,1,0,3,10,-10
2023-10-29,MIL,ATL,0,-17,21.02,10,5,2,0,2,2,1,4,2,0,0,3,2,12,-5
2023-10-30,MIL,MIA,0,8,18.62,10,7,2,0,2,2,2,8,2,2,1,0,3,16,18
2023-11-01,MIL,TOR,1,-19,18.7,6,2,1,0,6,9,1,6,1,2,0,1,1,10,-7
2023-11-03,MIL,NYK,0,5,16.55,10,2,2,0,0,0,0,2,0,2,0,0,1,4,-2
2023-11-06,MIL,BRK,1,4,25.78,8,3,2,1,4,4,0,6,2,2,0,1,2,11,14
2023-11-08,MIL,DET,0,2,22.93,14,7,4,1,3,3,2,5,2,0,0,2,1,18,-5
2023-11-09,MIL,IND,1,-2,24.2,11,5,2,0,1,1,0,8,2,1,1,3,2,11,6
2023-11-11,MIL,ORL,1,-15,27.62,11,4,5,2,3,4,1,7,1,2,0,2,4,13,-6
2023-11-13,MIL,CHI,0,9,25.47,10,7,6,3,2,2,2,10,2,0,1,0,3,19,24
2023-11-15,MIL,TOR,1,16,30.72,11,7,3,2,2,2,1,7,0,0,2,0,5,18,15
2023-11-17,MIL,CHO,1,31,29.68,12,6,3,1,0,0,0,7,1,1,0,3,1,13,4
2023-11-18,MIL,DAL,0,7,21.88,10,5,2,1,0,0,1,7,2,0,0,0,0,11,7
2023-11-20,MIL,WAS,1,13,23.33,13,8,3,1,0,0,1,8,1,1,0,1,2,17,13
2023-11-22,MIL,BOS,1,-3,20.8,6,2,0,0,0,0,1,7,0,0,0,0,2,4,-4
2023-11-24,MIL,WAS,0,3,24.68,5,1,1,0,0,0,2,6,1,0,1,0,3,2,3
2023-11-26,MIL,POR,0,6,30.68,12,5,5,2,0,0,6,8,1,2,3,2,3,12,3
2023-11-28,MIL,MIA,1,7,22.75,8,3,2,0,0,0,0,2,0,0,0,0,2,6,-12
2023-11-30,MIL,CHI,1,-7,31.22,8,2,2,0,0,0,1,9,2,2,0,0,3,4,-14
2023-12-02,MIL,ATL,0,11,22.68,13,7,4,1,0,0,2,11,0,0,0,0,3,15,9
2023-12-05,MIL,NYK,0,24,23.7,9,5,3,1,2,2,2,4,1,0,2,1,4,13,-7
2023-12-07,MIL,IND,0,-9,17.78,5,2,1,0,0,0,4,6,1,0,1,1,2,4,-6
2023-12-11,MIL,CHI,0,4,24.85,11,7,3,1,2,2,2,7,0,0,0,1,3,17,-4
2023-12-13,MIL,IND,0,14,22.97,13,8,4,3,0,0,1,2,2,0,0,0,2,19,16
2023-12-16,MIL,DET,0,32,26.65,18,11,7,4,5,5,3,12,1,1,0,4,3,31,24
2023-12-17,MIL,HOU,0,9,24.93,7,5,2,1,0,0,4,6,0,0,0,0,3,11,7
2023-12-19,MIL,SAS,0,13,26.32,16,10,6,3,0,0,1,10,2,2,0,0,3,23,4
2023-12-21,MIL,ORL,0,4,21.4,8,3,2,0,0,0,5,8,1,1,1,0,1,6,-18
