Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,IND,WAS,0,23,27.2,11,8,8,6,2,2,1,3,1,1,0,1,3,24,15
2023-10-28,IND,CLE,1,12,32.18,8,3,1,0,0,0,0,4,2,1,0,0,3,6,0
2023-10-30,IND,CHI,0,-7,36.95,12,6,6,3,0,0,2,7,1,1,0,3,2,15,-13
2023-11-01,IND,BOS,1,-51,20.87,6,1,3,0,1,2,0,1,1,1,0,0,1,3,-25
2023-11-03,IND,CLE,0,5,37.4,15,8,6,3,0,0,1,7,2,0,0,2,2,19,9
2023-11-04,IND,CHO,0,-1,31.73,8,3,4,1,0,0,0,1,6,2,0,0,3,7,7
2023-11-06,IND,SAS,0,41,23.73,7,3,3,1,0,0,0,5,4,0,0,0,1,7,21
2023-11-08,IND,UTA,0,16,32.35,11,4,4,1,0,0,0,4,0,2,1,2,2,9,13
2023-11-09,IND,MIL,0,2,37.7,9,3,4,1,4,4,2,9,7,2,1,2,0,11,15
2023-11-12,IND,PHI,1,-11,31.2,5,3,1,0,3,4,2,4,3,0,2,0,1,9,-6
2023-11-14,IND,PHI,1,6,35.8,11,5,2,0,4,4,0,5,3,1,0,0,4,14,9
2023-11-19,IND,ORL,0,-12,21.88,7,4,2,1,2,2,0,5,1,0,1,1,3,11,-20
2023-11-21,IND,ATL,1,5,30.47,10,5,5,2,1,2,0,0,3,2,0,2,4,13,-1
2023-11-22,IND,TOR,0,-1,34.47,9,5,4,1,3,3,0,4,3,2,0,3,4,14,8
2023-11-24,IND,DET,0,23,36.88,10,3,3,0,4,5,0,4,5,3,0,0,3,10,26
2023-11-27,IND,POR,0,-4,32.7,10,5,5,1,0,0,0,3,3,2,0,2,4,11,2
2023-11-30,IND,MIA,1,-10,32.28,9,5,2,0,5,7,1,6,3,0,0,0,1,15,-6
2023-12-02,IND,MIA,1,15,36.73,16,11,6,4,4,5,0,4,2,0,0,1,0,30,20
2023-12-04,IND,BOS,0,10,35.8,10,3,3,1,6,7,0,8,4,3,0,3,4,13,2
2023-12-07,IND,MIL,1,9,28.12,9,3,1,0,4,4,0,3,1,1,0,1,2,10,-5
2023-12-11,IND,DET,1,8,37.27,11,4,4,0,3,4,3,9,0,2,0,1,3,11,8
2023-12-13,IND,MIL,1,-14,27.15,10,4,3,0,1,4,3,8,9,2,0,1,2,9,2
2023-12-15,IND,WAS,1,-14,22.98,7,2,2,0,0,0,0,2,1,1,0,1,4,4,-5
2023-12-16,IND,MIN,1,-18,27.05,14,8,3,1,0,0,1,5,2,0,1,3,1,17,-20
2023-12-18,IND,LAC,0,-24,20.32,11,4,4,0,3,3,3,4,3,1,0,2,4,11,-26
2023-12-20,IND,CHO,0,31,28.42,6,3,1,0,0,0,0,5,6,0,0,0,3,6,34
2023-12-21,IND,MEM,1,-13,27.95,4,1,1,0,2,2,1,4,2,0,1,0,4,4,-6
2024-01-03,IND,MIL,0,12,28.4,7,5,1,0,5,6,0,5,2,0,0,4,6,15,4
2024-01-05,IND,ATL,0,34,22.25,9,8,1,1,0,0,0,3,2,0,0,2,1,17,25
2024-01-08,IND,BOS,0,2,20.5,6,1,1,1,4,4,0,2,2,1,0,0,1,7,1
2024-01-10,IND,WAS,0,8,27.22,11,5,2,1,5,5,0,9,6,1,1,0,2,16,-3
2024-01-12,IND,ATL,1,18,21.15,9,5,3,2,0,0,0,1,4,0,0,2,0,12,8
2024-01-14,IND,DEN,1,-8,33.45,16,8,2,1,1,3,5,10,6,3,0,2,3,18,-13
2024-01-18,TOR,CHI,0,-6,24.92,10,7,3,1,0,0,2,7,1,1,0,0,4,15,11
2024-01-20,TOR,NYK,1,-26,22.07,8,3,2,0,2,2,1,3,0,1,1,2,2,8,-15
2024-01-22,TOR,MEM,0,-8,21.05,5,3,2,1,0,0,0,3,2,0,0,2,3,7,-1
2024-01-26,TOR,LAC,0,-20,31.58,8,4,2,1,0,0,2,9,2,0,1,3,3,9,-9
2024-01-28,TOR,ATL,1,-1,36.77,12,4,2,1,2,2,4,9,2,2,1,0,4,11,-22
2024-01-30,TOR,CHI,1,11,37.62,13,7,3,1,4,4,1,7,3,3,2,2,3,19,18
2024-02-02,TOR,HOU,1,-29,25.72,9,2,2,1,0,0,1,5,4,2,2,1,1,5,-13
2024-02-04,TOR,OKC,1,-8,17.72,4,0,1,0,2,2,0,0,2,0,0,0,0,2,2
2024-02-05,TOR,NOP,1,-38,26.1,7,4,3,1,0,0,1,3,3,0,0,1,0,9,-31
2024-02-07,TOR,CHO,1,6,21.55,5,4,0,0,4,4,0,3,4,1,0,0,3,12,8
2024-02-09,TOR,HOU,0,3,22.33,13,5,2,0,1,1,2,3,0,1,0,1,2,11,-13
2024-02-10,TOR,CLE,0,-24,19.88,5,1,2,0,0,0,0,2,0,0,0,1,1,2,-21
2024-02-12,TOR,SAS,0,-23,31.03,8,5,2,1,1,1,1,5,4,1,0,1,1,12,-14
2024-02-14,TOR,IND,0,-2,26.38,9,5,1,0,2,2,0,3,3,1,0,1,3,12,-7
2024-02-22,TOR,BRK,0,28,24.83,5,1,3,0,4,4,0,1,4,0,0,0,2,6,4
2024-02-23,TOR,ATL,1,2,31.9,9,5,2,1,1,1,0,3,3,0,1,0,1,12,-1
2024-02-26,TOR,IND,1,8,16.38,4,1,1,0,0,0,0,1,1,0,0,1,1,2,-8
2024-02-28,TOR,DAL,0,-11,21.13,5,0,2,0,5,5,3,8,3,0,0,0,2,5,-12
2024-03-01,TOR,GSW,0,-15,22.95,5,2,2,0,0,0,0,2,1,0,0,2,1,4,-1
2024-03-11,TOR,DEN,1,-6,37.62,14,5,3,1,2,2,1,10,3,0,0,2,2,13,-8
2024-03-13,TOR,DET,1,-9,33.0,12,8,0,0,1,2,0,4,5,2,1,0,2,17,-16
2024-03-15,TOR,ORL,0,-10,29.77,8,5,3,2,0,0,0,4,5,1,0,2,2,12,-5
2024-03-17,TOR,ORL,1,-15,22.72,6,3,1,0,6,6,0,0,4,0,0,2,2,12,0
2024-03-20,TOR,SAC,0,-34,25.77,8,3,1,0,3,3,2,5,6,1,0,4,1,9,-22
2024-03-22,TOR,OKC,0,-20,28.1,8,4,2,1,1,2,0,3,5,0,0,2,2,10,-19
2024-03-23,TOR,WAS,1,-3,32.5,13,5,1,0,1,3,5,6,3,1,0,3,1,11,-6
2024-03-25,TOR,BRK,0,-8,21.78,7,4,1,1,1,2,0,2,1,1,0,2,2,10,-5
2024-03-27,TOR,NYK,0,-44,20.22,3,1,2,1,0,0,0,0,1,0,0,2,1,3,-19
2024-03-31,TOR,PHI,0,-15,33.88,9,7,4,3,1,2,1,4,6,2,0,2,4,18,-13
2024-04-02,TOR,LAL,0,-17,28.12,6,2,2,0,1,1,1,6,1,2,0,1,3,5,-12
2024-04-07,TOR,WAS,0,8,19.68,7,4,2,0,1,2,0,2,1,1,0,0,3,9,-7
2024-04-09,TOR,IND,0,-17,27.77,12,7,1,0,2,4,0,3,5,0,0,2,0,16,-16
2024-04-12,TOR,MIA,1,-22,21.5,6,5,2,2,2,2,0,4,4,0,0,2,3,14,-22
2024-04-14,TOR,MIA,1,-15,20.42,5,3,1,0,0,1,0,0,0,0,0,1,2,6,-16
