Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-01,MIL,TOR,1,-19,5.52,2,2,1,1,0,0,0,0,1,0,0,0,0,5,6
2023-11-11,MIL,ORL,1,-15,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2023-12-05,MIL,NYK,0,24,2.48,1,0,0,0,0,0,1,2,0,1,0,1,0,0,4
2023-12-16,MIL,DET,0,32,9.05,1,1,0,0,0,0,0,3,0,0,0,0,2,2,0
2023-12-17,MIL,HOU,0,9,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2023-12-23,MIL,NYK,1,19,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-27,MIL,BRK,1,22,1.38,1,1,0,0,0,0,0,1,1,0,0,0,0,2,6
2024-01-03,MIL,IND,1,-12,1.93,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
2024-01-08,MIL,UTA,0,-16,14.65,5,2,0,0,2,2,1,2,0,1,0,1,1,6,0
2024-01-11,MIL,BOS,0,33,8.9,1,1,0,0,0,0,0,2,1,0,0,1,0,2,-2
2024-01-13,MIL,GSW,0,11,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-17,MIL,CLE,1,-40,8.63,1,0,0,0,0,0,0,1,0,0,0,0,2,0,-6
2024-01-27,MIL,NOP,0,24,1.78,1,0,0,0,0,0,0,1,0,0,0,0,2,0,-3
2024-02-04,MIL,UTA,1,-15,0.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,MIL,DEN,0,17,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6
2024-02-27,MIL,CHO,0,38,6.43,2,0,2,0,0,0,0,1,1,0,0,1,4,0,-10
2024-03-24,MIL,OKC,0,25,3.22,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1
2024-04-07,MIL,NYK,0,-13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-04-09,MIL,BOS,0,13,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-10,MIL,ORL,0,18,3.02,1,0,1,0,1,2,0,1,0,0,0,0,1,1,-9
2024-04-12,MIL,OKC,1,-18,14.07,3,3,0,0,0,0,1,5,0,0,0,1,3,6,-1
