Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAC,UTA,1,16,1.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2
2023-10-27,SAC,GSW,0,-8,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023-11-01,SAC,GSW,1,-1,17.15,4,2,0,0,0,0,1,3,1,1,1,0,3,4,-5
2023-11-04,SAC,HOU,1,-18,18.12,7,2,4,1,0,0,1,3,0,0,0,3,1,5,0
2023-11-06,SAC,HOU,1,-25,12.87,6,4,0,0,2,2,3,5,1,0,0,0,1,10,4
2023-11-13,SAC,CLE,0,12,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2023-11-19,SAC,DAL,1,16,3.93,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-3
2023-11-20,SAC,NOP,1,-36,13.72,8,4,2,0,0,1,0,1,0,1,0,0,2,8,-1
2023-11-29,SAC,LAC,0,-14,1.3,2,1,1,0,0,0,1,1,0,0,0,1,0,2,0
2023-12-11,SAC,BRK,0,13,1.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
2023-12-18,SAC,WAS,0,12,3.63,3,1,0,0,0,0,1,1,0,0,0,0,1,2,-6
2023-12-23,SAC,MIN,0,-12,2.35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2024-01-07,SAC,NOP,0,-33,10.4,5,2,2,0,0,0,0,1,4,1,0,0,1,4,12
2024-01-10,SAC,CHO,1,25,13.9,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1
2024-01-12,SAC,PHI,1,-19,8.8,4,0,1,0,0,0,1,3,3,1,0,1,3,0,6
2024-02-05,SAC,CLE,1,-26,3.23,1,0,0,0,0,2,1,1,0,0,0,0,0,0,-2
2024-02-09,SAC,DEN,0,29,7.12,3,1,0,0,0,0,0,3,1,0,0,0,1,2,0
2024-03-12,SAC,MIL,0,35,4.82,2,1,0,0,0,0,0,1,1,0,0,0,0,2,5
2024-03-13,SAC,LAL,0,13,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-20,SAC,TOR,1,34,7.87,2,0,2,0,0,0,1,1,1,0,0,1,2,0,-1
2024-03-25,SAC,PHI,0,12,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2024-03-26,SAC,DAL,0,-36,5.48,3,1,0,0,0,0,2,2,2,0,0,0,1,2,-7
2024-03-31,SAC,UTA,0,21,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-04-02,SAC,LAC,0,14,1.17,1,1,0,0,0,0,1,2,0,0,0,0,0,2,-2
2024-04-04,SAC,NYK,1,-11,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-04-05,SAC,BOS,1,-1,5.82,2,1,0,0,0,0,1,3,0,0,1,0,3,2,17
2024-04-07,SAC,BRK,1,30,23.22,9,3,6,1,0,2,1,4,4,3,2,1,3,7,17
2024-04-09,SAC,OKC,1,-7,8.83,2,0,1,0,2,2,1,1,1,0,0,1,3,2,-3
2024-04-11,SAC,NOP,0,-12,2.82,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-15
2024-04-14,SAC,POR,0,39,4.28,3,3,0,0,2,2,0,1,1,0,1,0,0,8,1
