Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,LAL,DEN,1,-12,36.18,12,4,5,2,1,2,0,4,7,1,0,3,3,11,1
2023-10-26,LAL,PHO,0,5,33.08,16,6,7,1,1,1,0,4,5,2,1,3,2,14,8
2023-10-29,LAL,SAC,1,-5,40.63,13,5,5,1,6,7,0,3,9,0,0,0,4,17,-7
2023-10-30,LAL,ORL,0,3,36.37,14,10,6,3,5,5,0,2,8,1,1,3,4,28,7
2023-11-01,LAL,LAC,0,5,36.22,19,10,7,3,4,4,0,2,6,0,0,3,2,27,3
2023-11-04,LAL,ORL,1,-19,34.7,17,4,10,1,2,2,2,4,4,0,0,1,2,11,-17
2023-11-06,LAL,MIA,1,-1,28.7,10,6,3,1,0,0,0,4,6,0,1,3,2,13,-4
2023-11-08,LAL,HOU,1,-34,27.58,18,9,7,4,0,0,0,2,4,0,3,1,1,22,-18
2023-11-10,LAL,PHO,1,3,28.87,12,6,3,0,7,9,0,3,9,0,1,1,4,19,1
2023-11-12,LAL,POR,0,6,31.88,14,5,3,0,1,2,1,5,11,1,0,1,2,11,4
2023-11-14,LAL,MEM,0,27,26.58,12,8,8,6,2,3,0,3,5,0,0,0,0,24,25
2023-11-15,LAL,SAC,0,-15,34.73,20,12,6,4,0,0,3,5,5,0,1,2,3,28,-13
2023-11-17,LAL,POR,1,12,28.83,10,5,7,4,0,1,1,3,6,0,0,4,1,14,2
2023-11-19,LAL,HOU,0,1,24.48,8,1,5,1,1,2,0,5,2,3,0,3,1,4,-7
2023-11-21,LAL,UTA,0,32,26.28,9,7,4,3,3,5,0,3,8,0,1,0,2,20,30
2023-11-22,LAL,DAL,0,-3,24.4,11,5,4,2,3,3,0,3,5,0,1,1,1,15,1
2023-11-25,LAL,CLE,1,6,31.95,12,4,6,2,0,0,0,5,5,2,0,4,3,10,3
2023-11-27,LAL,PHI,1,-44,24.4,10,5,2,1,1,2,0,2,7,0,0,0,0,12,-8
