Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAC,UTA,1,16,13.82,3,0,2,0,0,0,0,3,4,0,0,1,3,0,4
2023-10-27,SAC,GSW,0,-8,10.85,2,0,1,0,0,0,0,0,0,1,0,2,1,0,-8
2023-10-29,SAC,LAL,0,5,15.5,4,2,2,1,0,0,0,2,2,0,0,0,4,5,-17
2023-11-01,SAC,GSW,1,-1,29.53,9,5,6,3,0,0,0,3,4,3,0,2,1,13,-3
2023-11-04,SAC,HOU,1,-18,26.45,7,3,4,1,0,0,0,3,5,0,1,1,3,7,-13
2023-11-06,SAC,HOU,1,-25,27.4,11,2,5,1,0,0,1,1,2,0,1,0,2,5,-30
2023-11-08,SAC,POR,0,3,27.5,9,6,4,3,1,1,0,0,4,0,0,2,4,16,3
2023-11-10,SAC,OKC,0,7,16.55,6,1,6,1,0,0,0,1,1,0,0,0,1,3,1
2023-11-19,SAC,DAL,1,16,8.53,3,0,1,0,0,0,0,0,1,0,0,2,0,0,1
2023-11-20,SAC,NOP,1,-36,19.27,2,0,2,0,2,2,0,0,8,0,0,1,1,2,-4
2023-11-22,SAC,NOP,1,-5,9.95,0,0,0,0,2,2,0,1,2,0,0,0,0,2,9
2023-11-24,SAC,MIN,1,13,9.1,2,2,1,1,0,0,0,0,1,0,0,1,1,5,-6
2023-11-28,SAC,GSW,0,1,9.0,4,1,2,0,2,2,0,0,0,1,0,0,2,4,-14
2023-11-29,SAC,LAC,0,-14,13.37,7,3,5,1,2,2,0,3,3,0,0,1,0,9,-5
2023-12-08,SAC,PHO,1,8,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2023-12-11,SAC,BRK,0,13,2.65,1,0,1,0,0,0,1,1,1,0,0,0,0,0,-7
2023-12-12,SAC,LAC,1,-20,14.6,3,0,1,0,1,2,0,0,2,0,0,0,1,1,-14
2023-12-16,SAC,UTA,0,21,18.45,5,2,1,0,0,0,0,0,1,0,0,0,3,4,-8
2023-12-18,SAC,WAS,0,12,3.63,2,1,0,0,0,0,0,1,1,0,0,0,0,2,-6
2023-12-20,SAC,BOS,0,-25,4.7,1,0,0,0,0,2,0,0,1,0,0,0,0,0,-4
2023-12-22,SAC,PHO,0,15,2.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-6
2023-12-26,SAC,POR,1,-17,1.93,3,1,2,0,0,0,0,1,0,0,0,0,0,2,2
2023-12-29,SAC,ATL,1,7,13.02,3,1,1,0,0,0,1,1,2,0,0,0,2,2,-1
2023-12-31,SAC,MEM,1,31,14.32,4,4,0,0,0,0,0,2,4,0,0,0,2,8,11
2024-01-02,SAC,CHO,0,-7,14.47,3,1,1,1,1,2,0,1,0,0,0,1,1,4,-4
2024-01-03,SAC,ORL,0,3,13.95,3,1,2,0,0,0,0,1,3,0,0,2,0,2,6
2024-01-05,SAC,TOR,0,5,10.52,8,3,4,1,0,0,0,1,2,0,0,0,0,7,6
2024-01-07,SAC,NOP,0,-33,10.45,2,0,2,0,0,0,0,0,0,1,0,0,1,0,-12
2024-01-09,SAC,DET,1,21,1.28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2024-01-10,SAC,CHO,1,25,4.52,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2024-01-12,SAC,PHI,1,-19,5.77,3,2,0,0,0,0,0,0,0,0,0,0,0,4,3
2024-01-22,SAC,ATL,0,15,22.07,7,2,2,0,1,1,1,2,2,0,0,0,1,5,12
2024-01-25,SAC,GSW,1,1,15.32,5,3,5,3,1,2,1,2,4,0,0,0,2,10,13
2024-01-27,SAC,DAL,1,5,10.63,0,0,0,0,0,0,0,2,1,0,0,1,2,0,-13
2024-01-29,SAC,MEM,1,9,16.48,4,2,3,1,0,0,0,0,0,2,0,2,2,5,4
2024-01-31,SAC,MIA,1,-9,12.02,2,1,0,0,1,1,0,1,1,0,0,1,1,3,-2
2024-02-02,SAC,IND,1,11,16.42,5,2,2,0,0,0,0,2,1,1,0,1,0,4,-1
2024-02-03,SAC,CHI,1,8,13.85,2,1,1,0,2,2,0,2,4,0,0,1,1,4,-1
2024-02-05,SAC,CLE,1,-26,9.35,3,1,1,0,0,0,0,0,3,0,0,0,1,2,-12
