Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BRK,CLE,0,-1,27.8,8,4,6,2,0,1,1,5,2,0,0,3,1,10,7
2023-10-27,BRK,DAL,1,-5,32.08,8,4,7,4,0,0,1,7,3,0,0,2,5,12,-15
2023-10-30,BRK,CHO,1,12,31.25,12,7,9,4,1,2,1,7,1,1,2,1,0,19,5
2023-11-01,BRK,MIA,1,4,29.83,10,6,5,3,0,0,0,3,2,0,0,1,3,15,-20
2023-11-03,BRK,CHI,1,2,32.75,14,8,9,5,0,0,2,3,0,0,1,0,1,21,-8
2023-11-04,BRK,BOS,0,-10,36.77,10,5,9,4,0,0,4,8,1,0,0,0,3,14,-19
2023-11-06,BRK,MIL,0,-4,36.88,12,3,7,1,0,0,4,6,2,0,1,1,2,7,7
2023-11-08,BRK,LAC,0,7,35.28,11,4,8,4,0,0,3,9,2,1,3,0,2,12,4
2023-11-10,BRK,BOS,1,-14,27.48,6,3,5,3,0,0,2,3,2,0,1,0,4,9,-24
2023-11-12,BRK,WAS,0,8,20.07,7,2,6,2,0,0,2,3,0,0,0,2,5,6,7
2023-11-14,BRK,ORL,0,20,24.08,5,2,4,1,0,0,2,4,0,1,0,0,1,5,-6
2023-11-16,BRK,MIA,1,-7,31.62,6,4,4,3,0,0,1,6,1,1,0,3,3,11,-9
2023-11-19,BRK,PHI,0,-22,27.07,7,2,3,1,0,0,1,3,2,0,0,1,2,5,-19
2023-11-22,BRK,ATL,1,-2,38.37,7,3,5,2,0,0,3,8,1,0,0,1,3,8,-5
2023-11-25,BRK,MIA,0,15,34.47,9,7,4,2,0,0,2,5,3,0,1,0,0,16,23
2023-11-26,BRK,CHI,0,9,34.43,10,3,7,3,0,0,0,4,1,2,1,1,3,9,-17
2023-11-28,BRK,TOR,0,12,26.1,10,2,4,1,0,0,5,9,2,1,1,0,4,5,10
2023-11-30,BRK,CHO,0,-1,39.47,7,5,6,4,0,0,3,6,1,2,1,1,0,14,2
2023-12-06,BRK,ATL,1,1,30.05,10,6,6,3,0,0,2,5,0,1,1,1,3,15,6
2023-12-08,BRK,WAS,0,27,26.0,5,2,4,1,3,3,2,3,0,1,0,0,0,8,12
2023-12-11,BRK,SAC,1,-13,24.68,6,5,4,3,0,0,0,3,1,1,2,0,0,13,-10
2023-12-13,BRK,PHO,1,4,25.48,9,4,4,0,0,0,3,6,1,2,0,2,3,8,15
2023-12-14,BRK,DEN,1,-23,15.55,3,0,1,0,0,0,4,4,0,1,0,1,2,0,-9
2023-12-18,BRK,UTA,1,-17,21.22,7,2,5,2,0,0,2,2,3,1,0,0,4,6,-7
2023-12-20,BRK,NYK,0,-19,24.23,8,3,6,2,2,2,0,3,0,0,0,1,2,10,-9
2023-12-22,BRK,DEN,0,-5,30.3,9,5,5,4,0,0,2,4,1,0,0,1,2,14,11
2023-12-23,BRK,DET,0,11,27.42,6,4,4,2,0,0,0,6,1,2,0,0,1,10,22
2023-12-26,BRK,DET,1,6,32.95,8,3,7,3,2,2,1,4,1,1,0,0,4,11,16
2023-12-29,BRK,WAS,1,-6,33.32,8,2,3,0,0,0,5,7,1,1,0,0,2,4,-11
2023-12-31,BRK,OKC,1,-16,24.22,13,3,8,2,0,0,3,6,2,1,0,0,2,8,-11
2024-01-02,BRK,NOP,1,-27,20.1,6,1,4,1,0,0,1,4,1,2,0,0,1,3,-17
2024-01-03,BRK,HOU,1,-11,20.07,16,4,11,1,0,0,1,2,2,0,1,2,2,9,4
2024-01-05,BRK,OKC,0,9,21.53,6,3,5,3,0,0,1,3,2,1,1,0,4,9,6
2024-01-07,BRK,POR,0,-7,35.5,8,3,7,3,0,0,2,5,2,1,0,1,3,9,5
2024-01-11,BRK,CLE,1,-9,14.23,1,0,1,0,0,0,0,0,0,0,1,1,3,0,-17
2024-01-15,BRK,MIA,0,-1,28.33,6,1,5,1,2,2,2,7,2,0,2,0,0,5,-5
2024-01-17,BRK,POR,1,-2,32.02,5,2,4,1,2,2,1,5,1,2,0,1,1,7,-7
2024-01-19,BRK,LAL,1,18,28.02,8,1,5,0,1,2,1,4,1,1,2,0,4,3,19
2024-01-21,BRK,LAC,1,-11,26.95,5,0,3,0,0,0,0,9,0,0,1,1,2,0,-10
2024-01-23,BRK,NYK,0,-5,36.82,10,2,7,1,0,0,2,2,7,1,1,2,3,5,4
2024-01-25,BRK,MIN,0,-2,35.77,6,3,5,2,0,0,0,2,2,0,0,0,2,8,1
2024-01-27,BRK,HOU,0,2,30.58,12,7,8,4,1,4,0,7,3,2,2,3,2,19,20
2024-02-10,BRK,SAS,0,20,20.48,4,1,4,1,0,2,1,3,3,1,1,0,6,3,4
2024-02-13,BRK,BOS,0,-8,18.67,2,1,1,0,1,2,0,2,1,1,1,0,1,3,-15
2024-02-14,BRK,BOS,1,-50,14.33,4,1,2,0,2,2,0,1,0,0,0,0,1,4,-15
