Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,TOR,MIN,0,3,16.13,3,0,3,0,0,0,0,2,2,1,1,0,2,0,-3
2023-10-27,TOR,CHI,1,-1,17.6,4,0,4,0,0,0,1,3,1,1,0,0,1,0,-25
2023-10-28,TOR,PHI,0,-7,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2023-10-30,TOR,POR,0,-8,5.37,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-4
2023-11-02,TOR,PHI,1,-15,9.0,3,2,2,1,0,0,0,1,0,0,0,0,0,5,4
2023-11-05,TOR,SAS,1,7,4.97,3,0,1,0,0,0,0,1,0,0,0,1,0,0,-4
2023-11-11,TOR,BOS,1,-23,8.93,2,0,0,0,0,0,0,1,0,0,0,0,2,0,2
2023-11-13,TOR,WAS,0,4,4.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2023-11-15,TOR,MIL,0,-16,18.3,10,3,4,1,0,0,0,4,1,1,1,1,0,7,21
2023-11-17,TOR,BOS,0,-3,6.83,5,2,1,0,0,0,0,0,0,0,0,0,0,4,-8
2023-11-19,TOR,DET,0,29,8.05,4,2,1,0,0,0,0,1,1,0,0,1,1,4,-5
2023-11-21,TOR,ORL,1,-19,6.93,1,1,1,1,2,2,1,1,1,0,0,1,1,5,5
2023-11-28,TOR,BRK,1,-12,13.03,4,2,1,1,0,0,1,2,1,2,1,0,2,5,2
2023-11-29,TOR,PHO,0,7,8.57,1,0,1,0,0,0,0,0,0,0,0,2,2,0,-3
2023-12-01,TOR,NYK,0,-13,7.45,4,1,2,0,0,0,1,2,1,0,0,0,1,2,8
2023-12-15,TOR,ATL,0,-21,2.72,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1
