Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-01-17,TOR,MIA,0,24,2.35,3,1,0,0,0,0,1,1,0,0,0,0,0,2,-3
2024-01-26,TOR,LAC,0,-20,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-03-01,TOR,GSW,0,-15,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024-03-05,TOR,NOP,0,-41,17.63,7,4,3,1,4,5,0,3,1,0,0,0,0,13,-5
2024-03-07,TOR,PHO,1,-7,18.0,4,1,2,1,2,2,0,3,2,0,1,0,1,5,2
2024-03-09,TOR,POR,1,-10,18.08,3,2,1,0,2,2,1,4,2,0,0,3,3,6,-2
2024-03-11,TOR,DEN,1,-6,12.37,2,0,2,0,0,0,0,1,2,0,1,0,1,0,3
2024-03-17,TOR,ORL,1,-15,2.73,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5
2024-03-20,TOR,SAC,0,-34,20.98,4,1,1,0,2,2,1,4,1,1,0,0,3,4,-8
2024-03-22,TOR,OKC,0,-20,29.25,10,4,3,0,2,2,0,4,3,0,0,2,1,10,-9
2024-03-23,TOR,WAS,1,-3,23.0,5,1,2,0,2,2,1,4,4,2,0,3,1,4,-7
2024-03-25,TOR,BRK,0,-8,29.3,12,7,2,0,1,2,1,4,2,1,0,0,2,15,-9
2024-03-27,TOR,NYK,0,-44,28.45,9,5,4,1,3,3,2,5,3,0,0,3,2,14,-19
2024-03-31,TOR,PHI,0,-15,31.3,11,4,3,1,2,2,1,7,2,1,0,1,2,11,-7
2024-04-02,TOR,LAL,0,-17,13.93,5,2,1,0,1,2,1,5,1,2,0,1,2,5,-21
2024-04-03,TOR,MIN,1,-48,27.28,10,6,4,2,2,2,0,5,6,1,0,5,1,16,-36
2024-04-05,TOR,MIL,1,6,11.98,4,2,0,0,0,0,1,2,0,0,0,1,2,4,-8
2024-04-07,TOR,WAS,0,8,8.67,5,0,1,0,0,0,1,4,0,0,0,0,1,0,-12
2024-04-09,TOR,IND,0,-17,33.43,10,7,3,2,4,4,3,8,1,1,0,1,3,20,-11
2024-04-10,TOR,BRK,1,-4,23.8,8,4,4,2,2,2,1,4,1,1,0,0,0,12,2
2024-04-12,TOR,MIA,1,-22,15.18,5,1,3,0,2,2,0,1,2,0,0,2,1,4,-6
2024-04-14,TOR,MIA,1,-15,32.75,6,3,2,0,2,2,1,1,7,0,2,3,1,8,1
