Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,NYK,NOP,1,-9,4.52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10
2023-10-31,NYK,CLE,1,18,2.83,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2023-11-08,NYK,SAS,0,21,1.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2
2023-11-12,NYK,CHO,0,22,6.53,1,1,0,0,1,3,0,3,0,0,0,0,1,3,-6
2023-11-13,NYK,BOS,1,-16,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-17,NYK,WAS,1,21,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023-11-20,NYK,MIN,1,-17,3.08,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0
2023-11-28,NYK,CHO,0,24,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2023-12-05,NYK,MIL,1,-24,2.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2
2023-12-11,NYK,TOR,0,6,20.9,2,1,0,0,0,0,3,7,1,0,0,0,3,2,5
2023-12-13,NYK,UTA,1,-4,17.98,2,2,0,0,0,0,1,2,0,0,1,1,2,4,-8
2023-12-15,NYK,PHO,1,17,17.45,4,2,0,0,1,1,1,3,0,0,0,0,3,5,-12
2023-12-16,NYK,LAC,1,-22,18.18,4,3,0,0,1,1,0,2,1,1,0,0,3,7,-13
2023-12-18,NYK,LAL,1,5,3.47,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2
2024-01-03,NYK,CHI,0,16,1.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-01-05,NYK,PHI,1,36,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-01-06,NYK,WAS,1,16,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
2024-01-09,NYK,POR,0,28,7.4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-4
2024-01-20,NYK,TOR,0,26,2.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2024-01-23,NYK,BRK,1,5,26.55,4,3,0,0,0,0,2,4,2,0,4,0,1,6,-8
2024-01-25,NYK,DEN,0,38,25.47,1,1,0,0,0,0,1,8,0,0,1,1,4,2,20
2024-01-27,NYK,MIA,0,16,1.2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,-4
2024-01-29,NYK,CHO,1,21,23.62,3,3,0,0,0,0,3,7,2,0,0,2,1,6,5
2024-01-30,NYK,UTA,0,15,18.57,2,1,0,0,0,0,3,4,0,0,0,0,0,2,14
2024-02-01,NYK,IND,0,4,12.5,1,1,0,0,0,0,4,4,1,0,3,1,0,2,-5
2024-02-03,NYK,LAL,0,-8,14.93,1,1,0,0,0,0,1,3,0,0,0,0,1,2,-5
2024-02-12,NYK,HOU,1,-2,28.73,3,2,0,0,0,0,3,7,0,0,0,1,4,4,7
2024-02-14,NYK,ORL,1,-18,38.93,5,3,0,0,2,3,2,8,1,1,0,0,0,8,-14
2024-02-22,NYK,PHI,1,14,18.02,2,1,0,0,2,2,5,10,2,0,1,0,2,4,5
2024-02-24,NYK,BOS,0,-14,14.38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-5
2024-02-26,NYK,DET,0,2,20.03,2,1,0,0,0,0,4,6,2,0,0,1,0,2,2
2024-02-27,NYK,NOP,0,-23,29.77,3,3,0,0,1,3,2,7,3,0,2,2,3,7,-18
2024-02-29,NYK,GSW,0,-11,22.05,3,3,0,0,4,5,2,5,3,0,0,0,1,10,6
2024-03-03,NYK,CLE,1,9,21.37,0,0,0,0,0,0,3,6,1,1,2,0,1,0,17
2024-03-05,NYK,ATL,0,-16,25.72,2,2,0,0,0,0,6,9,1,1,0,1,1,4,0
2024-03-08,NYK,ORL,0,24,27.77,1,1,0,0,0,0,3,6,1,0,1,0,2,2,10
2024-03-10,NYK,PHI,0,-6,22.6,3,2,0,0,0,0,0,6,0,2,1,1,1,4,-18
2024-03-12,NYK,PHI,0,27,5.92,0,0,0,0,0,0,1,3,0,0,0,0,0,0,-2
2024-03-18,NYK,GSW,1,7,4.65,0,0,0,0,0,0,0,1,0,0,0,1,2,0,-5
2024-03-21,NYK,DEN,1,-13,8.37,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10
2024-03-23,NYK,BRK,0,12,18.23,2,0,0,0,0,0,2,7,0,1,0,2,3,0,5
2024-03-25,NYK,DET,0,25,6.6,0,0,0,0,1,2,0,0,0,0,0,0,0,1,-5
2024-03-27,NYK,TOR,1,44,6.6,1,0,0,0,0,0,1,1,0,0,1,0,1,0,5
2024-04-04,NYK,SAC,0,11,0.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-12,NYK,BRK,0,4,22.97,1,0,0,0,2,2,2,4,1,0,1,0,3,2,13
