Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,HOU,ORL,1,-30,6.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10
2023-11-04,HOU,SAC,0,18,1.37,1,0,1,0,2,2,0,0,0,0,0,0,1,2,0
2023-11-06,HOU,SAC,0,25,12.0,2,2,0,0,0,0,1,3,0,0,1,0,1,4,-12
2023-11-29,HOU,DEN,1,-10,5.78,1,0,1,0,0,0,0,2,2,0,0,0,0,0,6
2023-12-02,HOU,LAL,1,-10,3.08,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
2023-12-22,HOU,DAL,0,26,8.92,3,3,0,0,0,0,0,1,0,1,0,0,0,6,-5
2024-01-26,HOU,CHO,1,34,5.98,1,0,0,0,0,0,1,2,0,0,0,0,0,0,-5
2024-01-29,HOU,LAL,0,16,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-01-31,HOU,NOP,0,-11,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-02-02,HOU,TOR,0,29,3.88,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1
2024-02-04,HOU,MIN,1,-21,4.27,2,2,0,0,0,0,0,1,0,0,0,0,0,4,7
2024-04-05,HOU,MIA,0,-15,1.47,2,1,0,0,0,0,1,1,0,0,0,0,0,2,1
2024-04-09,HOU,ORL,0,12,0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-14,HOU,LAC,1,11,4.77,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-1
