Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,ORL,HOU,0,30,18.23,3,0,3,0,0,0,0,4,5,0,0,1,3,0,9
2023-10-27,ORL,POR,1,5,15.05,1,0,1,0,0,0,0,1,1,1,0,1,3,0,3
2023-10-30,ORL,LAL,1,-3,12.03,2,1,0,0,0,0,1,1,3,2,0,1,2,2,-2
2023-10-31,ORL,LAC,1,-16,12.8,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-4
2023-11-02,ORL,UTA,1,2,23.5,5,1,4,1,1,2,1,2,1,1,0,0,0,4,-4
2023-11-04,ORL,LAL,0,19,24.62,6,2,5,2,1,1,0,3,3,1,0,2,2,7,7
2023-11-06,ORL,DAL,0,-15,21.48,2,1,0,0,0,0,0,5,3,0,0,2,1,2,3
2023-11-09,ORL,ATL,0,-1,17.9,6,1,3,1,0,0,2,3,5,3,1,0,1,3,27
2023-11-11,ORL,MIL,0,15,23.48,5,1,4,1,2,2,1,3,5,0,0,0,1,5,8
2023-11-14,ORL,BRK,1,-20,20.85,4,4,3,3,0,0,1,3,4,1,1,1,1,11,-10
2023-11-15,ORL,CHI,1,2,17.6,3,1,3,1,0,0,0,2,1,0,0,0,1,3,3
2023-11-17,ORL,CHI,1,6,25.53,8,3,7,2,0,0,0,1,5,1,0,1,1,8,16
2023-11-19,ORL,IND,1,12,17.78,2,0,2,0,0,0,0,4,6,3,0,2,1,0,4
2023-11-21,ORL,TOR,0,19,12.85,3,2,2,1,1,1,1,2,1,0,0,1,2,6,6
2023-11-22,ORL,DEN,0,5,16.82,4,4,2,2,2,2,0,1,7,1,0,0,3,12,9
2023-11-24,ORL,BOS,0,17,21.05,3,2,1,1,0,0,1,5,2,0,0,2,1,5,2
2023-11-26,ORL,CHO,0,13,15.2,3,0,1,0,0,0,0,2,1,1,0,2,2,0,0
2023-11-29,ORL,WAS,0,19,19.87,7,5,1,1,1,1,0,4,6,1,0,2,1,12,16
2023-12-01,ORL,WAS,0,5,24.62,11,5,7,3,1,1,0,3,7,0,0,0,3,14,12
2023-12-02,ORL,BRK,1,-28,16.48,2,1,1,1,2,3,1,2,2,1,0,1,2,5,-10
2023-12-06,ORL,CLE,1,-10,17.35,1,0,1,0,0,0,0,4,3,1,0,0,3,0,-7
2023-12-08,ORL,DET,0,32,15.88,6,2,3,2,0,0,0,4,5,0,0,0,1,6,15
2023-12-11,ORL,CLE,0,10,19.9,5,2,4,2,6,6,1,4,3,0,1,1,2,12,-2
2023-12-15,ORL,BOS,1,-17,6.15,1,0,0,0,0,0,1,2,2,0,0,0,0,0,-12
2024-01-12,ORL,MIA,1,-3,20.05,10,5,8,4,0,1,0,0,6,3,0,2,2,14,0
2024-01-15,ORL,NYK,1,4,20.27,6,3,1,0,0,0,0,1,4,0,0,1,2,6,6
2024-01-17,ORL,ATL,1,-2,20.23,5,1,5,1,0,0,0,4,3,1,0,3,4,3,3
2024-01-19,ORL,PHI,0,-15,22.23,6,3,3,3,0,0,0,1,3,0,0,0,2,9,-6
2024-01-21,ORL,MIA,0,18,17.15,2,0,2,0,0,0,1,3,3,0,0,3,0,0,4
2024-01-22,ORL,CLE,0,-27,14.62,1,1,0,0,0,0,2,4,2,1,0,2,2,2,-9
2024-01-26,ORL,MEM,1,-1,17.2,5,1,4,0,0,0,0,0,0,0,0,0,0,2,-9
2024-01-28,ORL,PHO,0,15,13.3,4,2,4,2,0,0,0,2,2,0,0,0,3,6,-1
2024-01-29,ORL,DAL,1,-2,15.42,4,1,3,1,0,0,1,3,0,0,0,2,1,3,-9
2024-01-31,ORL,SAS,1,10,15.23,2,0,2,0,0,0,0,4,2,1,0,2,2,0,5
2024-02-02,ORL,MIN,1,2,13.47,4,2,4,2,0,0,0,0,2,0,0,0,1,6,-10
2024-02-04,ORL,DET,1,12,15.02,3,1,3,1,0,0,0,2,2,0,0,1,1,3,0
2024-02-06,ORL,MIA,1,-26,15.08,4,3,4,3,0,0,0,1,1,0,0,0,0,9,1
2024-02-08,ORL,SAS,0,16,15.78,4,3,3,2,0,0,0,3,4,1,0,0,1,8,2
2024-02-10,ORL,CHI,0,6,9.48,2,0,2,0,0,0,0,0,2,0,0,1,2,0,3
2024-02-13,ORL,OKC,0,-14,9.73,1,0,0,0,0,0,0,1,3,0,0,0,0,0,-11
2024-02-14,ORL,NYK,0,18,19.83,3,2,3,2,0,0,0,2,5,1,1,0,2,6,12
2024-02-22,ORL,CLE,1,7,18.0,4,4,3,3,1,1,0,1,2,1,0,1,2,12,23
2024-02-24,ORL,DET,1,3,16.33,3,0,1,0,0,0,0,1,2,0,0,1,0,0,3
2024-02-25,ORL,ATL,1,-17,19.17,2,1,2,1,0,0,1,2,3,1,0,0,0,3,-11
2024-02-27,ORL,BRK,0,27,18.43,2,0,2,0,0,0,0,2,2,2,0,2,2,0,10
