Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-27,MEM,DEN,0,-4,30.35,2,1,1,0,0,0,0,6,2,1,2,0,1,2,3
2023-10-28,MEM,WAS,1,-7,21.95,4,2,3,1,0,0,3,9,1,2,2,1,0,5,1
2023-10-30,MEM,DAL,0,-15,19.2,2,1,2,1,0,0,1,4,1,0,0,0,2,3,-3
2023-11-01,MEM,UTA,1,-24,17.52,6,3,2,1,0,0,3,7,2,0,0,0,1,7,-8
2023-11-03,MEM,POR,1,-2,10.6,2,1,0,0,0,0,0,1,0,0,1,0,0,2,13
2023-11-10,MEM,UTA,0,-6,21.4,6,2,4,2,0,0,0,1,2,2,0,0,0,6,-7
2023-11-12,MEM,LAC,1,4,4.92,1,0,1,0,0,0,0,2,0,0,0,1,2,0,-12
2023-11-14,MEM,LAL,1,-27,18.13,4,2,3,2,0,0,1,3,6,1,0,0,1,6,0
2023-11-18,MEM,SAS,1,12,23.1,5,2,4,1,0,0,0,3,2,1,1,1,2,5,-7
2023-11-19,MEM,BOS,0,-2,26.33,3,1,0,0,0,0,2,5,3,1,1,1,2,2,-13
2023-11-22,MEM,HOU,1,-20,29.03,6,0,4,0,0,0,5,11,2,0,2,0,3,0,-11
2023-11-24,MEM,PHO,0,-21,17.73,2,0,1,0,1,2,0,3,1,0,0,0,1,1,-3
2023-11-26,MEM,MIN,0,-22,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2023-12-01,MEM,DAL,1,14,2.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
2023-12-02,MEM,PHO,1,-7,19.88,5,2,2,0,2,2,2,4,0,1,1,2,0,6,-2
2023-12-06,MEM,DET,1,14,21.73,4,3,2,2,1,2,1,7,2,2,1,0,0,9,22
2023-12-08,MEM,MIN,0,-24,16.77,5,1,4,1,0,0,0,3,0,1,1,0,1,3,-13
2023-12-11,MEM,DAL,0,-7,25.05,5,2,5,2,0,0,2,6,2,1,1,2,2,6,-2
2023-12-13,MEM,HOU,1,-13,7.12,1,0,1,0,0,0,0,0,1,1,0,0,0,0,-13
2023-12-18,MEM,OKC,1,-19,16.88,3,1,3,1,2,2,1,2,2,2,0,2,2,5,-20
2023-12-19,MEM,NOP,1,2,21.68,2,0,2,0,0,0,1,8,0,0,0,1,3,0,-6
2023-12-21,MEM,IND,0,13,20.85,4,2,4,2,0,0,1,6,1,1,2,0,1,6,11
