Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-30,WAS,BOS,0,-19,15.77,4,2,0,0,1,2,1,2,0,0,0,2,2,5,8
2023-11-01,WAS,ATL,1,-9,10.47,6,3,1,0,1,1,0,1,0,3,0,0,3,7,-9
2023-11-03,WAS,MIA,1,-7,13.1,5,5,1,1,0,0,0,1,0,1,0,0,0,11,19
2023-11-06,WAS,PHI,1,-18,13.83,8,2,0,0,0,0,2,3,1,0,0,0,0,4,-6
2023-11-08,WAS,CHO,1,16,2.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
2023-11-15,WAS,DAL,0,-13,6.62,3,2,0,0,0,0,0,1,1,1,0,0,1,4,11
2023-11-17,WAS,NYK,0,-21,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2023-11-20,WAS,MIL,0,-13,6.08,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-10
2023-11-22,WAS,CHO,1,-3,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2023-11-24,WAS,MIL,1,-3,12.45,4,2,0,0,2,2,3,5,0,0,0,1,1,6,-5
2023-11-25,WAS,ATL,0,-28,15.73,5,2,1,0,0,0,0,3,2,1,0,1,1,4,5
2023-11-27,WAS,DET,1,19,7.48,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0
2023-11-29,WAS,ORL,1,-19,9.63,1,0,0,0,0,0,1,1,0,1,0,0,1,0,-2
2023-12-01,WAS,ORL,1,-5,6.17,2,0,0,0,0,0,1,1,0,0,0,0,1,0,-2
2023-12-27,WAS,TOR,0,-30,6.27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
2024-01-03,WAS,CLE,1,-39,5.22,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-01-05,WAS,CLE,1,-24,6.27,2,0,0,0,0,0,1,1,0,0,0,0,0,0,-1
2024-01-06,WAS,NYK,0,-16,3.45,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5
2024-01-15,WAS,DET,0,-12,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-01-25,WAS,UTA,0,-15,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-31,WAS,LAC,0,-16,12.0,3,1,1,0,0,2,0,1,1,0,1,0,2,2,11
2024-02-02,WAS,MIA,0,-8,1.97,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
2024-02-04,WAS,PHO,0,-28,17.63,7,1,3,1,0,0,0,0,1,1,0,1,1,3,-8
2024-02-22,WAS,DEN,1,-20,13.65,4,1,1,0,0,2,0,3,1,1,0,0,2,2,-8
2024-02-23,WAS,OKC,1,-41,21.53,8,1,2,0,0,0,2,7,1,0,0,1,2,2,-16
2024-02-25,WAS,CLE,0,-9,15.82,3,1,2,0,0,0,0,2,0,0,0,0,5,2,-16
2024-02-27,WAS,GSW,0,-11,7.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-13
2024-02-29,WAS,LAL,1,-3,16.68,3,0,0,0,0,0,1,2,0,0,0,0,0,0,-3
2024-03-01,WAS,LAC,1,-25,24.33,4,1,1,0,0,0,0,2,2,1,0,0,1,2,-8
2024-03-04,WAS,UTA,1,-12,7.58,1,1,1,1,0,0,0,1,1,0,0,0,0,3,10
2024-03-06,WAS,ORL,0,-10,18.07,7,2,4,2,2,2,1,2,1,0,0,0,0,8,14
2024-03-08,WAS,CHO,0,12,7.52,1,0,0,0,0,0,1,2,0,0,1,1,2,0,-7
2024-03-10,WAS,MIA,1,2,8.78,0,0,0,0,1,2,0,2,0,0,0,0,1,1,-4
2024-03-12,WAS,MEM,1,-12,5.1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,-5
2024-03-14,WAS,HOU,1,-16,7.53,2,1,1,0,0,0,0,0,0,0,1,0,1,2,-7
2024-03-16,WAS,CHI,1,-29,14.8,6,2,3,1,0,0,0,0,3,1,0,0,1,5,-16
2024-03-17,WAS,BOS,0,-26,22.4,7,4,2,0,0,0,1,4,1,0,2,0,3,8,-17
2024-03-19,WAS,HOU,0,-23,27.28,7,1,1,0,0,0,0,1,0,1,0,0,2,2,-11
2024-03-21,WAS,SAC,0,7,13.13,2,1,0,0,2,2,1,3,1,0,0,0,2,4,1
2024-03-23,WAS,TOR,0,3,17.2,3,2,1,0,0,0,0,1,1,1,1,0,0,4,6
2024-03-25,WAS,CHI,1,2,20.27,6,3,4,2,0,0,1,2,3,0,0,0,0,8,-3
2024-03-27,WAS,BRK,0,-3,16.7,3,1,0,0,0,0,0,1,1,0,2,0,1,2,-5
