Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,UTA,SAC,0,-16,30.73,16,8,5,2,6,8,2,4,6,0,0,2,4,24,-4
2023-10-27,UTA,LAC,0,2,33.72,13,4,5,3,2,3,1,4,6,1,0,2,0,13,-2
2023-10-28,UTA,PHO,1,-22,21.67,10,3,3,0,1,1,1,2,2,0,0,5,3,7,-26
2023-10-30,UTA,DEN,1,-8,33.55,10,2,4,0,0,3,2,3,6,1,0,5,1,4,-7
2023-11-01,UTA,MEM,0,24,25.87,13,8,6,4,0,0,0,6,5,2,0,3,1,20,21
2023-11-02,UTA,ORL,0,-2,37.02,20,5,8,2,9,9,3,6,6,1,0,6,1,21,-3
2023-11-04,UTA,MIN,1,-28,31.97,14,5,5,0,0,0,2,3,3,0,0,0,0,10,-18
2023-11-06,UTA,CHI,1,-17,29.08,14,3,8,1,0,0,1,1,6,0,0,5,1,7,-14
2023-11-08,UTA,IND,1,-16,33.93,26,12,3,1,8,8,2,3,5,1,1,6,3,33,-5
2023-11-10,UTA,MEM,1,6,35.8,16,9,5,2,6,6,2,4,4,2,1,3,1,26,14
2023-11-14,UTA,POR,0,16,33.27,19,13,9,4,0,0,0,1,3,2,0,1,2,30,8
2023-11-17,UTA,PHO,0,-3,35.58,26,14,10,5,4,4,1,3,5,1,0,0,0,37,0
2023-11-19,UTA,PHO,0,-3,38.92,23,8,6,1,5,7,3,7,5,2,0,2,5,22,-9
2023-11-21,UTA,LAL,1,-32,24.2,9,3,3,0,1,1,0,0,2,1,0,2,1,7,-24
2023-11-22,UTA,POR,1,-16,32.23,11,5,4,2,1,2,0,2,5,0,0,7,0,13,-8
2023-11-27,UTA,NOP,0,2,31.55,16,4,9,2,6,6,0,4,10,0,0,1,1,16,-3
2023-11-29,UTA,MEM,1,-14,27.18,10,4,5,2,2,3,1,3,5,0,0,4,0,12,-14
2023-12-08,UTA,LAC,0,-14,27.85,9,2,3,0,2,3,1,4,5,1,0,1,2,6,-16
2023-12-11,UTA,OKC,1,-14,21.5,13,3,4,0,2,2,2,4,5,1,1,2,1,8,-25
2023-12-23,UTA,TOR,1,7,30.18,22,11,9,4,4,4,1,3,6,1,0,2,1,30,19
2023-12-26,UTA,SAS,1,12,27.0,17,7,8,2,8,8,1,6,8,0,0,3,6,24,16
2023-12-28,UTA,NOP,1,-7,23.95,11,3,5,1,3,3,0,2,6,0,0,6,0,10,-8
2023-12-30,UTA,MIA,0,8,25.03,10,3,5,1,2,2,0,2,3,0,0,0,0,9,4
2024-01-01,UTA,DAL,0,37,27.7,16,8,6,1,3,3,2,10,11,1,0,4,4,20,36
2024-01-03,UTA,DET,0,6,37.97,20,11,5,4,10,11,1,6,3,1,0,5,1,36,5
2024-01-05,UTA,BOS,1,-29,17.37,7,1,2,0,0,0,1,2,2,1,0,4,0,2,-23
2024-01-06,UTA,PHI,1,11,30.65,14,5,6,0,8,9,0,5,6,1,0,5,0,18,1
2024-01-08,UTA,MIL,1,16,31.12,14,7,3,2,5,5,1,4,6,0,1,1,0,21,13
2024-01-10,UTA,DEN,0,13,33.0,19,12,8,3,0,1,0,2,9,0,0,3,1,27,8
2024-01-12,UTA,TOR,0,32,30.55,16,8,9,5,0,0,0,1,5,0,0,0,1,21,17
2024-01-13,UTA,LAL,0,7,31.45,18,6,6,1,8,8,2,4,4,0,1,2,2,21,-2
2024-01-15,UTA,IND,0,27,26.55,13,6,3,0,5,6,0,3,2,2,0,2,1,17,6
2024-01-18,UTA,OKC,0,-5,34.95,18,7,5,3,1,1,2,2,5,0,0,1,1,18,-3
2024-01-20,UTA,HOU,1,-1,38.5,25,12,10,4,5,5,2,12,4,0,0,3,1,33,-7
2024-01-23,UTA,NOP,1,-29,22.05,9,4,3,0,1,1,0,1,1,0,0,2,0,9,-22
2024-01-25,UTA,WAS,1,15,30.15,17,7,4,1,4,4,0,3,8,0,0,4,1,19,16
2024-01-27,UTA,CHO,1,12,31.32,15,6,5,1,1,1,1,1,2,0,0,0,3,14,7
2024-01-29,UTA,BRK,1,-33,23.3,10,5,4,0,3,4,0,1,1,0,0,4,1,13,-20
2024-01-30,UTA,NYK,1,-15,31.3,12,5,5,1,0,0,0,1,1,0,0,3,2,11,-19
2024-02-01,UTA,PHI,0,-3,34.18,15,5,7,1,5,7,0,2,10,0,0,1,1,16,-4
2024-02-04,UTA,MIL,0,15,25.8,11,3,4,0,6,7,1,5,5,0,0,1,2,12,10
2024-02-06,UTA,OKC,0,7,26.87,12,5,6,1,1,2,0,2,2,2,0,5,2,12,-3
2024-02-08,UTA,PHO,1,-14,32.03,12,4,8,3,2,2,1,1,4,0,0,0,0,13,-8
2024-02-12,UTA,GSW,0,-22,32.63,17,7,7,4,4,4,2,4,1,0,1,1,3,22,-8
