Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,WAS,IND,1,-23,26.32,18,7,6,0,4,5,0,2,5,1,1,4,1,18,-12
2023-10-28,WAS,MEM,0,7,35.75,23,8,12,4,7,9,0,4,2,1,1,5,2,27,13
2023-10-30,WAS,BOS,0,-19,25.27,11,5,5,1,0,0,2,3,2,3,1,3,3,11,-29
2023-11-01,WAS,ATL,1,-9,20.48,13,5,6,2,1,1,0,0,1,1,0,1,1,13,-22
2023-11-03,WAS,MIA,1,-7,28.42,14,8,4,3,0,1,0,1,6,4,0,2,3,19,-21
2023-11-06,WAS,PHI,1,-18,31.27,15,8,9,4,3,3,0,1,6,0,1,2,4,23,-4
2023-11-08,WAS,CHO,1,16,20.4,12,3,5,1,4,5,1,2,1,0,0,1,2,11,-5
2023-11-10,WAS,CHO,0,-7,31.23,14,6,5,1,1,1,0,2,6,0,0,3,4,14,-17
2023-11-12,WAS,BRK,1,-8,32.2,12,5,8,2,0,1,0,5,2,0,1,3,6,12,-22
2023-11-13,WAS,TOR,1,-4,35.17,16,6,6,2,0,0,2,4,6,3,1,4,5,14,-12
2023-11-15,WAS,DAL,0,-13,32.07,17,6,7,2,2,2,1,5,3,1,0,5,4,16,-10
2023-11-17,WAS,NYK,0,-21,28.52,11,2,6,0,4,4,0,1,4,0,0,5,2,8,-18
2023-11-20,WAS,MIL,0,-13,32.7,26,11,9,3,5,5,0,1,1,0,0,0,4,30,-26
2023-11-22,WAS,CHO,1,-3,33.1,21,8,11,4,4,4,2,5,2,3,0,3,1,24,-14
2023-11-24,WAS,MIL,1,-3,33.75,20,9,6,1,7,9,1,5,7,0,0,2,5,26,-3
2023-11-27,WAS,DET,1,19,25.38,9,3,2,0,4,4,0,0,3,1,0,4,3,10,10
2023-11-29,WAS,ORL,1,-19,26.13,12,5,7,4,5,6,0,5,2,2,1,2,3,19,-6
2023-12-01,WAS,ORL,1,-5,30.33,12,3,5,0,8,9,0,4,4,1,0,2,5,14,-5
2023-12-06,WAS,PHI,0,-5,31.77,16,10,5,3,0,0,0,1,2,1,0,3,3,23,-10
2023-12-08,WAS,BRK,1,-27,23.6,7,3,2,0,2,2,0,2,2,0,0,3,3,8,-16
2023-12-11,WAS,PHI,1,-45,26.1,11,3,3,1,4,4,0,0,3,0,0,3,1,11,-30
2023-12-13,WAS,NOP,0,-20,31.48,12,5,5,1,0,0,0,1,4,2,1,4,2,11,-10
2023-12-15,WAS,IND,0,14,32.22,18,12,4,3,3,4,0,4,8,1,0,2,4,30,15
2023-12-17,WAS,PHO,1,-4,31.88,17,5,9,2,2,2,0,4,4,1,0,4,4,14,4
2023-12-18,WAS,SAC,1,-12,28.53,18,10,13,8,0,0,0,0,2,0,0,1,4,28,-8
2023-12-21,WAS,POR,1,1,34.38,13,4,4,0,5,5,0,2,6,1,0,3,2,13,5
2023-12-22,WAS,GSW,1,-11,26.88,21,7,12,3,8,9,1,3,3,2,0,1,3,25,-9
2023-12-26,WAS,ORL,0,-8,32.85,20,11,11,6,2,2,0,2,3,3,0,3,3,30,-18
2023-12-27,WAS,TOR,0,-30,27.53,12,5,7,1,3,4,2,4,4,0,1,2,1,14,-17
2023-12-29,WAS,BRK,0,6,24.68,6,2,4,1,0,0,0,0,5,0,0,1,4,5,-16
2023-12-31,WAS,ATL,0,-4,28.73,14,6,7,1,0,0,0,3,6,0,1,0,3,13,6
2024-01-03,WAS,CLE,1,-39,22.7,11,3,4,2,0,0,3,3,2,0,0,1,3,8,-22
2024-01-05,WAS,CLE,1,-24,23.33,4,0,2,0,2,2,0,0,1,0,1,0,4,2,-14
2024-01-06,WAS,NYK,0,-16,29.88,10,4,5,1,1,2,0,3,4,2,0,2,3,10,-1
2024-01-08,WAS,OKC,0,-8,29.32,17,8,8,4,4,5,0,0,5,0,0,1,5,24,3
2024-01-10,WAS,IND,1,-8,33.58,21,11,7,2,4,6,1,4,7,3,0,1,3,28,0
2024-01-13,WAS,ATL,1,28,25.83,16,8,6,2,2,2,0,2,2,1,1,1,1,20,19
2024-01-15,WAS,DET,0,-12,31.83,14,6,7,2,2,2,0,0,2,0,0,1,3,16,-9
2024-01-18,WAS,NYK,1,-4,34.03,19,7,9,2,8,8,0,4,2,1,0,0,1,24,-8
2024-01-20,WAS,SAS,0,-4,28.73,15,7,3,0,2,2,0,0,2,2,1,1,4,16,-15
2024-01-21,WAS,DEN,0,-9,27.92,7,1,4,1,1,1,0,1,0,0,0,2,4,4,-10
2024-01-24,WAS,MIN,0,-11,28.18,11,2,4,1,2,2,0,2,3,0,0,4,3,7,-10
2024-01-25,WAS,UTA,0,-15,28.33,12,6,7,3,3,4,0,2,2,2,2,0,5,18,-3
2024-01-27,WAS,DET,1,14,29.17,12,6,6,3,2,2,1,1,2,1,0,0,1,17,25
2024-01-29,WAS,SAS,1,5,33.25,13,6,5,1,0,0,0,1,3,2,1,4,2,13,5
2024-02-02,WAS,MIA,0,-8,32.6,21,6,14,2,2,3,0,4,10,2,1,1,3,16,-3
2024-02-04,WAS,PHO,0,-28,19.78,7,1,3,0,2,2,0,5,7,0,0,1,3,4,-16
2024-02-07,WAS,CLE,0,-8,24.57,5,0,4,0,0,0,0,2,5,1,0,1,6,0,-4
2024-02-09,WAS,BOS,1,-4,37.17,19,7,10,3,2,3,0,2,5,1,0,3,5,19,1
2024-02-10,WAS,PHI,0,-6,29.28,8,4,4,2,1,2,1,4,4,2,0,2,4,11,3
2024-02-12,WAS,DAL,1,-8,26.5,12,1,6,1,0,0,0,6,3,3,1,1,4,3,4
2024-02-14,WAS,NOP,1,-7,35.1,15,7,10,5,0,0,2,5,6,3,0,4,5,19,9
2024-02-22,WAS,DEN,1,-20,30.15,17,4,9,3,7,9,0,1,1,2,0,2,3,18,-9
2024-02-23,WAS,OKC,1,-41,22.5,19,7,8,2,5,5,0,3,3,0,0,3,4,21,-21
2024-02-25,WAS,CLE,0,-9,37.55,21,11,13,6,3,3,0,5,5,1,0,2,6,31,-3
2024-02-27,WAS,GSW,0,-11,29.37,17,5,8,2,0,0,1,3,5,2,0,6,3,12,8
2024-02-29,WAS,LAL,1,-3,38.1,26,13,12,5,3,4,0,3,7,1,1,3,4,34,-12
2024-03-01,WAS,LAC,1,-25,21.4,15,7,4,1,1,1,0,4,4,0,0,1,4,16,-17
2024-03-04,WAS,UTA,1,-12,28.87,18,11,10,6,4,4,0,1,2,2,1,3,2,32,-17
2024-03-06,WAS,ORL,0,-10,32.37,19,9,12,4,4,4,1,4,5,0,0,3,4,26,4
