Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,OKC,CHI,1,20,31.78,14,7,3,2,0,0,1,6,6,0,0,3,1,16,19
2023-10-27,OKC,CLE,1,3,28.43,8,1,1,0,0,0,0,6,6,0,0,3,1,2,-12
2023-10-29,OKC,DEN,0,-33,21.92,13,4,2,1,0,0,1,2,3,1,0,2,0,9,-18
2023-10-30,OKC,DET,0,12,28.4,18,9,2,0,3,5,3,7,3,1,1,1,1,21,10
2023-11-01,OKC,NOP,0,-4,31.27,16,6,4,1,2,2,0,9,4,1,1,2,1,15,-6
2023-11-03,OKC,GSW,0,-2,30.57,15,8,3,0,2,2,0,5,4,0,0,6,2,18,4
2023-11-06,OKC,ATL,0,9,27.47,13,4,0,0,0,0,3,7,4,0,0,4,3,8,7
2023-11-08,OKC,CLE,0,8,25.12,11,4,2,0,0,0,1,5,6,2,1,1,0,8,2
2023-11-10,OKC,SAC,1,-7,26.57,10,6,1,0,1,1,1,4,5,0,0,4,1,13,-19
2023-11-12,OKC,PHO,1,12,31.95,12,5,1,0,0,0,3,6,10,2,2,4,1,10,17
2023-11-14,OKC,SAS,0,36,24.68,11,7,2,0,4,5,1,7,7,0,2,3,0,18,20
2023-11-16,OKC,GSW,1,19,26.12,14,8,3,3,0,0,2,6,1,2,0,3,1,19,-3
2023-11-18,OKC,GSW,1,7,22.35,10,4,2,1,2,2,2,5,2,1,2,0,2,11,4
2023-11-19,OKC,POR,1,43,22.6,6,3,0,0,0,0,0,4,5,1,0,4,1,6,12
2023-11-22,OKC,CHI,0,14,28.98,13,4,3,1,1,2,1,6,2,2,0,2,1,10,3
2023-11-25,OKC,PHI,0,-4,25.6,12,4,1,0,2,2,3,7,8,0,0,1,4,10,-13
2023-11-28,OKC,MIN,1,-3,28.15,8,4,1,0,2,4,3,6,1,0,0,2,1,10,-10
2023-11-30,OKC,LAL,0,23,20.97,10,5,5,2,2,2,2,8,1,1,0,4,2,14,6
2023-12-02,OKC,DAL,1,6,16.6,13,4,6,2,0,0,2,3,1,0,0,2,1,10,1
2023-12-06,OKC,HOU,1,-9,24.8,11,3,5,2,0,0,1,4,6,1,0,0,3,8,-11
2023-12-08,OKC,GSW,0,2,24.72,12,4,6,1,0,0,1,9,4,3,0,1,2,9,-10
2023-12-11,OKC,UTA,0,14,23.82,11,5,3,2,0,0,2,10,8,1,1,3,1,12,17
2023-12-14,OKC,SAC,1,-5,28.75,14,8,3,2,0,0,5,8,4,2,1,4,4,18,10
2023-12-16,OKC,DEN,1,1,15.33,4,2,1,0,0,0,0,2,4,0,0,1,0,4,-7
2023-12-18,OKC,MEM,0,19,23.8,12,6,4,0,4,4,3,12,4,1,0,1,0,16,16
2023-12-21,OKC,LAC,0,19,14.38,5,4,3,3,0,0,1,3,4,0,0,5,0,11,2
2023-12-26,OKC,MIN,0,23,25.33,7,4,2,0,2,2,0,2,7,0,0,2,3,10,21
2023-12-27,OKC,NYK,0,9,29.48,4,3,0,0,1,2,0,6,2,0,2,2,1,7,11
2023-12-29,OKC,DEN,1,26,21.27,10,6,1,0,0,0,2,8,4,1,0,3,1,12,16
2023-12-31,OKC,BRK,0,16,26.85,16,8,8,4,0,0,1,6,5,0,0,2,3,20,4
2024-01-02,OKC,BOS,0,4,26.88,14,8,7,4,3,3,1,8,6,0,0,3,0,23,10
2024-01-03,OKC,ATL,1,-3,22.37,7,3,3,2,1,2,2,3,4,1,0,2,1,9,1
2024-01-05,OKC,BRK,1,-9,23.6,9,5,1,0,3,4,0,8,5,1,1,2,3,13,-7
2024-01-08,OKC,WAS,1,8,26.18,11,4,3,1,0,0,1,6,9,2,0,1,2,9,22
2024-01-10,OKC,MIA,1,8,20.47,5,3,2,1,2,2,0,7,2,1,0,2,0,9,7
2024-01-11,OKC,POR,0,62,22.5,5,5,0,0,3,3,0,10,12,0,3,1,0,13,46
2024-01-13,OKC,ORL,0,12,27.45,12,4,5,1,3,4,1,8,4,1,0,0,1,12,15
2024-01-15,OKC,LAL,1,-7,21.53,8,2,5,2,2,2,2,5,3,0,1,0,1,8,-6
2024-01-16,OKC,LAC,1,-11,19.23,9,4,3,1,0,0,1,4,4,0,0,0,0,9,-2
2024-01-18,OKC,UTA,1,5,30.27,16,8,5,1,3,3,1,10,6,1,0,2,3,20,10
2024-01-20,OKC,MIN,1,5,24.85,8,2,4,0,1,2,1,8,4,1,0,1,0,5,1
2024-01-23,OKC,POR,0,2,24.87,6,3,0,0,1,2,2,5,3,0,0,0,2,7,-2
2024-01-24,OKC,SAS,1,26,22.08,13,6,3,0,0,0,5,8,4,0,0,2,1,12,1
2024-01-26,OKC,NOP,1,24,22.67,4,2,1,0,0,0,0,5,6,1,1,1,0,4,13
2024-01-28,OKC,DET,1,-16,27.17,10,5,1,0,2,2,2,9,5,0,1,2,0,12,-15
2024-01-29,OKC,MIN,0,-6,19.17,10,5,7,3,0,1,1,4,2,0,1,1,1,13,-17
2024-01-31,OKC,DEN,0,5,25.23,11,2,2,0,4,4,3,9,5,0,1,2,0,8,-2
2024-02-02,OKC,CHO,0,20,19.1,8,3,2,0,2,2,0,6,4,1,1,2,0,8,16
2024-02-04,OKC,TOR,0,8,41.15,15,9,6,2,4,4,2,6,6,0,2,2,1,24,17
2024-02-06,OKC,UTA,1,-7,26.17,8,3,4,2,0,0,0,3,2,0,1,1,3,8,-5
2024-02-10,OKC,DAL,1,-35,22.85,14,3,9,3,2,2,1,3,3,1,0,1,1,11,-23
2024-02-11,OKC,SAC,0,14,20.08,6,2,3,1,0,0,0,5,4,0,1,0,3,5,29
2024-02-13,OKC,ORL,1,14,27.03,8,5,3,0,0,0,1,5,5,0,0,1,1,10,0
2024-02-22,OKC,LAC,0,22,22.8,10,4,3,1,3,3,0,5,2,0,1,3,0,12,0
2024-02-23,OKC,WAS,0,41,21.52,8,5,2,1,1,2,2,7,3,1,2,3,0,12,22
2024-02-25,OKC,HOU,1,13,23.17,5,1,0,0,0,0,3,9,5,3,1,1,5,2,0
2024-02-27,OKC,HOU,0,17,20.22,11,6,3,1,1,2,1,7,4,0,0,3,1,14,4
2024-02-29,OKC,SAS,1,-14,18.48,5,1,3,0,0,0,0,2,2,0,0,1,1,2,-10
2024-03-03,OKC,PHO,1,8,19.42,9,4,4,2,0,0,0,1,2,2,2,1,2,10,-2
2024-03-04,OKC,LAL,1,-12,28.82,10,6,2,1,0,0,2,5,4,1,1,3,2,13,6
2024-03-06,OKC,POR,1,8,32.22,9,8,2,1,2,2,1,6,7,1,0,5,3,19,17
2024-03-08,OKC,MIA,0,7,23.28,9,5,3,1,0,0,1,9,6,0,0,1,0,11,-7
2024-03-10,OKC,MEM,0,31,19.28,15,7,4,1,1,1,3,10,4,2,0,1,2,16,22
2024-03-12,OKC,IND,0,-10,27.83,15,7,2,1,0,0,4,7,3,0,0,1,0,15,2
2024-03-14,OKC,DAL,0,7,22.2,14,8,7,2,0,0,1,3,5,1,1,3,4,18,-1
2024-03-16,OKC,MEM,1,6,19.2,12,6,6,1,0,0,2,6,2,0,0,2,1,13,-3
2024-03-20,OKC,UTA,0,12,26.1,9,2,3,1,0,0,2,11,8,0,1,0,1,5,28
2024-03-22,OKC,TOR,1,20,21.95,6,4,2,1,1,1,0,2,5,0,1,2,3,10,13
2024-03-24,OKC,MIL,1,-25,28.7,12,7,6,4,1,1,0,9,8,0,0,1,2,19,-3
2024-03-26,OKC,NOP,1,7,30.72,14,10,8,5,0,0,1,9,4,0,0,3,1,25,9
2024-03-27,OKC,HOU,0,-6,31.88,20,12,3,0,7,11,5,7,4,1,1,1,2,31,-7
2024-03-29,OKC,PHO,0,25,24.0,15,10,3,1,2,2,1,7,9,0,1,3,0,23,22
2024-03-31,OKC,NYK,1,1,30.9,11,7,3,2,0,2,1,13,12,1,2,2,2,16,11
2024-04-02,OKC,PHI,1,-4,27.63,8,4,1,0,2,4,1,5,3,0,1,2,1,10,-4
2024-04-03,OKC,BOS,1,-35,28.23,11,7,2,1,2,2,2,6,2,0,0,2,0,17,-2
