Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,DAL,SAS,1,7,29.87,5,3,2,2,3,4,2,2,1,1,0,0,4,11,4
2023-10-27,DAL,BRK,0,5,27.83,7,2,3,0,3,6,1,3,2,3,0,3,2,7,8
2023-10-30,DAL,MEM,1,15,34.27,10,5,4,2,0,0,1,2,3,1,0,1,0,12,4
2023-11-01,DAL,CHI,0,9,26.28,5,1,5,1,0,0,0,3,1,0,0,2,2,3,14
2023-11-03,DAL,DEN,1,-11,27.17,8,5,5,3,0,0,1,5,2,2,0,0,2,13,4
2023-11-05,DAL,CHO,0,6,23.55,9,3,4,1,0,2,0,2,3,1,1,1,1,7,2
2023-11-06,DAL,ORL,1,15,19.8,3,2,2,1,1,2,0,2,1,1,0,1,3,6,10
2023-11-08,DAL,TOR,0,-11,17.58,3,1,2,1,0,0,0,1,2,0,1,1,2,3,-21
2023-11-10,DAL,LAC,0,18,17.65,4,1,4,1,0,0,0,0,3,0,0,0,2,3,-15
2023-11-12,DAL,NOP,1,12,27.78,11,5,7,3,0,0,0,2,3,2,0,1,1,13,11
2023-11-14,DAL,NOP,1,-21,27.63,3,1,2,0,0,0,1,5,4,0,0,2,1,2,-14
2023-11-15,DAL,WAS,1,13,36.72,4,0,4,0,0,0,1,4,1,1,0,0,1,0,12
2023-11-18,DAL,MIL,1,-7,19.73,3,1,3,1,0,0,1,4,3,0,0,0,1,3,-27
2023-11-19,DAL,SAC,0,-16,25.85,8,4,5,2,1,2,1,4,5,2,0,1,2,11,-1
2023-11-22,DAL,LAL,1,3,21.6,10,6,6,3,0,0,0,3,1,0,0,0,1,15,10
2023-11-25,DAL,LAC,1,-19,9.37,2,0,1,0,0,0,0,1,1,0,0,0,2,0,-15
2023-11-28,DAL,HOU,0,6,30.28,4,2,1,1,0,0,1,7,2,0,1,1,4,5,12
2023-12-01,DAL,MEM,0,-14,31.15,10,4,3,1,1,1,0,2,5,3,0,3,0,10,-6
2023-12-27,DAL,CLE,0,-3,21.42,4,1,2,0,0,0,0,3,5,2,0,1,1,2,12
2023-12-28,DAL,MIN,1,-8,14.6,3,1,1,0,0,0,0,0,5,0,0,1,0,2,-7
2023-12-30,DAL,GSW,1,10,24.68,8,6,4,3,3,3,0,0,2,0,0,1,0,18,2
2024-01-01,DAL,UTA,1,-37,21.28,4,0,1,0,0,0,0,2,1,0,0,2,4,0,-21
2024-01-03,DAL,POR,0,29,27.22,5,3,2,0,2,2,0,4,1,2,0,0,4,8,22
2024-01-05,DAL,POR,0,36,25.32,8,7,0,0,0,0,2,5,5,1,0,1,0,14,28
2024-01-07,DAL,MIN,0,7,30.87,3,2,1,0,0,0,0,5,1,0,1,0,2,4,-2
2024-01-09,DAL,MEM,0,-17,23.03,3,0,1,0,0,0,1,3,0,0,1,0,1,0,1
2024-01-11,DAL,NYK,0,4,34.93,12,8,4,2,0,2,0,2,3,1,0,0,2,18,-15
2024-01-13,DAL,NOP,0,-10,32.38,8,3,3,1,2,2,2,6,4,0,0,3,2,9,-3
2024-01-15,DAL,NOP,0,5,29.83,8,4,5,3,2,6,1,4,3,0,0,1,5,13,14
2024-01-22,DAL,BOS,0,-9,37.75,11,5,7,4,0,0,1,7,1,0,0,3,4,14,-9
2024-01-24,DAL,PHO,0,-23,31.03,8,3,6,2,0,0,3,4,3,0,0,1,1,8,-13
2024-01-26,DAL,ATL,1,5,35.25,12,8,5,4,1,2,1,2,4,0,0,3,5,21,9
2024-01-27,DAL,SAC,0,-5,33.43,9,4,6,2,1,2,0,3,5,0,0,2,2,11,-14
2024-01-29,DAL,ORL,0,2,33.25,6,1,3,0,0,0,0,2,1,1,0,2,5,2,-18
2024-01-31,DAL,MIN,1,-34,29.12,13,8,3,2,0,0,0,2,1,0,0,1,4,18,-19
2024-02-03,DAL,MIL,0,-12,37.78,12,7,8,4,2,2,0,9,3,1,0,3,0,20,-29
2024-02-05,DAL,PHI,1,16,31.6,9,6,7,4,4,4,1,6,4,2,0,1,0,20,15
2024-02-06,DAL,BRK,1,12,33.28,11,5,5,2,0,0,1,2,3,0,0,1,1,12,-5
2024-02-08,DAL,NYK,1,14,31.77,9,5,5,2,3,3,1,6,3,1,1,0,2,15,5
2024-02-10,DAL,OKC,0,35,27.32,4,2,1,0,2,2,0,2,2,2,0,1,3,6,20
2024-02-12,DAL,WAS,0,8,29.07,8,5,3,1,2,3,1,4,2,2,1,0,4,13,3
2024-02-14,DAL,SAS,0,23,18.08,4,3,2,2,0,0,1,3,2,0,0,0,2,8,12
2024-02-22,DAL,PHO,0,10,25.12,7,3,5,3,0,0,1,2,5,2,0,2,4,9,4
2024-02-25,DAL,IND,1,-22,32.43,8,6,3,2,0,0,2,5,1,2,0,2,1,14,-16
2024-02-27,DAL,CLE,1,-2,28.97,8,3,5,1,0,0,0,1,1,4,0,0,1,7,-11
2024-02-28,DAL,TOR,1,11,30.9,4,2,3,1,0,0,2,6,1,0,0,2,1,5,1
2024-03-01,DAL,BOS,1,-28,28.18,5,1,2,0,0,0,1,3,2,0,0,0,2,2,-16
2024-03-03,DAL,PHI,0,-4,19.93,6,3,2,1,0,0,2,6,1,1,0,2,1,7,-8
2024-03-05,DAL,IND,0,-17,25.57,7,3,1,0,0,0,1,2,0,1,1,2,3,6,-9
2024-03-07,DAL,MIA,0,6,18.97,3,1,2,0,0,0,1,2,2,1,1,0,0,2,-3
2024-03-09,DAL,DET,1,18,27.0,5,2,1,0,4,5,0,1,2,2,0,0,3,8,9
2024-03-11,DAL,CHI,1,35,23.15,3,2,2,1,0,0,0,3,3,0,0,0,0,5,26
2024-03-13,DAL,GSW,0,10,23.55,6,5,2,1,0,0,2,5,0,0,0,1,4,11,-8
2024-03-14,DAL,OKC,1,-7,4.22,2,1,1,0,0,0,0,0,0,0,0,1,0,2,1
2024-04-10,DAL,MIA,1,19,13.75,5,1,3,1,0,0,1,4,2,1,0,0,2,3,7
2024-04-12,DAL,DET,0,-18,23.27,6,2,3,0,0,0,0,3,0,1,0,2,0,4,-14
2024-04-14,DAL,OKC,1,-49,31.28,8,1,4,0,2,2,1,3,3,0,0,1,0,4,-44
