Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-30,MIA,MIL,1,-8,23.03,7,3,2,0,0,0,0,3,2,0,0,0,3,6,4
2023-11-01,MIA,BRK,0,-4,30.3,9,1,5,1,1,2,0,3,3,1,0,0,2,4,-13
2023-11-03,MIA,WAS,0,7,25.53,6,4,2,1,1,1,0,3,5,0,0,2,2,10,-2
2023-11-06,MIA,LAL,0,1,21.27,2,1,2,1,0,0,0,2,0,0,0,1,4,3,-6
2023-11-08,MIA,MEM,1,6,16.8,9,1,5,0,0,0,0,0,2,0,1,4,1,2,-19
2023-11-11,MIA,ATL,1,8,22.75,7,6,4,3,1,1,0,2,0,0,0,1,0,16,15
2023-11-12,MIA,SAS,1,5,26.13,7,4,4,2,2,2,0,3,4,1,0,0,2,12,1
2023-11-14,MIA,CHO,1,6,33.02,10,2,6,0,2,2,1,5,6,1,1,1,2,6,11
2023-11-16,MIA,BRK,0,7,25.85,7,3,5,1,1,1,0,2,3,2,0,0,2,8,5
2023-11-18,MIA,CHI,1,-5,25.55,6,3,4,1,0,0,0,1,2,1,0,0,0,7,-26
2023-11-20,MIA,CHI,1,18,29.75,12,4,6,2,0,0,2,4,1,0,1,3,2,10,11
2023-11-22,MIA,CLE,1,33,27.15,9,5,4,2,2,2,1,1,5,2,0,0,0,14,13
2023-11-24,MIA,NYK,1,-2,34.23,10,5,4,2,3,3,1,2,2,2,0,2,3,15,-7
2023-11-25,MIA,BRK,1,-15,36.68,11,4,5,0,3,3,2,5,5,0,1,2,1,11,-16
2023-11-28,MIA,MIL,0,-7,36.57,13,7,7,3,3,4,1,3,7,0,0,0,2,20,-10
2023-11-30,MIA,IND,0,10,31.72,11,8,2,0,3,4,1,4,3,0,0,2,3,19,22
2023-12-02,MIA,IND,0,-15,23.77,9,6,4,2,2,2,0,2,3,0,1,2,1,16,-11
2023-12-06,MIA,TOR,1,9,30.48,6,2,4,1,2,2,1,4,2,0,0,1,3,7,-7
2023-12-08,MIA,CLE,0,-12,30.73,11,6,7,5,0,0,0,1,2,1,0,1,3,17,7
2023-12-11,MIA,CHO,1,2,25.45,7,0,4,0,2,2,0,4,4,1,0,0,0,2,-11
2023-12-16,MIA,CHI,0,2,20.43,7,3,5,2,0,0,1,2,2,0,0,1,1,8,-12
2023-12-18,MIA,MIN,0,-4,25.93,6,4,4,2,3,3,0,4,3,0,0,1,2,13,-7
2023-12-20,MIA,ORL,1,9,33.78,12,4,8,4,0,0,0,2,4,1,1,0,1,12,7
2023-12-22,MIA,ATL,0,9,28.92,5,1,4,0,1,1,0,3,1,1,0,1,0,3,0
2024-01-03,MIA,LAL,1,14,20.5,7,4,3,2,0,0,0,1,1,0,1,0,3,10,9
2024-01-05,MIA,PHO,1,-16,28.98,9,2,6,1,5,5,1,8,7,2,0,0,3,10,-4
2024-01-08,MIA,HOU,0,7,29.13,6,4,3,2,2,2,0,2,2,0,1,0,2,12,1
2024-01-10,MIA,OKC,0,-8,20.78,7,3,5,2,0,0,0,1,2,1,0,2,2,8,-19
2024-01-12,MIA,ORL,0,3,25.15,6,4,1,0,1,1,0,1,2,1,0,2,2,9,-5
2024-01-14,MIA,CHO,0,17,19.53,8,4,3,2,1,1,1,2,0,0,0,1,1,11,5
2024-01-15,MIA,BRK,1,1,27.97,13,3,6,2,1,1,1,5,1,0,1,1,2,9,-11
2024-01-17,MIA,TOR,1,-24,23.38,7,2,4,1,0,0,0,1,0,1,2,1,3,5,-24
2024-01-19,MIA,ATL,0,-1,20.85,5,2,4,2,3,3,0,3,0,0,1,0,1,9,-9
2024-01-21,MIA,ORL,1,-18,8.85,4,1,3,1,0,0,0,2,0,0,0,1,1,3,-2
2024-01-24,MIA,MEM,0,-9,18.12,7,4,4,1,0,0,0,3,2,0,1,1,2,9,6
2024-01-25,MIA,BOS,0,-33,23.65,9,4,4,0,0,0,1,2,3,1,0,0,1,8,-8
2024-01-29,MIA,PHO,0,-13,23.9,8,4,4,2,2,2,1,4,2,2,0,1,1,12,7
2024-01-31,MIA,SAC,0,9,27.28,15,9,10,6,0,0,0,5,3,0,1,0,2,24,5
2024-02-02,MIA,WAS,1,8,24.73,8,3,6,1,0,0,0,4,2,0,0,1,2,7,-6
2024-02-04,MIA,LAC,0,-8,33.18,13,6,8,2,0,0,0,3,4,0,0,0,2,14,-8
2024-02-06,MIA,ORL,0,26,27.27,7,5,3,3,0,0,2,5,1,2,0,0,4,13,16
2024-02-07,MIA,SAS,0,12,26.47,6,2,4,1,4,4,0,4,0,0,0,0,2,9,-3
2024-02-11,MIA,BOS,0,-4,7.15,3,1,2,0,0,0,0,0,2,0,0,0,0,2,-6
