Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BOS,NYK,1,4,34.78,10,4,5,1,0,0,2,4,2,0,3,2,3,9,3
2023-10-27,BOS,MIA,0,8,36.45,13,7,4,1,2,2,2,10,7,0,1,1,2,17,4
2023-10-30,BOS,WAS,1,19,26.7,7,4,3,1,2,2,1,5,3,1,2,1,1,11,28
2023-11-01,BOS,IND,0,51,25.43,9,6,4,3,0,0,0,7,4,0,1,1,0,15,20
2023-11-04,BOS,BRK,1,10,40.37,15,6,9,4,2,2,4,9,10,0,1,3,1,18,14
2023-11-06,BOS,MIN,1,-5,41.6,16,4,4,0,4,6,3,11,6,1,0,3,3,12,-19
2023-11-08,BOS,PHI,1,-3,34.75,9,4,3,2,2,2,1,5,5,1,0,2,1,12,13
2023-11-10,BOS,BRK,0,14,32.83,14,6,5,1,0,0,3,12,9,2,0,0,2,13,26
2023-11-11,BOS,TOR,0,23,29.8,9,4,2,0,0,0,0,3,7,1,2,4,2,8,22
2023-11-13,BOS,NYK,0,16,36.92,9,5,5,3,1,1,4,7,2,0,0,2,2,14,5
2023-11-15,BOS,PHI,1,10,35.48,18,8,9,2,0,1,2,10,3,1,2,1,0,18,16
2023-11-17,BOS,TOR,1,3,34.68,14,5,4,2,2,2,2,8,5,0,0,1,2,14,-2
2023-11-19,BOS,MEM,1,2,36.77,7,2,3,1,2,2,2,6,4,0,0,2,1,7,-9
2023-11-20,BOS,CHO,1,-3,37.2,11,5,3,1,0,2,3,6,5,1,2,7,1,11,-4
2023-11-22,BOS,MIL,0,3,34.97,8,1,5,1,2,2,1,8,1,1,1,2,3,5,-1
2023-11-28,BOS,CHI,0,27,33.18,8,5,5,4,0,0,1,7,9,1,0,3,3,14,19
2023-12-01,BOS,PHI,0,6,34.97,11,4,5,3,2,2,0,5,6,1,0,3,2,13,7
2023-12-04,BOS,IND,1,-10,38.03,9,3,5,1,2,2,1,6,3,1,1,1,1,9,-15
2023-12-08,BOS,NYK,0,10,34.83,11,7,3,1,1,1,0,6,5,2,1,1,1,16,6
2023-12-12,BOS,CLE,0,7,34.02,7,4,5,3,0,0,2,4,2,3,1,1,3,11,2
2023-12-14,BOS,CLE,0,9,37.22,11,7,3,1,0,0,2,3,4,0,0,2,2,15,11
2023-12-15,BOS,ORL,0,17,28.2,7,2,3,2,0,0,1,4,4,2,1,0,2,6,12
2023-12-17,BOS,ORL,0,17,34.22,12,6,5,2,0,0,1,6,0,0,2,3,2,14,17
2023-12-19,BOS,GSW,1,-6,35.67,12,5,5,1,2,2,1,7,1,2,0,1,5,13,-14
2023-12-20,BOS,SAC,1,25,33.88,13,7,6,4,3,3,2,8,10,2,1,3,1,21,17
2023-12-23,BOS,LAC,1,37,27.6,12,8,6,4,0,0,3,6,7,1,0,1,1,20,22
2023-12-25,BOS,LAL,1,11,38.23,10,7,5,3,1,1,2,7,7,1,1,2,1,18,15
2023-12-28,BOS,DET,0,6,44.13,9,4,2,0,4,5,2,9,3,1,1,3,1,12,1
