Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAS,DAL,0,-7,31.73,15,7,3,1,2,3,2,9,7,0,0,3,4,17,0
2023-10-27,SAS,HOU,0,4,35.23,14,8,7,3,1,2,2,4,4,0,1,3,5,20,-2
2023-10-29,SAS,LAC,1,-40,24.3,9,1,5,1,2,2,0,5,1,1,0,0,4,5,-27
2023-10-31,SAS,PHO,1,1,32.67,20,10,9,4,3,4,1,3,4,2,0,0,1,27,1
2023-11-02,SAS,PHO,1,11,35.02,11,3,6,1,0,0,1,7,6,2,1,0,5,7,11
2023-11-05,SAS,TOR,0,-7,37.68,18,11,4,2,2,2,1,6,3,2,0,0,1,26,-17
2023-11-06,SAS,IND,1,-41,23.1,12,6,0,0,4,5,1,3,3,0,0,1,1,16,-19
2023-11-08,SAS,NYK,1,-21,33.07,9,4,4,1,0,2,0,7,8,0,0,3,4,9,-21
2023-11-10,SAS,MIN,0,-7,33.25,10,2,3,0,2,4,0,5,1,0,0,1,2,6,-9
2023-11-12,SAS,MIA,0,-5,36.93,18,8,10,3,1,1,0,12,6,1,1,1,2,20,7
2023-11-17,SAS,SAC,0,-9,35.85,16,7,9,5,2,2,0,9,7,1,1,3,1,21,-12
2023-11-18,SAS,MEM,0,-12,33.43,14,8,7,4,2,3,0,3,1,0,0,0,1,22,-13
2023-11-20,SAS,LAC,0,-25,31.65,16,9,8,2,2,4,2,10,5,1,0,1,2,22,-10
2023-11-22,SAS,LAC,0,-7,36.03,13,5,8,2,3,3,2,3,6,0,1,0,4,15,0
2023-11-24,SAS,GSW,1,-6,34.07,13,8,7,3,3,5,4,12,4,2,0,3,3,22,5
2023-11-26,SAS,DEN,1,-12,30.78,7,3,2,0,4,5,0,1,2,0,0,0,1,10,-16
2023-11-30,SAS,ATL,0,-2,32.53,15,8,3,2,4,5,4,11,3,1,0,2,2,22,-1
2023-12-01,SAS,NOP,1,-15,33.2,7,4,3,1,2,2,1,7,3,1,0,2,2,11,-7
2023-12-06,SAS,MIN,1,-8,31.85,15,8,2,1,4,5,1,10,3,2,1,4,4,21,-3
2023-12-08,SAS,CHI,0,-9,34.78,11,6,11,6,2,2,0,2,5,0,1,0,3,20,-7
