Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,WAS,IND,1,-23,24.87,18,9,4,1,6,6,1,2,0,0,2,0,0,25,-10
2023-10-28,WAS,MEM,0,7,35.85,23,9,10,1,2,3,3,13,2,1,0,0,2,21,-1
2023-10-30,WAS,BOS,0,-19,26.33,15,9,6,3,0,0,0,5,4,0,0,2,0,21,-24
2023-11-01,WAS,ATL,1,-9,25.22,21,11,6,1,2,3,0,9,6,0,0,1,1,25,-16
2023-11-03,WAS,MIA,1,-7,31.05,19,8,9,4,2,2,1,4,3,0,0,5,3,22,-20
2023-11-06,WAS,PHI,1,-18,29.97,20,12,5,4,0,1,2,6,4,0,1,2,2,28,-4
2023-11-08,WAS,CHO,1,16,31.3,24,13,11,4,3,3,3,9,4,0,0,2,1,33,8
2023-11-10,WAS,CHO,0,-7,29.08,17,7,5,2,1,1,1,6,1,0,0,3,1,17,-19
2023-11-12,WAS,BRK,1,-8,31.28,16,4,5,0,7,10,0,4,3,1,2,1,2,15,-29
2023-11-13,WAS,TOR,1,-4,37.95,25,14,7,4,2,3,1,3,3,0,0,6,5,34,1
2023-11-15,WAS,DAL,0,-13,29.8,18,6,6,2,8,10,2,6,3,0,0,2,1,22,-24
2023-11-17,WAS,NYK,0,-21,31.82,21,8,8,3,0,0,0,4,5,0,0,2,3,19,-20
2023-11-20,WAS,MIL,0,-13,30.97,15,10,5,2,0,0,0,3,13,2,1,2,2,22,3
2023-11-22,WAS,CHO,1,-3,35.42,22,12,6,3,1,1,0,9,10,1,2,2,4,28,13
2023-11-24,WAS,MIL,1,-3,31.15,22,9,8,3,1,1,1,4,4,0,2,1,3,22,-1
2023-11-25,WAS,ATL,0,-28,25.2,10,4,5,2,2,2,2,7,8,0,0,5,1,12,-25
2023-11-27,WAS,DET,1,19,34.92,23,10,7,2,10,11,0,12,8,0,0,1,0,32,18
2023-11-29,WAS,ORL,1,-19,34.53,20,9,4,1,4,5,0,3,6,0,0,4,1,23,-11
2023-12-01,WAS,ORL,1,-5,37.33,18,10,6,2,5,6,1,6,1,1,2,6,6,27,-7
2023-12-06,WAS,PHI,0,-5,33.63,16,7,5,2,0,0,0,3,7,0,1,1,3,16,-12
2023-12-08,WAS,BRK,1,-27,30.12,17,8,4,1,0,1,1,3,2,0,0,3,2,17,-23
2023-12-11,WAS,PHI,1,-45,27.47,17,9,2,1,2,4,2,9,1,0,0,2,0,21,-28
2023-12-13,WAS,NOP,0,-20,29.5,19,10,8,4,3,4,0,7,4,1,1,2,1,27,-6
2023-12-15,WAS,IND,0,14,29.58,23,11,9,4,5,8,0,5,4,1,0,3,3,31,12
2023-12-17,WAS,PHO,1,-4,34.38,22,7,13,3,0,2,1,7,2,0,2,2,6,17,0
2023-12-18,WAS,SAC,1,-12,29.2,16,8,7,3,8,8,0,8,1,0,1,3,1,27,-23
2023-12-21,WAS,POR,1,1,37.27,22,11,7,3,7,10,2,8,6,1,0,3,0,32,4
2023-12-22,WAS,GSW,1,-11,24.72,11,3,5,1,0,1,0,9,3,0,0,3,2,7,-5
2023-12-26,WAS,ORL,0,-8,35.87,18,6,8,2,3,3,1,4,6,0,1,6,5,17,8
2023-12-27,WAS,TOR,0,-30,30.0,13,6,5,1,1,2,2,4,7,0,0,5,3,14,-21
2023-12-29,WAS,BRK,0,6,30.98,22,11,10,4,0,0,1,8,2,0,1,2,1,26,-9
2023-12-31,WAS,ATL,0,-4,33.55,31,15,18,7,1,1,2,8,5,0,0,2,4,38,0
2024-01-03,WAS,CLE,1,-39,22.7,12,7,6,2,0,0,0,2,3,1,0,1,1,16,-22
2024-01-05,WAS,CLE,1,-24,25.47,14,4,4,1,0,0,1,2,2,1,0,7,2,9,-20
2024-01-06,WAS,NYK,0,-16,31.78,21,10,10,4,3,4,0,2,2,0,1,3,3,27,-8
2024-01-08,WAS,OKC,0,-8,37.18,24,10,5,0,2,2,4,15,5,0,0,2,1,22,1
2024-01-10,WAS,IND,1,-8,33.92,15,4,4,0,3,3,3,11,5,2,0,4,0,11,-10
2024-01-13,WAS,ATL,1,28,27.4,20,10,5,3,6,7,3,6,4,0,1,2,0,29,21
2024-01-15,WAS,DET,0,-12,33.15,21,7,9,3,4,4,0,8,4,3,2,0,2,21,-17
2024-01-18,WAS,NYK,1,-4,38.48,16,7,5,1,0,0,0,6,5,2,1,3,2,15,-2
2024-01-20,WAS,SAS,0,-4,29.07,14,5,4,0,1,1,3,12,6,1,0,2,0,11,-22
2024-01-21,WAS,DEN,0,-9,33.07,13,7,4,2,1,2,0,6,7,0,2,3,5,17,-11
2024-01-24,WAS,MIN,0,-11,34.73,11,5,8,3,4,4,0,14,8,0,1,5,4,17,-13
2024-01-25,WAS,UTA,0,-15,34.3,24,12,8,1,1,1,2,6,5,0,0,5,0,26,-8
2024-01-27,WAS,DET,1,14,32.1,27,13,13,3,1,2,0,6,4,1,1,1,1,30,4
2024-01-29,WAS,SAS,1,5,31.63,18,7,4,0,4,4,2,11,5,0,2,2,2,18,3
2024-01-31,WAS,LAC,0,-16,29.33,22,11,4,2,3,3,0,2,0,0,1,2,2,27,-11
2024-02-02,WAS,MIA,0,-8,36.23,16,5,5,1,2,2,0,4,1,0,0,0,5,13,-7
2024-02-07,WAS,CLE,0,-8,32.13,24,11,13,5,1,1,0,4,2,2,1,3,2,28,1
2024-02-09,WAS,BOS,1,-4,37.03,14,6,8,3,2,2,1,4,5,0,0,0,5,17,4
2024-02-10,WAS,PHI,0,-6,37.17,17,9,6,2,1,2,0,3,5,0,4,4,5,21,-7
2024-02-12,WAS,DAL,1,-8,32.08,19,9,7,1,4,5,0,8,0,1,0,4,4,23,-14
2024-02-22,WAS,DEN,1,-20,31.02,25,12,8,6,1,4,6,12,3,3,0,3,4,31,-17
2024-02-23,WAS,OKC,1,-41,26.5,14,7,2,0,0,2,1,4,2,0,0,3,2,14,-25
2024-02-25,WAS,CLE,0,-9,39.03,24,10,10,2,5,7,0,6,5,1,1,2,0,27,-15
2024-02-27,WAS,GSW,0,-11,37.78,21,12,4,1,2,2,1,12,2,0,1,6,0,27,-16
2024-02-29,WAS,LAL,1,-3,37.25,16,7,8,4,2,2,2,10,4,1,3,2,3,20,0
2024-03-01,WAS,LAC,1,-25,29.15,19,13,7,5,1,1,0,7,1,1,0,1,2,32,-16
