Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,DET,MIA,1,-1,16.18,3,3,0,0,2,2,2,8,3,0,1,1,1,8,3
2023-10-27,DET,CHO,1,12,13.15,9,5,1,0,4,5,0,4,1,0,0,0,0,14,6
2023-10-28,DET,CHI,0,16,14.78,8,5,1,1,0,0,2,6,0,0,0,0,2,11,10
2023-10-30,DET,OKC,1,-12,24.02,4,3,0,0,7,8,1,4,1,0,0,0,1,13,0
2023-11-01,DET,POR,0,-9,33.32,10,3,2,0,4,5,0,6,3,0,2,5,3,10,8
2023-11-02,DET,NOP,1,-9,13.35,7,3,0,0,0,0,4,9,0,0,1,1,0,6,5
2023-11-05,DET,PHO,0,-14,11.33,5,3,0,0,5,5,1,2,1,0,0,1,5,11,7
2023-11-06,DET,GSW,0,-11,24.47,8,4,0,0,2,2,0,2,1,0,0,1,1,10,-2
2023-11-08,DET,MIL,1,-2,19.55,6,5,0,0,2,2,2,2,2,0,1,1,4,12,1
2023-11-10,DET,PHI,0,-8,13.3,4,3,0,0,0,0,2,5,1,0,0,1,2,6,2
2023-11-12,DET,CHI,1,-11,23.08,12,6,1,0,2,2,2,5,1,0,1,3,1,14,-8
2023-11-14,DET,ATL,0,-6,30.2,12,9,0,0,4,4,6,11,1,0,1,4,2,22,4
2023-11-17,DET,CLE,1,-8,15.85,5,3,0,0,2,2,1,3,1,1,1,1,0,8,-17
2023-11-19,DET,TOR,1,-29,14.92,4,3,0,0,0,0,1,2,3,0,0,0,0,6,-21
2023-11-20,DET,DEN,0,-4,25.75,13,7,0,0,4,5,3,8,1,0,0,1,4,18,8
2023-11-24,DET,IND,1,-23,14.22,6,3,0,0,0,0,3,6,2,0,3,1,1,6,-8
2023-11-29,DET,LAL,0,-26,14.48,4,2,0,0,0,2,1,2,0,0,0,0,0,4,-4
2023-11-30,DET,NYK,1,-6,14.47,6,3,0,0,2,2,3,3,1,0,1,1,1,8,-7
2023-12-02,DET,CLE,0,-9,6.92,1,0,0,0,0,0,1,3,0,1,0,0,1,0,-11
2023-12-08,DET,ORL,1,-32,22.97,7,4,0,0,1,2,2,5,0,0,0,4,1,9,-19
2023-12-16,DET,MIL,1,-32,21.97,11,6,0,0,0,1,3,7,1,1,2,0,3,12,-17
2023-12-18,DET,ATL,1,-6,22.73,12,7,0,0,3,4,1,1,0,0,0,2,2,17,-9
2023-12-21,DET,UTA,0,-8,30.65,12,10,1,0,2,2,2,5,0,0,0,0,3,22,6
2023-12-23,DET,BRK,1,-11,15.35,4,2,0,0,1,2,2,5,0,0,0,1,0,5,-9
2024-01-01,DET,HOU,1,-23,9.22,2,1,0,0,0,0,0,0,2,1,0,0,0,2,1
2024-01-12,DET,HOU,0,-2,12.22,6,4,0,0,3,4,1,4,1,1,0,0,2,11,-2
2024-01-18,WAS,NYK,1,-4,39.12,16,10,0,0,0,5,6,11,2,2,3,3,3,20,2
2024-01-20,WAS,SAS,0,-4,35.63,19,8,3,1,4,4,7,12,2,1,0,2,5,21,-19
2024-01-21,WAS,DEN,0,-9,17.58,9,5,0,0,4,4,5,7,1,0,0,0,3,14,1
2024-01-24,WAS,MIN,0,-11,25.98,8,7,0,0,3,8,6,15,0,1,0,1,3,17,-1
2024-01-25,WAS,UTA,0,-15,16.18,5,4,0,0,6,9,1,3,1,0,0,1,2,14,-15
2024-01-27,WAS,DET,1,14,19.93,7,3,0,0,7,8,5,8,2,1,0,3,4,13,9
2024-01-29,WAS,SAS,1,5,19.73,6,5,0,0,5,6,0,3,1,0,0,5,3,15,2
2024-01-31,WAS,LAC,0,-16,17.95,7,5,0,0,0,0,3,8,2,0,0,1,1,10,-10
2024-02-10,WAS,PHI,0,-6,14.87,7,1,1,0,0,0,0,1,0,0,2,0,1,2,1
2024-02-12,WAS,DAL,1,-8,28.07,10,6,0,0,0,0,5,13,2,1,1,1,3,12,-3
2024-02-14,WAS,NOP,1,-7,30.08,14,6,2,1,1,2,6,10,2,0,2,1,1,14,-1
2024-02-22,WAS,DEN,1,-20,17.35,8,4,1,0,0,0,5,7,2,2,0,0,0,8,-23
2024-02-23,WAS,OKC,1,-41,20.97,12,6,0,0,3,3,10,14,1,2,1,1,0,15,-10
2024-02-25,WAS,CLE,0,-9,32.98,10,4,2,0,1,3,2,10,2,0,1,1,1,9,1
2024-02-27,WAS,GSW,0,-11,32.93,11,8,1,1,3,3,3,9,2,1,2,1,2,20,8
2024-02-29,WAS,LAL,1,-3,33.68,14,11,1,1,0,1,1,4,1,0,2,1,3,23,11
2024-03-01,WAS,LAC,1,-25,27.83,9,5,0,0,0,0,6,10,0,0,0,0,2,10,-17
2024-03-04,WAS,UTA,1,-12,23.07,7,2,0,0,2,2,2,9,4,1,0,2,0,6,-7
2024-03-23,WAS,TOR,0,3,16.4,7,4,2,1,1,1,3,8,0,0,2,1,0,10,1
2024-03-25,WAS,CHI,1,2,17.33,8,7,0,0,2,2,1,2,0,0,0,1,0,16,11
2024-03-27,WAS,BRK,0,-3,24.83,10,7,2,2,2,2,1,6,0,0,1,0,0,18,3
2024-03-29,WAS,DET,0,-9,27.15,9,7,1,1,0,0,3,11,1,0,2,0,1,15,-9
2024-03-31,WAS,MIA,0,-12,25.88,9,5,0,0,2,2,3,10,0,2,0,3,3,12,-3
2024-04-02,WAS,MIL,0,4,9.35,5,2,1,0,0,0,0,3,0,1,0,1,0,4,5
