Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,CLE,BRK,1,1,38.97,17,9,13,7,2,2,0,12,2,1,1,0,4,27,13
2023-10-27,CLE,OKC,0,-3,37.72,14,3,11,2,0,0,0,5,4,2,1,2,1,8,8
2023-10-28,CLE,IND,0,-12,41.77,20,7,9,4,3,3,1,11,6,0,0,1,2,21,-5
2023-10-31,CLE,NYK,0,-18,33.05,9,2,7,1,1,2,0,3,3,0,0,0,2,6,-12
2023-11-01,CLE,NYK,1,6,34.72,9,3,5,0,3,3,0,4,4,0,2,5,3,9,3
2023-11-03,CLE,IND,1,-5,28.28,9,4,6,1,1,2,0,1,0,1,1,1,2,10,3
2023-11-05,CLE,GSW,0,11,35.92,13,6,10,3,0,0,0,4,4,1,0,0,3,15,4
2023-11-08,CLE,OKC,1,-8,31.73,7,4,6,4,0,0,2,7,3,0,1,0,2,12,-5
2023-11-11,CLE,GSW,1,8,32.87,9,6,3,2,2,2,1,8,4,1,0,0,2,16,6
2023-11-13,CLE,SAC,1,-12,34.05,12,7,9,5,0,0,2,5,4,1,0,1,3,19,10
2023-11-15,CLE,POR,1,14,36.7,12,5,7,1,3,3,1,3,7,1,0,5,3,14,25
2023-11-17,CLE,DET,0,8,38.73,15,7,8,4,0,0,1,7,3,4,1,2,1,18,9
2023-11-19,CLE,DEN,0,12,31.77,7,3,6,2,3,4,1,6,5,0,1,3,3,11,14
2023-11-21,CLE,PHI,1,3,44.27,15,7,10,5,1,2,2,5,6,2,1,2,5,20,-4
2023-11-22,CLE,MIA,0,-33,24.85,6,2,4,2,0,0,0,3,3,0,1,2,0,6,-11
2023-11-25,CLE,LAL,0,-6,33.8,11,5,7,3,0,0,0,4,2,1,0,3,2,13,-19
2023-11-26,CLE,TOR,0,3,37.1,16,8,9,4,0,0,1,11,5,0,1,2,4,20,-4
2023-11-28,CLE,ATL,0,23,35.3,11,4,7,3,0,0,2,3,7,2,2,0,2,11,30
2023-11-30,CLE,POR,0,-8,35.7,11,4,6,1,0,0,0,3,3,2,0,2,6,9,-10
2023-12-02,CLE,DET,1,9,37.7,16,9,10,4,0,0,0,5,5,1,0,1,4,22,10
2023-12-06,CLE,ORL,0,10,31.45,10,5,8,4,3,4,1,5,6,1,0,1,5,17,4
2023-12-08,CLE,MIA,1,12,33.93,17,4,11,2,1,1,2,7,1,1,0,0,3,11,18
2023-12-11,CLE,ORL,1,-10,26.02,9,1,5,0,4,6,1,2,3,1,0,3,4,6,0
2023-12-12,CLE,BOS,1,-7,37.17,15,6,11,5,0,0,0,9,3,0,0,1,4,17,1
2023-12-14,CLE,BOS,1,-9,31.28,5,2,4,1,0,0,2,4,2,0,0,1,5,5,-4
2023-12-16,CLE,ATL,0,8,34.22,13,4,8,1,2,2,1,6,5,1,1,1,2,11,12
2023-12-18,CLE,HOU,0,5,34.23,13,5,9,3,4,5,0,3,2,0,0,0,3,17,2
2023-12-20,CLE,UTA,0,8,32.85,15,6,12,6,0,0,1,4,4,0,0,5,3,18,-5
2023-12-21,CLE,NOP,0,-19,33.33,16,4,12,2,3,5,0,3,5,0,0,3,2,13,-15
2023-12-23,CLE,CHI,1,14,40.53,22,9,17,5,3,3,0,1,7,2,1,3,2,26,15
2023-12-27,CLE,DAL,1,3,33.57,10,3,8,2,0,0,1,5,6,1,1,2,3,8,4
2023-12-29,CLE,MIL,0,-8,36.48,18,5,11,2,0,0,1,4,2,4,2,1,3,12,-5
2024-01-01,CLE,TOR,1,-3,37.35,7,2,5,2,0,0,0,6,3,1,1,3,4,6,9
2024-01-03,CLE,WAS,0,39,28.0,13,9,8,6,0,0,2,4,3,1,1,1,4,24,32
2024-01-05,CLE,WAS,0,24,30.15,6,4,3,1,0,0,0,5,3,0,0,3,1,9,10
2024-01-07,CLE,SAS,0,2,37.47,11,3,9,2,0,0,1,5,4,2,0,2,2,8,-9
2024-01-11,CLE,BRK,0,9,6.75,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8
