Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BRK,CLE,0,-1,28.28,10,3,0,0,1,1,4,7,4,0,3,0,1,7,-12
2023-11-12,BRK,WAS,0,8,27.88,7,5,0,0,0,0,4,13,2,0,4,0,2,10,8
2023-11-14,BRK,ORL,0,20,20.83,5,3,0,0,2,2,2,6,0,1,2,1,4,8,20
2023-11-16,BRK,MIA,1,-7,25.75,7,7,0,0,2,4,1,6,2,1,3,1,2,16,-7
2023-11-19,BRK,PHI,0,-22,22.65,6,5,0,0,0,3,0,9,1,0,1,2,3,10,-17
2023-11-22,BRK,ATL,1,-2,36.65,15,10,0,0,2,2,7,11,3,1,3,2,6,22,-6
2023-11-25,BRK,MIA,0,15,24.07,7,5,0,0,3,4,2,6,0,2,3,0,1,13,3
2023-11-28,BRK,TOR,0,12,31.57,10,7,0,0,1,4,2,8,0,0,4,0,1,15,20
2023-11-30,BRK,CHO,0,-1,29.48,13,9,0,0,2,2,9,14,2,1,2,1,1,20,-7
2023-12-02,BRK,ORL,0,28,23.83,4,3,0,0,0,0,4,7,1,0,1,1,4,6,3
2023-12-06,BRK,ATL,1,1,28.22,5,1,0,0,2,4,2,10,4,1,1,0,1,4,-5
2023-12-08,BRK,WAS,0,27,26.4,8,6,0,0,1,2,4,15,0,0,2,1,3,13,15
2023-12-11,BRK,SAC,1,-13,26.0,6,3,0,0,2,2,4,10,0,0,3,0,2,8,-24
2023-12-13,BRK,PHO,1,4,33.38,10,6,1,1,1,2,0,7,1,0,1,0,4,14,-6
2023-12-14,BRK,DEN,1,-23,17.13,9,5,0,0,0,0,1,9,2,0,0,2,5,10,-16
2023-12-16,BRK,GSW,1,-4,33.1,12,8,0,0,3,3,5,12,1,0,4,2,1,19,-5
2023-12-18,BRK,UTA,1,-17,26.35,5,4,0,0,3,4,2,7,0,0,4,3,3,11,-18
2023-12-20,BRK,NYK,0,-19,25.7,5,3,0,0,0,0,4,8,2,0,4,0,5,6,-21
2023-12-22,BRK,DEN,0,-5,28.18,8,4,0,0,2,4,1,16,6,0,3,1,1,10,-10
2023-12-23,BRK,DET,0,11,29.55,8,4,0,0,3,4,2,7,2,2,2,2,2,11,5
2023-12-26,BRK,DET,1,6,26.37,5,5,0,0,1,3,2,11,2,0,3,0,2,11,-9
2023-12-29,BRK,WAS,1,-6,29.57,10,4,0,0,3,5,4,12,2,0,3,1,0,11,7
2023-12-31,BRK,OKC,1,-16,36.55,11,5,0,0,5,10,6,16,5,1,1,0,2,15,-21
2024-01-02,BRK,NOP,1,-27,22.63,7,4,0,0,0,0,0,3,1,0,2,0,1,8,-19
2024-01-03,BRK,HOU,1,-11,27.7,8,6,0,0,0,0,5,13,0,1,2,1,5,12,-8
2024-01-05,BRK,OKC,0,9,33.92,11,8,0,0,7,10,8,13,3,1,0,3,1,23,5
2024-01-07,BRK,POR,0,-7,36.25,8,8,0,0,0,2,2,11,3,2,4,5,5,16,-2
2024-01-11,BRK,CLE,1,-9,33.27,9,6,0,0,1,2,3,11,1,1,0,4,3,13,0
2024-01-15,BRK,MIA,0,-1,42.58,9,4,0,0,1,1,2,13,2,0,2,1,1,9,-4
2024-01-17,BRK,POR,1,-2,31.82,5,4,0,0,4,10,2,12,0,3,1,1,3,12,-4
2024-01-19,BRK,LAL,1,18,32.72,16,11,0,0,0,0,2,14,1,1,2,0,3,22,8
2024-01-21,BRK,LAC,1,-11,31.08,10,7,1,0,2,4,2,6,3,1,2,0,5,16,-9
2024-01-23,BRK,NYK,0,-5,38.7,9,4,0,0,0,0,6,17,1,2,1,3,1,8,-6
2024-01-25,BRK,MIN,0,-2,38.75,10,8,0,0,0,0,2,11,4,2,2,0,2,16,2
2024-01-27,BRK,HOU,0,2,37.1,7,5,1,0,0,4,1,13,4,1,1,3,5,10,-7
2024-01-29,BRK,UTA,0,33,26.25,11,5,0,0,1,1,4,10,2,1,3,2,1,11,2
2024-01-31,BRK,PHO,0,-16,30.27,12,6,0,0,0,0,1,9,4,1,0,1,3,12,-11
2024-02-03,BRK,PHI,1,15,25.6,4,4,0,0,4,6,3,15,4,0,4,1,1,12,17
2024-02-05,BRK,GSW,0,-11,31.93,9,7,0,0,1,2,2,5,1,0,7,0,1,15,-8
2024-02-06,BRK,DAL,0,-12,34.6,9,3,0,0,3,3,2,11,2,0,5,2,3,9,-15
2024-02-08,BRK,CLE,0,-23,25.13,10,3,0,0,0,0,2,7,1,0,1,2,4,6,-18
2024-02-10,BRK,SAS,0,20,27.03,15,10,1,0,0,0,3,11,0,1,2,0,3,20,12
2024-02-13,BRK,BOS,0,-8,28.48,5,4,0,0,2,4,2,8,1,0,2,1,4,10,-21
2024-02-14,BRK,BOS,1,-50,20.72,6,3,0,0,0,0,2,8,3,0,0,1,0,6,-26
2024-02-22,BRK,TOR,1,-28,32.02,5,3,0,0,0,0,2,10,3,2,0,2,2,6,-24
2024-02-24,BRK,MIN,1,-15,29.98,12,6,0,0,0,0,3,7,3,0,1,1,2,12,-7
2024-02-26,BRK,MEM,1,25,21.3,5,5,0,0,0,0,0,4,3,1,3,1,4,10,13
2024-02-27,BRK,ORL,1,-27,27.3,6,4,0,0,2,4,2,5,1,0,0,2,3,10,-19
2024-02-29,BRK,ATL,0,27,28.15,6,1,0,0,3,4,2,8,2,0,1,0,1,5,12
2024-03-02,BRK,ATL,0,12,33.82,9,6,0,0,0,2,1,13,4,2,2,2,2,12,13
