Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-01,TOR,MIL,0,19,15.62,4,2,4,2,0,0,2,3,1,0,1,0,3,6,11
2023-11-05,TOR,SAS,1,7,19.33,4,2,4,2,0,0,0,4,0,0,1,0,2,6,9
2023-11-08,TOR,DAL,1,11,15.08,3,0,2,0,0,0,0,3,0,1,0,0,1,0,9
2023-11-11,TOR,BOS,1,-23,14.33,2,1,2,1,0,0,0,3,0,1,0,0,1,3,-9
2023-11-13,TOR,WAS,0,4,14.25,6,2,1,0,1,1,1,1,0,1,1,0,0,5,-13
2023-11-15,TOR,MIL,0,-16,10.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-11-21,TOR,ORL,1,-19,4.52,2,2,1,1,0,0,1,2,0,0,0,1,1,5,4
2023-11-22,TOR,IND,1,1,11.08,1,1,1,1,0,0,1,4,0,0,0,0,2,3,14
2023-11-26,TOR,CLE,1,-3,5.42,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-4
2023-12-06,TOR,MIA,0,-9,14.43,2,0,2,0,0,0,0,2,1,1,1,1,2,0,14
2023-12-08,TOR,CHO,1,-3,5.72,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-7
2023-12-22,TOR,PHI,1,-10,14.9,3,1,3,1,2,2,0,3,0,0,0,0,3,5,-10
2023-12-27,TOR,WAS,1,30,12.92,3,3,0,0,0,0,0,2,2,1,1,0,2,6,12
2023-12-29,TOR,BOS,1,-2,8.28,1,0,1,0,0,0,0,0,2,0,0,0,0,0,-5
2023-12-30,TOR,DET,1,-2,7.5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-3
