Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-26,PHI,MIL,1,-1,25.58,2,0,2,0,0,0,1,7,0,2,0,0,5,0,2
2023-10-28,PHI,TOR,1,7,21.2,1,1,1,1,0,0,0,3,0,0,0,1,3,3,0
2023-10-29,PHI,POR,0,28,19.57,2,1,2,1,0,0,0,4,0,1,2,1,1,3,26
2023-11-01,LAC,LAL,1,-5,20.82,1,0,0,0,0,0,5,5,0,0,0,0,4,0,-15
2023-11-06,LAC,NYK,1,-14,11.25,2,0,2,0,2,2,1,1,0,1,0,0,1,2,-9
2023-11-08,LAC,BRK,1,-7,20.8,3,1,1,0,1,1,3,6,3,1,1,0,3,3,10
2023-11-10,LAC,DAL,1,-18,6.17,1,0,1,0,0,0,0,1,0,0,0,0,2,0,-20
2023-11-12,LAC,MEM,0,-4,13.1,2,1,2,1,0,0,1,2,1,1,0,0,1,3,4
2023-11-14,LAC,DEN,1,-3,21.37,3,2,3,2,0,0,2,5,0,0,0,1,1,6,-7
2023-11-17,LAC,HOU,0,6,14.93,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-24
2023-11-20,LAC,SAS,1,25,15.67,0,0,0,0,0,0,0,5,0,0,0,0,2,0,5
2023-11-22,LAC,SAS,1,7,12.75,0,0,0,0,0,0,1,1,0,0,0,1,2,0,9
2023-11-24,LAC,NOP,0,-10,22.15,2,0,2,0,0,0,2,2,3,1,0,0,4,0,7
2023-11-25,LAC,DAL,0,19,7.72,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3
2023-11-27,LAC,DEN,0,-9,5.93,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3
2024-02-23,LAC,MEM,1,6,14.22,0,0,0,0,0,0,1,3,0,0,0,0,2,0,-4
2024-02-25,LAC,SAC,0,-16,5.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-02-28,LAC,LAL,0,-4,11.12,0,0,0,0,0,0,0,2,0,0,0,1,1,0,-3
2024-03-10,LAC,MIL,0,-7,25.5,9,3,6,1,0,0,4,6,2,0,1,1,0,7,-8
2024-03-15,LAC,NOP,1,-8,24.13,3,2,3,2,0,0,0,2,0,0,3,1,2,6,-2
2024-03-17,LAC,ATL,0,-17,20.67,3,1,1,1,0,0,2,4,0,1,0,0,1,3,3
2024-03-20,LAC,POR,1,13,25.62,0,0,0,0,0,0,0,7,1,2,0,0,2,0,1
2024-03-22,LAC,POR,1,8,8.28,2,1,1,1,0,0,0,2,1,0,0,0,1,3,7
2024-03-25,LAC,IND,0,-17,11.83,1,0,1,0,0,0,0,2,0,1,0,1,3,0,-14
2024-03-27,LAC,PHI,1,1,3.38,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-2
2024-04-04,LAC,DEN,0,2,16.62,2,0,1,0,0,0,1,3,1,0,0,0,4,0,-12
2024-04-05,LAC,UTA,0,29,14.12,2,1,1,1,0,0,0,0,1,1,0,0,1,3,16
2024-04-07,LAC,CLE,0,2,14.47,1,0,1,0,0,0,1,1,1,0,0,0,1,0,-9
2024-04-10,LAC,PHO,0,-16,23.32,5,4,2,2,0,0,1,5,1,1,0,0,0,10,13
2024-04-12,LAC,UTA,0,-1,20.73,1,0,1,0,0,0,2,5,0,1,0,0,0,0,3
2024-04-14,LAC,HOU,0,-11,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
