Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,CHO,ATL,0,6,31.8,18,12,6,1,0,0,1,5,2,0,0,1,4,25,5
2023-10-27,CHO,DET,0,-12,28.98,13,6,5,1,0,1,0,3,3,2,1,2,6,13,-12
2023-10-30,CHO,BRK,0,-12,35.37,14,7,3,1,0,1,3,12,2,0,0,1,4,15,-14
2023-11-01,CHO,HOU,1,-9,35.02,13,8,6,5,2,2,1,3,0,0,0,1,2,23,0
2023-11-04,CHO,IND,1,1,33.28,13,6,1,1,2,2,1,3,4,1,2,1,0,15,-13
2023-11-05,CHO,DAL,1,-6,34.25,15,8,4,1,3,4,0,4,1,0,0,0,3,20,8
2023-11-08,CHO,WAS,0,-16,35.78,11,4,5,0,6,7,1,7,1,0,2,2,2,14,-8
2023-11-10,CHO,WAS,1,7,37.83,15,5,6,0,1,2,3,10,4,1,0,2,0,11,-1
2023-11-12,CHO,NYK,1,-22,21.67,8,1,5,1,1,2,1,2,3,0,1,2,4,4,-30
2023-11-14,CHO,MIA,0,-6,36.43,23,12,11,6,2,2,2,6,1,0,0,1,1,32,-2
2023-11-17,CHO,MIL,0,-31,26.38,3,1,3,1,0,0,0,3,1,0,0,0,4,3,-2
2023-11-18,CHO,NYK,0,-14,32.73,10,1,7,1,0,0,0,6,2,1,2,6,4,3,-25
2023-11-20,CHO,BOS,0,3,28.15,13,6,9,3,0,0,0,1,1,2,1,0,1,15,-21
2023-11-26,CHO,ORL,1,-13,28.18,10,3,9,3,4,6,0,4,2,0,3,1,5,13,-5
2023-11-28,CHO,NYK,1,-24,26.9,10,4,8,3,0,2,3,8,3,1,1,3,3,11,-13
2023-11-30,CHO,BRK,1,1,33.08,11,2,9,2,4,4,2,8,5,3,2,2,2,10,4
2023-12-02,CHO,MIN,0,-6,30.92,14,7,7,4,0,0,3,7,5,0,1,1,1,18,8
