Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-29,MIL,ATL,0,-17,5.62,0,0,0,0,2,2,0,0,1,0,0,1,0,2,10
2023-11-15,MIL,TOR,1,16,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
2023-11-20,MIL,WAS,1,13,1.32,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-5
2023-12-05,MIL,NYK,0,24,2.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2023-12-13,MIL,IND,0,14,1.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-9
2023-12-16,MIL,DET,0,32,6.0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2023-12-19,MIL,SAS,0,13,2.15,1,1,1,1,0,0,0,1,0,0,0,0,0,3,-2
2023-12-27,MIL,BRK,1,22,1.38,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6
2024-01-03,MIL,IND,1,-12,1.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2024-01-08,MIL,UTA,0,-16,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-17,MIL,CLE,1,-40,6.87,2,1,1,0,0,0,1,1,1,0,0,0,0,2,-2
2024-01-24,MIL,CLE,0,10,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-27,MIL,NOP,0,24,5.05,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-3
2024-02-03,MIL,DAL,1,12,4.17,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-1
2024-02-04,MIL,UTA,1,-15,4.08,2,0,1,0,0,0,1,1,0,0,0,1,1,0,-6
2024-02-06,MIL,PHO,1,-8,18.47,8,3,1,0,0,0,1,1,0,1,2,0,2,6,-13
