Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,LAL,DEN,1,-12,14.65,10,3,3,0,0,0,2,3,0,0,0,0,2,6,-8
2023-10-26,LAL,PHO,0,5,12.48,3,2,2,1,2,2,0,0,0,1,1,1,2,7,-13
2023-10-29,LAL,SAC,1,-5,17.27,6,3,4,2,3,4,2,6,1,0,0,0,1,11,9
2023-11-08,LAL,HOU,1,-34,25.57,15,10,3,2,2,5,1,8,2,2,1,0,0,24,-13
2023-11-10,LAL,PHO,1,3,20.45,6,3,3,1,0,1,0,3,1,4,1,1,3,7,6
2023-11-12,LAL,POR,0,6,32.97,10,6,3,1,6,6,1,5,2,2,0,1,1,19,17
2023-11-14,LAL,MEM,0,27,23.83,10,8,3,3,4,4,0,3,0,0,0,5,2,23,6
2023-11-15,LAL,SAC,0,-15,17.8,5,2,1,1,0,0,0,0,0,0,0,0,0,5,-5
2023-11-17,LAL,POR,1,12,27.67,5,3,2,1,0,0,1,5,2,0,0,0,1,7,9
2023-11-19,LAL,HOU,0,1,32.15,10,4,4,0,3,4,1,4,2,2,0,2,0,11,-2
2023-11-21,LAL,UTA,0,32,28.45,13,4,5,2,2,2,2,6,1,0,0,1,3,12,21
2023-11-22,LAL,DAL,0,-3,25.8,11,4,2,1,0,0,2,3,1,0,0,1,3,9,-8
2023-12-05,LAL,PHO,0,3,21.43,8,3,4,1,0,0,0,2,1,0,0,0,1,7,5
2023-12-07,LAL,NOP,0,44,21.35,9,5,3,1,1,2,0,1,2,0,0,0,3,12,9
2023-12-12,LAL,DAL,1,-2,28.52,9,3,2,1,0,0,0,3,2,1,0,1,3,7,-3
2023-12-13,LAL,SAS,1,3,24.2,10,6,2,1,0,0,0,7,1,0,1,3,2,13,15
2023-12-15,LAL,SAS,1,-14,34.15,15,8,5,0,4,5,0,5,4,0,1,0,1,20,1
2023-12-18,LAL,NYK,0,-5,17.3,6,3,2,1,1,1,2,2,0,2,0,0,1,8,-9
2023-12-20,LAL,CHI,1,-16,15.82,9,2,2,1,0,0,3,5,1,0,0,0,0,5,-12
2023-12-21,LAL,MIN,1,-7,33.5,12,7,5,2,2,6,1,4,0,1,0,2,3,18,-6
2023-12-23,LAL,OKC,1,9,29.58,14,8,5,3,2,2,0,6,2,1,0,0,0,21,1
2023-12-25,LAL,BOS,0,-11,29.05,14,5,9,2,0,0,0,3,0,0,0,1,2,12,5
2023-12-28,LAL,CHO,0,21,28.0,12,7,1,0,3,3,0,4,1,1,0,0,2,17,34
2023-12-30,LAL,MIN,1,-2,17.05,8,2,1,0,1,1,1,1,0,0,0,0,0,5,-11
2023-12-31,LAL,NOP,1,-20,7.6,1,1,0,0,2,2,0,1,1,1,0,1,0,4,-4
2024-01-13,LAL,UTA,1,-7,18.7,12,6,2,0,5,6,1,3,1,1,0,0,0,17,12
2024-01-15,LAL,OKC,0,7,20.15,8,5,3,2,0,0,1,3,0,0,2,1,1,12,6
2024-01-17,LAL,DAL,0,17,22.08,6,2,4,1,1,2,1,4,1,2,0,0,1,6,-1
2024-01-19,LAL,BRK,0,-18,15.47,6,0,3,0,0,0,1,2,1,0,0,1,0,0,-1
2024-01-21,LAL,POR,0,24,22.8,7,2,3,1,4,5,1,2,2,1,0,1,2,9,15
2024-01-23,LAL,LAC,1,-11,29.73,8,5,1,1,0,0,1,3,2,1,1,0,1,11,-8
2024-01-25,LAL,CHI,0,9,19.35,3,3,2,2,2,2,0,3,2,1,0,1,3,10,4
2024-01-27,LAL,GSW,1,1,17.85,4,4,1,1,2,2,0,4,0,0,0,1,1,11,6
2024-01-29,LAL,HOU,1,-16,22.28,5,4,3,2,6,8,0,5,1,1,0,0,0,16,0
2024-01-30,LAL,ATL,1,-16,23.48,11,7,4,2,0,2,2,4,0,2,0,1,0,16,-9
2024-02-01,LAL,BOS,1,9,33.13,14,5,6,3,2,2,2,8,4,0,1,2,3,15,4
2024-02-03,LAL,NYK,1,8,19.47,5,3,2,0,1,2,0,4,1,0,0,1,2,7,3
2024-02-05,LAL,CHO,1,6,29.22,6,4,3,1,0,0,1,5,0,1,0,0,1,9,6
2024-02-08,LAL,DEN,0,-8,37.52,5,1,2,0,0,0,1,4,0,0,1,1,2,2,-12
2024-02-09,LAL,NOP,0,17,36.85,13,9,5,2,1,2,0,5,1,0,1,0,3,21,21
2024-02-13,LAL,DET,0,14,30.08,10,7,2,0,1,4,2,5,2,0,0,0,1,15,13
2024-02-14,LAL,UTA,1,16,33.63,19,13,8,6,4,5,0,2,1,0,1,0,0,36,25
2024-02-22,LAL,GSW,1,-18,32.0,8,3,4,1,1,2,1,4,1,1,2,1,1,8,-28
2024-02-23,LAL,SAS,0,5,31.62,11,7,4,3,0,0,1,7,0,2,1,1,3,17,2
2024-02-25,LAL,PHO,1,-10,26.1,9,5,2,2,1,1,0,4,0,0,0,0,2,13,-7
2024-02-28,LAL,LAC,1,4,29.45,15,8,5,1,0,0,1,2,0,1,0,2,2,17,1
2024-02-29,LAL,WAS,0,3,35.15,11,4,2,0,0,0,2,7,1,2,0,0,3,8,7
2024-03-02,LAL,DEN,0,-10,36.83,15,10,4,3,0,0,0,3,2,0,0,0,2,23,-13
2024-03-04,LAL,OKC,0,12,21.57,8,3,3,1,0,2,1,1,1,0,0,2,3,7,-7
2024-03-06,LAL,SAC,0,-10,32.65,17,13,5,3,0,0,0,2,0,2,1,0,0,29,-3
2024-03-08,LAL,MIL,0,1,38.03,16,5,6,1,1,2,0,5,2,0,0,0,1,12,-2
2024-03-10,LAL,MIN,0,11,23.85,10,5,5,3,2,2,1,2,3,0,0,1,0,15,3
2024-03-13,LAL,SAC,1,-13,35.88,11,9,3,2,0,0,1,3,1,0,0,2,1,20,-6
2024-03-16,LAL,GSW,0,-7,29.52,10,7,2,0,0,0,0,4,2,0,1,0,3,14,-4
2024-03-18,LAL,ATL,0,31,25.92,10,7,2,1,2,2,0,3,1,0,0,0,3,17,21
2024-03-22,LAL,PHI,0,7,24.42,10,4,3,1,5,6,1,7,1,0,0,1,3,14,-6
2024-03-24,LAL,IND,0,5,30.38,8,4,4,1,0,0,0,5,1,0,1,0,1,9,6
