Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BOS,NYK,1,4,13.78,4,0,4,0,0,0,0,2,0,1,1,0,1,0,5
2023-10-27,BOS,MIA,0,8,10.2,2,1,2,1,0,0,0,1,0,0,0,0,1,3,6
2023-10-30,BOS,WAS,1,19,25.13,10,3,9,2,0,0,3,8,1,0,1,1,3,8,-10
2023-11-01,BOS,IND,0,51,19.48,7,5,6,5,2,2,0,3,0,1,0,1,3,17,23
2023-11-04,BOS,BRK,1,10,18.53,3,2,2,1,0,0,0,1,0,2,0,1,3,5,-5
2023-11-06,BOS,MIN,1,-5,24.75,8,3,8,3,2,2,1,4,0,1,1,1,3,11,-3
2023-11-08,BOS,PHI,1,-3,18.67,8,5,6,3,0,0,0,4,0,1,1,0,0,13,-6
2023-11-10,BOS,BRK,0,14,24.63,10,5,10,5,0,0,1,2,1,0,0,0,1,15,-1
2023-11-11,BOS,TOR,0,23,18.42,6,4,6,4,0,0,0,4,0,0,0,0,2,12,-2
2023-11-13,BOS,NYK,0,16,21.42,6,4,6,4,0,0,0,4,2,0,0,0,0,12,6
2023-11-15,BOS,PHI,1,10,35.22,9,3,8,2,0,0,1,2,2,0,1,0,2,8,4
2023-11-17,BOS,TOR,1,3,22.7,7,4,6,3,0,0,1,3,3,1,0,0,0,11,8
2023-11-19,BOS,MEM,1,2,21.85,8,5,7,5,0,0,0,4,0,2,0,0,0,15,17
2023-11-20,BOS,CHO,1,-3,37.43,9,1,9,1,0,0,0,1,1,0,0,1,3,3,-22
2023-11-22,BOS,MIL,0,3,19.7,5,4,3,2,0,0,1,2,1,0,1,1,2,10,10
2023-11-24,BOS,ORL,1,-17,25.28,6,4,4,2,0,0,1,2,0,0,0,1,0,10,-16
2023-11-26,BOS,ATL,0,10,31.73,9,4,9,4,0,0,2,4,2,0,0,0,2,12,11
2023-11-28,BOS,CHI,0,27,20.72,12,3,10,2,1,2,4,10,2,0,0,2,1,9,13
2023-12-01,BOS,PHI,0,6,25.87,5,3,4,3,2,2,1,5,1,1,1,3,2,11,-3
2023-12-04,BOS,IND,1,-10,22.65,9,5,7,5,0,0,2,6,1,0,0,0,2,15,9
2023-12-08,BOS,NYK,0,10,20.95,5,0,5,0,1,2,1,3,1,0,1,0,1,1,-10
2023-12-12,BOS,CLE,0,7,19.65,5,3,4,3,0,0,1,3,1,0,0,0,1,9,14
2023-12-14,BOS,CLE,0,9,18.02,3,3,3,3,0,0,0,0,1,0,0,0,2,9,9
2023-12-15,BOS,ORL,0,17,31.5,8,4,6,3,0,0,2,7,4,4,0,1,1,11,19
2023-12-17,BOS,ORL,0,17,16.5,5,2,3,0,0,0,1,2,0,1,0,1,0,4,12
2023-12-19,BOS,GSW,1,-6,20.63,7,0,6,0,0,0,1,3,1,0,0,0,2,0,1
2023-12-20,BOS,SAC,1,25,34.87,6,4,4,2,0,0,0,5,1,0,0,0,3,10,24
2023-12-23,BOS,LAC,1,37,18.63,5,1,5,1,0,0,0,2,4,0,0,0,3,3,11
2023-12-25,BOS,LAL,1,11,14.63,5,1,4,0,0,0,1,2,0,0,0,0,0,2,3
2023-12-28,BOS,DET,0,6,17.73,6,2,4,1,0,0,1,3,1,0,0,1,0,5,-8
2023-12-29,BOS,TOR,0,2,34.13,7,3,7,3,0,0,0,9,1,0,1,0,2,9,-8
2023-12-31,BOS,SAS,1,33,20.27,6,4,5,3,0,0,0,4,1,0,0,1,2,11,15
2024-01-02,BOS,OKC,1,-4,10.38,3,2,3,2,0,0,0,1,0,0,0,0,0,6,-7
2024-01-05,BOS,UTA,0,29,23.48,10,5,7,3,0,0,1,5,1,1,0,0,1,13,17
2024-01-06,BOS,IND,1,17,16.43,6,2,5,1,0,0,0,4,1,0,0,1,4,5,2
2024-01-10,BOS,MIN,0,7,17.97,6,2,5,2,0,0,0,4,0,0,1,0,2,6,-2
2024-01-11,BOS,MIL,1,-33,23.6,8,4,8,4,3,3,1,4,0,1,0,1,1,15,-16
2024-01-13,BOS,HOU,0,32,20.23,9,2,8,2,0,0,0,6,0,0,0,0,0,6,20
2024-01-15,BOS,TOR,1,9,16.18,2,1,1,1,0,0,0,5,0,0,1,0,0,3,5
2024-01-17,BOS,SAS,0,19,20.03,6,3,4,1,0,0,0,4,2,0,0,2,0,7,18
2024-01-19,BOS,DEN,0,-2,15.97,1,0,1,0,0,0,0,1,1,0,0,0,2,0,-5
2024-01-21,BOS,HOU,1,9,30.62,12,3,12,3,0,0,2,7,6,1,1,1,0,9,8
2024-01-22,BOS,DAL,1,9,15.4,3,2,2,1,0,0,1,1,0,0,0,0,1,5,-4
2024-01-25,BOS,MIA,1,33,12.3,2,2,1,1,0,0,0,0,1,0,0,1,0,5,13
2024-01-27,BOS,LAC,0,-19,19.92,5,2,4,2,0,0,0,3,1,0,1,0,1,6,-11
2024-01-29,BOS,NOP,0,6,25.68,8,4,7,3,0,0,0,0,1,1,0,0,0,11,9
2024-01-30,BOS,IND,0,5,23.15,5,3,5,3,0,0,0,2,1,1,0,2,3,9,14
2024-02-01,BOS,LAL,0,-9,22.65,11,6,9,5,0,0,0,3,0,0,0,0,1,17,6
2024-02-04,BOS,MEM,0,40,23.68,3,1,3,1,0,0,0,3,1,0,0,0,1,3,16
2024-02-07,BOS,ATL,0,8,24.7,8,3,6,2,2,2,2,5,0,0,0,2,1,10,14
2024-02-09,BOS,WAS,0,4,16.22,6,1,6,1,2,2,0,1,1,1,0,0,1,5,14
2024-02-11,BOS,MIA,1,4,14.73,4,2,4,2,0,0,0,0,0,0,0,0,1,6,0
2024-02-13,BOS,BRK,1,8,14.33,3,1,3,1,0,0,1,2,0,0,0,0,2,3,1
2024-02-14,BOS,BRK,0,50,29.12,9,5,8,4,0,0,0,5,2,1,0,0,0,14,40
2024-02-22,BOS,CHI,1,17,14.47,3,3,2,2,0,0,0,1,1,0,1,0,0,8,6
2024-02-24,BOS,NYK,1,14,10.48,2,2,2,2,0,0,1,3,0,0,0,0,1,6,-1
2024-02-27,BOS,PHI,0,18,21.18,2,1,2,1,0,0,0,5,0,0,1,1,4,3,-17
2024-03-01,BOS,DAL,0,28,15.18,3,0,3,0,0,0,0,4,1,0,0,0,1,0,8
2024-03-03,BOS,GSW,0,52,19.63,9,4,9,4,0,0,0,5,0,0,1,1,3,12,30
2024-03-05,BOS,CLE,1,-1,14.07,5,2,3,1,0,0,1,5,1,1,0,0,1,5,14
2024-03-07,BOS,DEN,1,-6,10.28,3,2,3,2,0,0,0,0,1,0,1,0,0,6,-8
2024-03-09,BOS,PHO,1,10,17.82,5,1,4,1,0,0,0,2,0,0,1,0,0,3,10
2024-03-11,BOS,POR,1,22,31.92,12,8,10,6,0,0,0,2,0,2,1,0,0,22,20
