Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,CLE,IND,0,-12,5.88,2,0,1,0,0,0,1,2,1,1,0,0,0,0,2
2023-10-31,CLE,NYK,0,-18,13.95,4,2,4,2,0,0,0,1,2,1,0,1,0,6,-2
2023-11-05,CLE,GSW,0,11,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2023-11-13,CLE,SAC,1,-12,2.97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-11-15,CLE,POR,1,14,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-17,CLE,DET,0,8,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2023-11-19,CLE,DEN,0,12,23.78,10,3,9,3,0,0,1,2,1,0,0,0,2,9,-15
2023-11-21,CLE,PHI,1,3,5.73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-22,CLE,MIA,0,-33,16.9,6,3,5,3,0,0,0,1,1,0,0,1,3,9,-10
2023-12-02,CLE,DET,1,9,2.52,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2023-12-08,CLE,MIA,1,12,10.0,5,3,5,3,0,0,1,3,1,0,0,0,2,9,-8
2023-12-11,CLE,ORL,1,-10,16.88,6,2,4,2,0,0,1,3,1,0,0,1,2,6,-4
2023-12-16,CLE,ATL,0,8,7.87,6,3,6,3,0,0,0,1,1,0,0,0,1,9,4
2023-12-18,CLE,HOU,0,5,24.05,11,6,10,5,2,2,1,4,3,1,1,0,1,19,13
2023-12-20,CLE,UTA,0,8,30.38,16,9,14,8,1,2,0,3,2,1,0,2,4,27,17
2023-12-21,CLE,NOP,0,-19,12.45,4,0,3,0,0,0,0,0,1,0,0,1,0,0,1
2023-12-29,CLE,MIL,0,-8,14.92,4,1,4,1,0,0,0,0,1,0,0,0,1,3,-1
2024-01-01,CLE,TOR,1,-3,16.88,11,6,8,4,0,0,0,3,1,0,0,1,2,16,-2
2024-01-03,CLE,WAS,0,39,28.53,11,4,9,3,0,0,1,5,6,0,0,0,2,11,27
2024-01-05,CLE,WAS,0,24,26.4,12,4,9,3,0,0,0,2,2,1,0,0,2,11,8
2024-01-07,CLE,SAS,0,2,22.62,11,5,9,5,3,3,0,3,3,0,0,0,0,18,23
2024-01-11,CLE,BRK,0,9,31.87,12,2,11,2,0,0,2,9,1,1,0,0,1,6,2
2024-01-15,CLE,CHI,0,18,20.27,7,5,6,4,1,1,1,3,2,2,0,0,4,15,0
2024-01-17,CLE,MIL,0,40,22.02,8,4,6,2,0,0,3,5,5,0,0,0,1,10,3
2024-01-20,CLE,ATL,1,21,30.1,16,6,14,5,1,1,0,4,6,0,0,1,2,18,8
2024-01-22,CLE,ORL,1,27,31.1,13,8,13,8,2,2,2,3,1,1,0,1,2,26,12
2024-01-24,CLE,MIL,1,-10,26.77,9,4,9,4,0,0,0,2,3,0,0,1,1,12,1
2024-01-26,CLE,MIL,1,12,17.4,6,3,4,1,0,0,0,0,0,0,0,0,3,7,5
2024-01-29,CLE,LAC,0,10,7.28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-9
2024-01-31,CLE,DET,0,7,16.38,6,4,5,3,0,0,0,2,1,1,0,0,1,11,-9
2024-02-01,CLE,MEM,1,7,17.63,6,3,5,3,0,0,0,2,1,0,0,0,1,9,-5
2024-02-03,CLE,SAS,1,16,14.27,3,1,3,1,0,0,0,1,3,1,0,1,2,3,-8
2024-02-05,CLE,SAC,0,26,10.95,4,3,4,3,0,0,0,0,2,1,0,0,0,9,8
2024-02-07,CLE,WAS,1,8,14.37,4,1,3,1,0,0,0,1,2,0,0,0,0,3,-3
2024-02-08,CLE,BRK,1,23,11.73,7,3,7,3,0,0,0,0,0,1,0,0,1,9,-6
2024-02-10,CLE,TOR,1,24,9.83,3,2,3,2,0,0,0,0,0,0,0,0,0,6,3
2024-02-12,CLE,PHI,0,-2,9.28,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-4
2024-02-22,CLE,ORL,0,-7,11.7,2,1,2,1,1,1,1,2,4,0,0,0,0,4,-10
2024-02-23,CLE,PHI,1,-7,12.32,4,1,4,1,0,0,0,3,0,1,0,0,0,3,0
2024-02-25,CLE,WAS,1,9,6.48,3,1,2,0,0,0,0,2,1,0,0,0,0,2,7
2024-03-01,CLE,DET,1,10,25.45,9,4,9,4,0,0,1,3,1,0,0,1,0,12,-6
2024-03-03,CLE,NYK,0,-9,28.65,13,7,13,7,0,0,1,3,2,0,0,0,3,21,0
2024-03-05,CLE,BOS,0,1,30.4,7,2,6,2,0,0,0,4,1,1,0,0,1,6,-3
2024-03-06,CLE,ATL,1,-11,18.02,9,0,9,0,1,1,0,3,2,0,0,0,1,1,-4
2024-03-08,CLE,MIN,0,9,18.82,9,2,8,2,0,0,1,1,0,0,0,0,3,6,-6
2024-03-10,CLE,BRK,0,-19,21.83,7,1,7,1,2,2,0,0,2,1,1,0,4,5,-16
2024-03-11,CLE,PHO,0,-6,21.45,5,1,5,1,0,0,0,1,5,0,0,0,0,3,10
2024-03-13,CLE,NOP,1,21,27.82,10,5,10,5,0,0,0,2,9,0,0,1,0,15,30
2024-03-16,CLE,HOU,1,-14,28.08,5,3,5,3,2,2,0,8,2,0,1,1,0,11,2
2024-03-18,CLE,IND,1,5,24.6,8,3,6,2,3,3,1,1,1,1,1,1,2,11,-7
2024-03-20,CLE,MIA,0,-3,20.62,9,4,9,4,0,0,0,1,0,0,0,1,2,12,1
2024-03-22,CLE,MIN,1,-13,23.52,7,3,7,3,1,1,0,3,1,0,0,0,0,10,-5
2024-03-24,CLE,MIA,1,-37,31.18,6,0,6,0,1,1,0,2,6,0,0,1,2,1,-16
2024-03-25,CLE,CHO,0,23,25.17,8,4,8,4,0,0,1,4,2,0,0,0,0,12,17
2024-03-27,CLE,CHO,1,-7,23.92,11,5,11,5,2,3,0,3,2,1,0,0,3,17,-1
2024-03-29,CLE,PHI,0,3,20.77,8,4,8,4,1,1,1,2,3,0,0,1,3,13,7
2024-03-31,CLE,DEN,1,-29,15.67,5,1,4,1,0,0,0,0,1,0,0,0,2,3,2
2024-04-02,CLE,UTA,1,16,32.03,13,6,12,6,0,0,1,4,5,0,0,1,1,18,15
2024-04-03,CLE,PHO,1,-21,4.82,2,0,1,0,2,2,0,0,0,0,0,0,1,2,-10
2024-04-06,CLE,LAL,1,-19,12.42,4,0,4,0,0,0,0,2,1,0,0,0,0,0,-20
2024-04-07,CLE,LAC,1,-2,5.87,1,0,1,0,0,0,0,0,1,1,0,0,1,0,-7
