Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-29,SAS,LAC,1,-40,6.92,0,0,0,0,0,0,1,2,0,1,0,1,1,0,-13
2023-11-06,SAS,IND,1,-41,8.82,4,2,2,0,1,2,2,4,1,0,0,0,0,5,-6
2023-11-08,SAS,NYK,1,-21,3.1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
2023-11-17,SAS,SAC,0,-9,12.15,2,1,0,0,4,4,1,3,3,0,0,1,1,6,21
2023-11-18,SAS,MEM,0,-12,11.3,5,2,2,1,0,0,0,2,1,0,1,1,3,5,-4
2023-11-26,SAS,DEN,1,-12,6.53,0,0,0,0,0,0,0,0,2,1,0,0,1,0,8
2023-12-01,SAS,NOP,1,-15,6.07,3,1,2,1,0,0,1,1,1,0,0,0,1,3,0
2023-12-11,SAS,HOU,1,-11,3.78,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-12-15,SAS,LAL,0,14,1.8,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-3
2023-12-17,SAS,NOP,0,-36,7.95,4,1,3,0,0,0,0,0,2,0,0,1,0,2,-4
2023-12-19,SAS,MIL,1,-13,15.2,5,1,4,1,0,0,1,8,3,1,2,2,1,3,-7
2023-12-21,SAS,CHI,1,-19,2.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023-12-23,SAS,DAL,1,-25,14.55,6,4,3,1,5,6,3,5,3,0,1,1,1,14,4
2023-12-26,SAS,UTA,0,-12,2.13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
2023-12-28,SAS,POR,1,13,1.03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2023-12-29,SAS,POR,1,-6,7.5,2,1,1,0,0,0,0,1,2,0,0,0,1,2,8
2023-12-31,SAS,BOS,0,-33,19.73,9,3,5,1,0,0,2,7,4,0,0,0,1,7,-9
2024-01-02,SAS,MEM,1,-8,2.05,1,1,1,1,0,0,0,0,0,0,1,1,0,3,4
2024-01-04,SAS,MIL,0,-4,2.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-1
2024-01-10,SAS,DET,1,22,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-12,SAS,CHO,0,36,9.63,1,0,0,0,1,2,1,2,0,0,1,0,1,1,2
2024-01-13,SAS,CHI,0,-6,18.17,7,3,3,1,1,2,3,8,1,1,2,0,5,8,-6
2024-01-15,SAS,ATL,1,-10,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-4
2024-01-17,SAS,BOS,1,-19,4.82,2,1,1,0,0,0,0,2,0,0,0,0,0,2,2
2024-01-24,SAS,OKC,0,-26,4.6,3,2,1,0,0,0,0,1,0,0,0,0,0,4,7
2024-01-26,SAS,POR,0,16,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-07,SAS,MIA,1,-12,3.38,2,1,1,0,0,0,0,0,2,0,0,0,0,2,4
2024-02-10,SAS,BRK,1,-20,3.67,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4
2024-02-12,SAS,TOR,1,23,6.3,2,1,1,0,0,1,1,2,0,0,0,0,1,2,-4
2024-02-14,SAS,DAL,1,-23,5.43,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2024-02-23,SAS,LAL,1,-5,2.48,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
2024-02-25,SAS,UTA,1,-19,13.87,5,4,0,0,0,0,1,1,1,2,0,0,2,8,8
2024-03-03,SAS,IND,0,12,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-03-07,SAS,SAC,1,-2,4.4,1,0,1,0,0,0,1,3,0,0,0,0,0,0,-10
2024-03-09,SAS,GSW,1,13,6.3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,8
2024-03-11,SAS,GSW,0,-10,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-12,SAS,HOU,0,-2,11.18,3,3,0,0,0,0,4,5,3,0,0,0,2,6,0
2024-03-23,SAS,PHO,0,-25,8.03,7,5,2,1,0,0,1,3,0,0,0,1,0,11,6
2024-03-31,SAS,GSW,0,-4,24.62,6,4,1,0,2,2,4,11,2,0,1,1,1,10,3
2024-04-02,SAS,DEN,1,-5,24.12,8,3,4,2,2,2,5,9,1,0,0,1,1,10,0
2024-04-05,SAS,NOP,1,2,26.97,11,7,3,1,0,1,1,5,2,1,1,0,3,15,6
2024-04-07,SAS,PHI,0,-7,23.58,6,1,2,0,4,4,1,7,3,0,0,0,2,6,17
2024-04-09,SAS,MEM,1,15,26.43,6,4,3,1,2,2,4,16,4,0,1,2,1,11,11
2024-04-10,SAS,OKC,1,-38,25.52,8,0,3,0,0,0,0,11,2,0,0,1,0,0,-28
2024-04-12,SAS,DEN,0,1,30.38,14,8,5,3,2,4,2,12,2,0,1,2,3,21,-1
2024-04-14,SAS,DET,0,28,25.98,13,7,6,3,1,2,2,8,1,0,0,3,0,18,5
