Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,POR,LAC,1,-12,28.48,14,6,6,1,1,1,4,6,3,1,0,0,4,14,10
2023-10-27,POR,ORL,0,-5,41.4,23,9,11,4,2,2,4,5,2,2,0,3,1,24,-4
2023-10-29,POR,PHI,1,-28,35.63,13,7,4,2,4,5,1,5,2,0,0,3,3,20,-23
2023-10-30,POR,TOR,1,8,38.22,10,4,5,2,4,4,2,5,3,1,2,4,3,14,4
2023-11-01,POR,DET,1,9,42.03,16,9,6,3,8,10,2,7,5,1,2,2,1,29,3
2023-11-03,POR,MEM,0,2,46.43,17,7,5,2,6,7,1,5,2,1,1,3,2,22,-1
2023-11-05,POR,MEM,0,-12,40.72,15,7,8,3,1,3,1,8,3,1,1,3,1,18,-16
2023-11-08,POR,SAC,1,-3,39.97,14,5,5,1,7,8,0,1,3,1,0,4,6,18,2
2023-11-12,POR,LAL,1,-6,42.18,15,7,6,3,2,2,0,3,4,0,0,7,4,19,-10
2023-11-14,POR,UTA,1,-16,40.98,16,4,10,2,7,10,2,8,7,2,0,3,3,17,-10
2023-11-15,POR,CLE,0,-14,26.7,12,2,5,1,6,7,3,7,5,0,0,0,3,11,-27
2023-11-17,POR,LAL,0,-12,38.02,17,7,5,1,2,2,2,9,2,1,1,10,4,17,-5
2023-11-19,POR,OKC,0,-43,24.07,8,3,1,1,0,0,2,4,1,0,0,1,3,7,-20
2023-11-21,POR,PHO,1,-13,32.32,13,3,5,0,4,4,1,3,0,1,0,4,3,10,-20
2023-11-22,POR,UTA,0,16,30.65,11,6,4,2,0,0,0,4,4,1,1,1,4,14,10
2023-11-26,POR,MIL,1,-6,36.9,19,7,5,1,2,3,1,6,3,2,0,3,0,17,-19
2023-11-27,POR,IND,1,4,35.37,15,4,3,1,2,2,1,5,6,3,0,2,5,11,3
2023-11-30,POR,CLE,1,8,39.4,15,11,7,4,3,3,0,10,5,1,0,5,3,29,10
2023-12-02,POR,UTA,1,-5,43.55,20,9,8,3,4,4,2,5,4,2,0,0,5,25,-5
2023-12-06,POR,GSW,1,-4,41.67,18,10,9,4,2,4,0,6,5,0,0,1,1,26,-7
2023-12-08,POR,DAL,0,-13,31.67,15,7,10,5,5,6,2,9,5,1,0,2,4,24,1
2023-12-11,POR,LAC,1,-5,40.53,17,8,9,4,7,9,1,3,6,1,0,2,2,27,-15
2023-12-14,POR,UTA,0,-8,27.45,12,1,5,0,2,2,2,7,2,0,1,0,3,4,-23
2023-12-16,POR,DAL,0,-11,31.7,7,2,3,1,2,3,0,2,2,0,0,2,4,7,0
2023-12-17,POR,GSW,0,-4,27.2,10,4,5,3,1,1,1,5,1,1,0,2,3,12,0
2023-12-19,POR,PHO,0,5,8.22,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1
2024-01-01,POR,PHO,1,-21,18.02,8,2,5,0,2,2,1,1,1,0,0,1,0,6,-14
2024-01-03,POR,DAL,1,-29,22.43,12,6,5,1,3,3,1,4,0,0,0,0,3,16,-12
2024-01-05,POR,DAL,1,-36,23.68,15,5,6,1,4,4,1,5,2,0,1,2,2,15,-11
2024-01-07,POR,BRK,1,7,40.17,14,7,6,3,4,7,0,1,1,2,1,0,2,21,14
2024-01-09,POR,NYK,1,-28,21.95,8,4,2,0,1,1,1,4,4,2,1,1,1,9,-23
2024-01-11,POR,OKC,1,-62,21.28,14,3,6,1,0,0,3,6,1,0,0,1,3,7,-39
