Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-03-07,MIN,IND,1,2,16.08,5,3,3,1,0,0,0,1,0,0,0,0,1,7,3
2024-03-08,MIN,CLE,1,-9,11.45,3,3,0,0,0,0,1,4,0,0,0,1,3,6,15
2024-03-10,MIN,LAL,1,-11,22.97,7,2,2,0,0,0,1,3,2,1,0,1,2,4,4
2024-03-12,MIN,LAC,1,18,13.73,4,1,2,0,0,0,0,0,1,0,0,1,2,2,9
2024-03-16,MIN,UTA,1,19,16.03,7,1,1,0,0,0,1,4,2,1,0,0,2,2,2
2024-03-18,MIN,UTA,1,10,8.7,3,1,1,0,0,0,1,2,2,1,0,1,0,2,-2
2024-03-19,MIN,DEN,0,-3,9.42,5,2,2,1,1,2,1,2,0,0,1,0,0,6,0
2024-03-27,MIN,DET,0,15,7.18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-8
2024-04-03,MIN,TOR,0,48,13.88,5,3,2,0,2,2,0,4,0,0,0,0,0,8,22
2024-04-05,MIN,PHO,1,-10,4.03,2,2,0,0,0,0,0,1,2,1,0,0,0,4,12
2024-04-09,MIN,WAS,0,9,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
