Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,POR,LAC,1,-12,15.85,5,2,2,2,1,2,0,2,1,0,1,0,2,7,13
2023-10-27,POR,ORL,0,-5,22.9,4,0,2,0,2,2,1,4,3,0,0,0,0,2,2
2023-10-29,POR,PHI,1,-28,27.67,16,5,5,1,1,2,3,3,2,0,2,0,3,12,-13
2023-10-30,POR,TOR,1,8,23.35,4,1,2,0,1,2,2,7,0,0,1,1,2,3,12
2023-11-01,POR,DET,1,9,25.92,3,2,0,0,3,3,2,7,0,1,1,1,2,7,6
2023-11-03,POR,MEM,0,2,31.48,8,2,3,0,1,1,3,3,1,2,0,1,4,5,2
2023-11-05,POR,MEM,0,-12,24.48,5,3,3,2,0,0,3,6,2,1,0,3,1,8,-4
2023-11-08,POR,SAC,1,-3,25.35,2,1,0,0,0,0,1,4,1,3,0,1,3,2,7
2023-11-12,POR,LAL,1,-6,23.5,3,1,2,0,0,0,4,6,2,0,1,2,5,2,0
2023-11-14,POR,UTA,1,-16,25.63,6,3,4,2,1,2,2,5,1,0,2,2,2,9,-8
2023-11-15,POR,CLE,0,-14,21.68,4,0,3,0,0,0,0,1,3,2,0,1,1,0,-12
2023-11-17,POR,LAL,0,-12,35.87,8,3,6,1,3,5,2,6,0,2,1,1,3,10,-7
2023-11-19,POR,OKC,0,-43,14.98,5,3,2,0,0,0,0,2,0,0,0,1,4,6,-15
2023-11-21,POR,PHO,1,-13,38.57,4,2,2,0,3,4,0,4,0,1,0,1,4,7,-16
2023-11-22,POR,UTA,0,16,27.9,8,4,4,2,2,2,3,7,3,0,1,2,2,12,15
2023-11-26,POR,MIL,1,-6,16.9,3,2,2,2,0,0,2,3,0,0,0,2,4,6,-3
2023-11-27,POR,IND,1,4,16.9,3,1,2,1,2,2,2,2,0,0,0,0,2,5,0
2023-11-30,POR,CLE,1,8,24.3,6,4,3,1,0,0,1,2,1,2,1,1,0,9,-2
2023-12-02,POR,UTA,1,-5,29.97,8,4,3,0,0,0,2,3,0,4,1,0,4,8,-5
2023-12-06,POR,GSW,1,-4,26.92,14,3,4,0,0,0,5,13,2,0,0,3,6,6,-3
2023-12-08,POR,DAL,0,-13,32.0,20,6,10,2,0,0,6,9,0,1,0,0,5,14,-23
2023-12-11,POR,LAC,1,-5,37.45,6,3,3,1,0,2,0,4,4,1,1,1,5,7,-5
2023-12-14,POR,UTA,0,-8,24.25,10,7,4,3,1,2,4,6,0,0,0,1,3,18,-24
2023-12-16,POR,DAL,0,-11,19.78,7,3,4,0,2,2,0,3,1,1,0,0,3,8,7
2023-12-17,POR,GSW,0,-4,22.38,4,3,3,3,2,4,1,3,0,2,0,1,2,11,-5
2023-12-19,POR,PHO,0,5,21.52,4,2,1,1,0,0,3,9,0,3,1,2,3,5,-8
2023-12-21,POR,WAS,0,-1,17.95,3,2,1,0,0,0,1,3,0,1,0,0,3,4,-16
2023-12-23,POR,GSW,1,-20,24.57,3,2,0,0,2,2,0,2,0,1,1,1,1,6,-2
2023-12-26,POR,SAC,0,17,17.82,5,2,1,0,0,0,2,3,1,0,0,1,1,4,0
2023-12-28,POR,SAS,0,-13,21.07,5,0,1,0,1,2,3,7,0,0,0,1,1,1,-11
2023-12-29,POR,SAS,0,6,36.43,12,6,3,1,0,0,4,11,2,3,0,3,1,13,9
2024-01-03,POR,DAL,1,-29,20.1,8,3,4,2,2,3,2,5,0,2,1,2,6,10,-11
2024-01-05,POR,DAL,1,-36,24.22,10,4,7,2,0,1,1,7,1,1,0,2,2,10,-11
2024-01-07,POR,BRK,1,7,28.52,4,1,2,0,3,4,1,6,1,1,0,2,4,5,0
2024-01-09,POR,NYK,1,-28,25.5,4,2,3,1,0,0,3,6,2,1,2,2,3,5,-3
2024-01-11,POR,OKC,1,-62,31.92,9,2,6,1,1,2,2,5,1,2,2,2,3,6,-38
2024-01-12,POR,MIN,1,-23,24.78,8,5,3,1,3,4,2,5,0,0,1,3,1,14,-16
2024-01-14,POR,PHO,0,-11,22.72,4,1,2,0,0,0,2,2,2,0,0,0,1,2,-6
2024-01-17,POR,BRK,0,2,20.45,4,3,0,0,0,0,2,6,1,0,0,0,2,6,5
2024-01-19,POR,IND,0,3,18.57,3,1,0,0,2,2,1,4,0,0,0,1,2,4,11
2024-01-21,POR,LAL,1,-24,22.67,5,2,2,0,1,2,1,5,1,2,0,1,3,5,5
2024-01-23,POR,OKC,1,-2,14.42,2,0,0,0,0,0,2,5,1,2,0,0,2,0,5
2024-01-24,POR,HOU,1,6,17.12,4,1,0,0,2,2,1,4,1,2,0,0,3,4,-1
2024-01-26,POR,SAS,1,-16,23.13,9,4,1,0,4,4,2,4,1,2,1,3,0,12,-9
2024-01-28,POR,CHI,0,-8,2.8,1,1,0,0,0,0,0,1,0,0,0,0,0,2,-1
2024-01-29,POR,PHI,0,26,15.73,4,2,3,1,1,2,2,3,3,1,0,1,1,6,4
2024-01-31,POR,MIL,0,3,22.72,3,2,0,0,0,0,1,4,2,2,0,0,2,4,0
2024-02-02,POR,DEN,1,-12,23.78,6,3,2,0,4,4,0,2,0,2,1,1,1,10,-11
2024-02-04,POR,DEN,1,-9,22.52,6,4,3,2,0,0,2,6,0,0,0,1,4,10,10
2024-02-08,POR,DET,0,-6,35.63,7,4,1,1,0,0,4,10,1,1,0,1,5,9,-9
2024-02-10,POR,NOP,0,-9,19.82,8,2,3,1,0,0,0,3,1,1,0,3,1,5,3
