Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-27,GSW,SAC,1,8,4.68,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7
2023-10-30,GSW,NOP,1,28,19.83,9,5,0,0,3,4,7,9,0,0,4,2,2,13,11
2023-11-01,GSW,SAC,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-05,GSW,CLE,1,-11,11.58,3,2,0,0,1,5,1,4,1,1,1,0,4,5,8
2023-11-06,GSW,DET,1,11,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-11-08,GSW,DEN,1,-3,18.22,3,2,0,0,4,5,0,2,1,0,0,0,4,8,4
2023-11-11,GSW,CLE,0,-8,5.57,1,0,0,0,1,2,1,1,0,0,0,0,1,1,4
2023-11-12,GSW,MIN,0,-6,1.27,1,1,0,0,0,0,0,0,1,0,0,0,0,2,6
2023-11-14,GSW,MIN,0,-3,11.67,1,0,0,0,2,2,0,2,3,0,0,2,2,2,-2
2023-11-16,GSW,OKC,0,-19,4.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2023-11-20,GSW,HOU,0,5,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-11-22,GSW,PHO,1,-8,14.9,3,2,0,0,2,5,2,4,0,1,0,1,3,6,-5
2023-11-24,GSW,SAS,0,6,5.38,1,0,0,0,2,2,0,0,0,0,1,1,1,2,1
2023-12-12,GSW,PHO,1,-3,6.98,1,1,0,0,0,0,0,0,0,1,1,0,1,2,-6
2023-12-14,GSW,LAC,1,-8,5.22,3,1,0,0,0,0,3,3,0,0,0,0,0,2,-11
2023-12-17,GSW,POR,1,4,17.68,9,6,0,0,2,2,5,8,3,2,1,2,2,14,8
2023-12-19,GSW,BOS,0,6,28.57,7,5,0,0,0,0,4,13,1,0,3,1,3,10,25
2023-12-22,GSW,WAS,0,11,24.57,7,5,0,0,0,0,5,15,3,0,1,1,2,10,10
2023-12-23,GSW,POR,0,20,17.32,7,6,0,0,1,4,1,5,3,1,0,2,2,13,-1
