Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-29,ATL,MIL,1,17,4.68,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-7
2023-11-14,ATL,DET,1,6,13.1,1,0,0,0,2,2,1,1,4,0,0,0,0,2,-3
2023-11-25,ATL,WAS,1,28,9.15,2,1,0,0,0,0,0,0,2,0,0,1,1,2,-7
2023-11-28,ATL,CLE,1,-23,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-08,ATL,PHI,1,-11,12.52,5,2,0,0,2,2,1,1,1,0,0,1,2,6,-3
2023-12-15,ATL,TOR,1,21,10.8,4,0,1,0,0,0,1,3,4,1,0,0,1,0,2
2023-12-16,ATL,CLE,1,-8,7.3,2,0,0,0,0,0,1,3,0,1,0,1,0,0,-4
2023-12-26,ATL,CHI,1,-5,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-01-03,ATL,OKC,0,3,14.32,3,3,0,0,0,0,0,2,2,0,1,0,3,6,7
2024-01-05,ATL,IND,1,-34,14.38,4,2,1,0,2,2,0,2,2,1,0,2,0,6,-11
2024-01-10,ATL,PHI,0,7,18.5,3,2,1,0,0,0,0,5,3,0,0,0,3,4,6
2024-01-12,ATL,IND,0,-18,19.63,5,2,0,0,0,0,0,0,6,1,0,1,0,4,-5
2024-01-13,ATL,WAS,0,-28,13.33,4,1,0,0,2,4,0,2,1,1,0,2,1,4,-7
2024-01-15,ATL,SAS,0,10,12.37,3,1,1,1,0,0,1,3,0,0,0,0,2,3,-13
2024-01-19,ATL,MIA,1,1,9.7,4,1,2,1,0,0,0,1,3,0,0,1,0,3,-4
2024-01-20,ATL,CLE,0,-21,5.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
2024-01-22,ATL,SAC,1,-15,8.25,3,0,0,0,0,0,0,2,1,0,0,0,1,0,-11
2024-01-24,ATL,GSW,1,-22,14.78,1,0,0,0,0,0,0,0,5,2,0,1,1,0,-9
2024-01-28,ATL,TOR,0,1,6.27,1,0,1,0,0,0,0,0,3,0,0,0,1,0,-7
2024-02-09,ATL,PHI,1,6,8.22,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1
2024-02-29,ATL,BRK,1,-27,5.18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2
2024-03-02,ATL,BRK,1,-12,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2024-03-05,ATL,NYK,1,16,11.03,2,2,0,0,1,2,0,1,4,0,0,0,2,5,14
2024-03-06,ATL,CLE,0,11,13.67,4,3,0,0,0,0,1,3,1,0,0,0,1,6,3
2024-03-08,ATL,MEM,1,7,7.87,2,1,0,0,0,0,0,1,0,0,0,0,0,2,-8
2024-03-10,ATL,NOP,0,-13,7.02,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-8
2024-03-13,ATL,POR,1,-4,11.35,4,2,0,0,2,2,0,0,4,0,0,1,0,6,2
2024-03-15,ATL,UTA,1,-2,19.12,1,0,0,0,0,0,0,2,4,0,1,0,1,0,-7
2024-03-17,ATL,LAC,1,17,16.17,3,1,0,0,0,0,0,1,3,0,0,0,1,2,9
2024-03-18,ATL,LAL,1,-31,22.12,2,1,0,0,0,0,1,4,6,0,0,1,0,2,-14
2024-03-21,ATL,PHO,1,-13,9.53,2,1,1,0,0,0,1,1,4,1,0,1,1,2,-9
2024-03-23,ATL,CHO,0,41,17.13,5,2,1,0,0,0,0,1,9,2,0,1,0,4,18
2024-03-25,ATL,BOS,0,2,7.38,2,0,0,0,0,0,1,2,1,0,1,1,0,0,-4
2024-03-27,ATL,POR,0,14,15.87,4,0,1,0,2,2,0,2,4,0,0,0,0,2,-5
2024-03-28,ATL,BOS,0,1,6.2,2,2,0,0,0,0,0,0,1,0,0,1,0,4,-2
2024-03-30,ATL,MIL,0,-9,5.93,3,1,0,0,0,0,1,1,0,0,0,1,0,2,1
2024-04-10,ATL,CHO,0,-1,19.95,5,3,0,0,0,1,1,2,5,1,0,2,0,6,-13
2024-04-14,ATL,IND,1,-42,6.05,0,0,0,0,0,0,0,3,2,0,0,0,0,0,-6
