Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-03-23,WAS,TOR,0,3,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2
2024-03-25,WAS,CHI,1,2,9.0,5,2,4,2,0,0,0,3,0,0,0,1,2,6,-5
2024-03-27,WAS,BRK,0,-3,4.23,2,0,1,0,0,0,0,1,0,1,1,1,1,0,3
2024-03-29,WAS,DET,0,-9,2.4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2024-03-31,WAS,MIA,0,-12,13.33,3,1,2,1,0,0,0,2,2,0,0,0,3,3,4
2024-04-02,WAS,MIL,0,4,31.03,11,5,6,1,3,3,1,7,3,1,0,1,4,14,6
2024-04-03,WAS,LAL,0,-5,20.53,9,5,6,3,2,2,1,3,1,0,1,1,5,15,4
2024-04-05,WAS,POR,0,-6,24.2,16,7,5,0,3,6,1,7,2,2,1,1,5,17,5
2024-04-07,WAS,TOR,1,-8,23.4,10,4,5,1,2,2,3,9,4,0,3,2,4,11,5
2024-04-12,WAS,CHI,0,-2,22.25,11,5,7,2,7,9,0,1,1,1,1,3,4,19,10
