Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,WAS,IND,1,-23,28.33,12,7,4,2,0,1,1,3,6,1,1,2,1,16,-17
2023-10-28,WAS,MEM,0,7,27.55,12,5,8,4,0,0,2,2,7,2,0,0,2,14,5
2023-10-30,WAS,BOS,0,-19,26.53,9,5,4,1,0,0,0,3,7,1,0,2,0,11,-31
2023-11-01,WAS,ATL,1,-9,22.12,6,3,3,0,0,0,0,1,3,1,0,1,1,6,-23
2023-11-03,WAS,MIA,1,-7,24.17,5,3,2,1,0,0,0,2,5,0,0,2,1,7,-14
2023-11-06,WAS,PHI,1,-18,32.6,13,5,4,2,0,0,0,1,6,2,0,0,2,12,-4
2023-11-08,WAS,CHO,1,16,19.07,6,1,2,0,0,0,1,6,4,1,0,1,1,2,-8
2023-11-10,WAS,CHO,0,-7,33.75,12,6,4,2,2,3,0,4,4,0,1,0,2,16,-29
2023-11-12,WAS,BRK,1,-8,22.93,5,0,1,0,0,0,0,1,1,2,0,1,1,0,-16
2023-11-13,WAS,TOR,1,-4,30.98,11,4,5,2,0,0,0,3,8,0,0,0,1,10,9
2023-11-15,WAS,DAL,0,-13,22.32,7,6,1,0,0,0,0,3,2,0,0,0,1,12,-20
2023-11-17,WAS,NYK,0,-21,29.98,7,4,2,1,2,2,0,3,5,1,0,1,0,11,-18
2023-11-20,WAS,MIL,0,-13,26.3,13,9,1,0,0,0,0,2,3,0,0,0,0,18,9
2023-11-22,WAS,CHO,1,-3,34.7,12,6,2,1,0,0,0,1,7,2,0,0,1,13,10
2023-11-24,WAS,MIL,1,-3,30.6,14,9,4,1,3,3,0,7,7,1,0,0,0,22,3
2023-11-25,WAS,ATL,0,-28,24.43,6,2,3,0,0,0,1,2,4,0,0,2,1,4,-18
2023-11-27,WAS,DET,1,19,25.95,9,5,3,1,1,2,1,3,4,0,0,0,0,12,7
2023-11-29,WAS,ORL,1,-19,20.82,10,3,2,0,1,2,0,3,4,2,0,0,1,7,-8
2023-12-01,WAS,ORL,1,-5,25.83,10,5,5,3,0,0,0,3,6,2,0,0,2,13,-5
2023-12-06,WAS,PHI,0,-5,31.37,11,8,4,2,2,2,0,3,8,1,2,1,0,20,-9
2023-12-08,WAS,BRK,1,-27,27.92,10,6,1,0,2,2,0,2,3,1,1,1,0,14,-20
2023-12-11,WAS,PHI,1,-45,20.93,9,4,5,1,0,0,0,5,3,1,0,2,0,9,-17
2023-12-13,WAS,NOP,0,-20,26.13,6,2,5,2,0,0,0,0,4,1,0,1,0,6,1
2023-12-15,WAS,IND,0,14,28.87,7,6,2,1,0,0,0,10,11,2,2,2,2,13,7
2023-12-17,WAS,PHO,1,-4,38.52,15,9,6,4,0,0,0,4,11,6,1,1,0,22,6
2023-12-18,WAS,SAC,1,-12,28.32,10,7,2,2,0,0,0,1,9,1,0,0,0,16,-20
2023-12-21,WAS,POR,1,1,35.55,15,9,7,5,1,2,0,3,3,1,0,2,1,24,6
2023-12-22,WAS,GSW,1,-11,24.97,8,6,2,2,0,0,1,3,6,1,0,0,0,14,-12
2023-12-26,WAS,ORL,0,-8,33.55,13,8,6,4,2,2,0,6,6,1,1,2,0,22,0
2023-12-27,WAS,TOR,0,-30,30.63,12,5,6,1,0,0,1,2,5,2,0,1,2,11,-20
2023-12-29,WAS,BRK,0,6,31.35,9,6,0,0,0,0,1,4,6,0,0,0,0,12,-12
2023-12-31,WAS,ATL,0,-4,27.42,11,5,7,3,1,1,0,0,8,1,1,1,1,14,5
2024-01-03,WAS,CLE,1,-39,20.82,11,4,2,1,0,0,0,2,2,1,1,0,0,9,-12
2024-01-05,WAS,CLE,1,-24,26.18,10,6,6,4,0,0,0,1,5,2,0,1,0,16,-17
2024-01-06,WAS,NYK,0,-16,27.97,13,4,6,2,1,2,0,1,8,0,0,2,0,11,-1
2024-01-08,WAS,OKC,0,-8,30.93,10,7,5,3,1,2,0,0,9,3,0,2,1,18,0
2024-01-10,WAS,IND,1,-8,33.6,12,5,5,1,0,0,1,4,4,0,1,2,2,11,-5
2024-01-13,WAS,ATL,1,28,26.1,9,4,3,0,0,0,1,3,7,1,1,0,0,8,18
2024-01-15,WAS,DET,0,-12,31.18,19,9,10,4,0,0,2,6,7,1,0,0,0,22,-15
2024-01-18,WAS,NYK,1,-4,36.82,6,1,3,0,0,0,0,4,15,3,0,1,2,2,-2
2024-01-20,WAS,SAS,0,-4,27.58,12,5,2,1,2,2,0,2,6,1,0,1,2,13,-18
2024-01-21,WAS,DEN,0,-9,31.25,14,6,4,3,0,0,1,2,13,1,0,1,0,15,-11
2024-01-24,WAS,MIN,0,-11,32.47,7,2,2,0,1,2,0,2,6,0,0,0,1,5,-9
2024-01-25,WAS,UTA,0,-15,34.15,12,5,4,2,0,0,0,6,14,1,0,0,1,12,-8
2024-01-27,WAS,DET,1,14,30.05,12,5,4,1,1,1,0,1,9,2,1,1,1,12,9
2024-01-29,WAS,SAS,1,5,32.48,16,7,4,1,0,0,1,2,9,2,1,1,0,15,5
2024-01-31,WAS,LAC,0,-16,28.98,9,2,3,0,0,0,0,4,7,0,0,3,1,4,-18
2024-02-02,WAS,MIA,0,-8,25.88,7,2,2,0,2,2,0,1,6,1,0,1,2,6,-15
2024-02-04,WAS,PHO,0,-28,24.38,15,7,3,0,0,0,0,1,8,1,0,2,0,14,-20
2024-02-07,WAS,CLE,0,-8,28.72,10,6,4,3,0,0,0,3,8,1,0,1,1,15,-5
2024-02-09,WAS,BOS,1,-4,37.38,13,7,3,3,0,0,0,2,9,0,1,1,1,17,7
2024-02-10,WAS,PHI,0,-6,30.97,14,9,9,6,1,1,0,3,9,1,0,1,2,25,-5
2024-02-12,WAS,DAL,1,-8,33.02,13,6,1,0,2,2,0,3,16,2,0,2,1,14,-14
2024-02-14,WAS,NOP,1,-7,39.53,7,5,6,4,0,0,0,2,15,1,0,2,2,14,0
2024-02-22,WAS,DEN,1,-20,30.85,8,5,5,3,0,0,2,2,14,0,0,2,0,13,-11
2024-02-23,WAS,OKC,1,-41,23.2,8,2,4,1,0,0,0,1,6,0,0,0,0,5,-28
2024-02-25,WAS,CLE,0,-9,35.42,4,1,1,1,0,0,0,1,11,1,0,1,1,3,-11
2024-02-27,WAS,GSW,0,-11,36.38,11,6,4,1,1,1,1,6,17,2,0,1,0,14,5
2024-02-29,WAS,LAL,1,-3,36.65,7,3,3,1,1,1,0,1,11,2,0,3,0,8,6
2024-03-01,WAS,LAC,1,-25,22.75,7,1,4,0,0,0,0,0,9,1,0,1,0,2,-14
