Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,PHO,UTA,0,22,6.03,1,1,0,0,0,0,0,3,0,0,0,0,0,2,-4
2023-11-05,PHO,DET,1,14,2.58,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-5
2023-12-22,PHO,SAC,1,-15,22.37,5,5,0,0,1,2,5,11,2,0,1,1,4,11,1
2023-12-25,PHO,DAL,0,-14,4.0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,2
2023-12-27,PHO,HOU,1,16,18.93,7,5,0,0,1,3,3,5,0,0,2,0,4,11,15
2023-12-29,PHO,CHO,0,14,6.35,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3
2023-12-31,PHO,ORL,0,5,7.53,0,0,0,0,0,0,0,1,0,0,1,1,1,0,-13
2024-01-01,PHO,POR,0,21,3.63,2,0,0,0,0,2,0,2,0,0,0,0,0,0,-2
2024-01-03,PHO,LAC,0,-9,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-01-11,PHO,LAL,1,18,5.0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,-6
2024-01-19,PHO,NOP,1,14,12.27,1,1,0,0,1,2,0,1,1,0,0,1,3,3,-13
2024-01-28,PHO,ORL,1,-15,10.62,3,1,0,0,0,2,2,6,0,0,0,0,1,2,-3
2024-02-08,PHO,UTA,0,14,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,PHO,DET,0,16,4.45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-10
2024-04-03,PHO,CLE,0,21,1.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-04-05,PHO,MIN,0,10,4.03,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-12
