Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,ORL,HOU,0,30,26.92,10,4,2,0,0,0,4,8,1,2,0,2,3,8,8
2023-10-27,ORL,POR,1,5,26.08,7,2,3,1,3,4,2,9,1,0,0,2,1,8,6
2023-10-30,ORL,LAL,1,-3,35.22,8,4,3,1,1,2,2,8,1,0,1,0,4,10,2
2023-10-31,ORL,LAC,1,-16,29.7,8,2,2,0,3,6,1,8,3,1,0,2,2,7,-16
2023-11-02,ORL,UTA,1,2,29.05,12,5,6,3,1,2,2,10,2,0,1,2,4,14,2
2023-12-20,ORL,MIA,0,-9,23.38,4,3,2,1,1,2,1,6,1,0,0,0,3,8,3
2023-12-21,ORL,MIL,1,-4,21.42,6,2,3,0,0,0,1,4,2,0,1,0,2,4,-27
2023-12-23,ORL,IND,1,7,16.48,6,2,1,0,0,0,3,8,4,0,0,1,1,4,-16
2023-12-26,ORL,WAS,1,8,21.32,3,2,1,1,1,2,0,4,2,0,1,2,1,6,12
2023-12-27,ORL,PHI,0,-20,22.15,4,1,2,0,2,2,2,4,1,0,2,1,0,4,-8
2023-12-31,ORL,PHO,1,-5,23.87,7,6,3,3,2,2,1,5,2,0,0,3,2,17,14
2024-01-02,ORL,GSW,1,-6,19.87,5,1,1,0,4,4,0,2,1,1,1,0,1,6,4
2024-01-03,ORL,SAC,1,-3,21.15,7,3,3,3,0,0,1,7,3,0,0,1,4,9,9
2024-01-15,ORL,NYK,1,4,18.88,11,7,3,1,2,2,1,3,0,0,1,0,1,17,14
2024-01-17,ORL,ATL,1,-2,24.0,7,6,4,3,3,4,2,5,2,2,1,0,1,18,0
2024-01-19,ORL,PHI,0,-15,26.03,13,9,2,1,6,7,6,11,0,0,0,3,4,25,2
2024-01-21,ORL,MIA,0,18,34.12,11,7,3,1,2,2,2,9,2,1,0,1,1,17,21
2024-01-22,ORL,CLE,0,-27,26.88,9,4,2,1,1,2,2,9,1,2,0,1,2,10,-22
2024-01-26,ORL,MEM,1,-1,35.4,9,8,3,2,2,3,3,9,2,2,2,1,3,20,-5
2024-01-28,ORL,PHO,0,15,23.32,8,4,4,1,0,0,0,3,1,0,1,0,1,9,-6
2024-01-29,ORL,DAL,1,-2,28.75,7,2,4,1,4,5,5,8,2,0,0,1,6,9,-1
2024-01-31,ORL,SAS,1,10,26.35,7,3,3,1,7,8,3,5,2,0,0,1,4,14,4
2024-02-02,ORL,MIN,1,2,36.97,12,6,6,2,4,6,3,12,1,0,0,0,3,18,-2
2024-02-04,ORL,DET,1,12,27.57,4,3,1,0,1,3,1,4,2,1,0,3,2,7,9
2024-02-06,ORL,MIA,1,-26,27.88,9,6,4,2,1,2,1,6,3,0,0,0,5,15,-22
2024-02-08,ORL,SAS,0,16,25.53,7,3,4,3,1,2,1,6,1,1,0,3,0,10,19
2024-02-10,ORL,CHI,0,6,25.88,6,3,2,0,0,0,0,3,1,0,1,1,2,6,-7
2024-02-13,ORL,OKC,0,-14,30.78,14,9,4,1,3,3,0,6,1,0,0,3,5,22,2
2024-02-14,ORL,NYK,0,18,24.47,5,4,1,0,1,2,1,6,1,0,1,0,2,9,5
2024-02-22,ORL,CLE,1,7,23.13,7,5,3,2,0,0,0,2,1,0,0,1,2,12,-11
2024-02-24,ORL,DET,1,3,22.48,5,3,3,2,3,4,3,10,2,1,0,1,2,11,-7
2024-02-25,ORL,ATL,1,-17,33.88,12,7,5,2,2,4,4,10,1,1,1,3,2,18,-11
2024-02-27,ORL,BRK,0,27,22.1,9,5,2,0,0,0,2,7,2,0,1,2,3,10,20
2024-02-29,ORL,UTA,0,8,22.0,6,2,0,0,2,5,1,5,1,0,0,0,2,6,9
2024-03-03,ORL,DET,0,22,31.17,7,5,3,2,7,7,2,8,3,1,2,0,1,19,31
2024-03-05,ORL,CHO,1,12,28.98,7,5,4,2,0,0,4,9,1,1,0,1,1,12,0
2024-03-08,ORL,NYK,1,-24,24.55,8,2,4,2,1,2,7,9,2,0,2,3,2,7,-22
2024-03-10,ORL,IND,0,-14,27.65,13,5,5,0,3,3,6,15,2,1,1,2,3,13,-13
2024-03-13,ORL,BRK,0,8,26.67,8,5,4,1,4,6,2,8,2,1,1,2,4,15,2
2024-03-15,ORL,TOR,1,10,27.65,10,6,5,2,1,2,2,8,3,0,0,1,2,15,8
2024-03-17,ORL,TOR,0,15,27.47,8,4,4,1,0,0,0,3,3,1,0,1,1,9,27
2024-03-19,ORL,CHO,0,20,23.83,6,3,2,1,1,1,1,8,3,1,0,4,1,8,17
2024-03-21,ORL,NOP,0,15,23.33,7,4,2,0,0,3,2,6,4,3,1,1,0,8,-2
2024-03-23,ORL,SAC,0,-2,22.53,6,1,3,0,1,2,3,11,1,0,0,1,1,3,-20
2024-03-27,ORL,GSW,0,-8,18.75,7,3,2,0,1,3,2,6,0,2,0,1,1,7,-16
2024-03-29,ORL,LAC,0,-3,23.58,3,1,1,0,0,0,2,5,2,0,1,1,0,2,-3
2024-03-30,ORL,MEM,0,30,28.2,10,4,7,3,4,4,1,13,2,2,1,1,2,15,39
2024-04-01,ORL,POR,0,1,31.2,10,6,4,1,4,7,3,13,5,3,1,2,2,17,13
2024-04-03,ORL,NOP,1,9,24.15,7,5,4,3,1,2,2,11,3,0,0,2,3,14,-3
2024-04-05,ORL,CHO,1,-9,37.27,10,5,7,3,0,0,3,7,1,1,1,1,4,13,-15
2024-04-07,ORL,CHI,0,15,34.48,11,5,6,1,0,0,2,8,3,2,1,0,5,11,7
2024-04-09,ORL,HOU,1,-12,20.6,7,3,3,1,0,0,3,6,2,1,0,2,2,7,-11
2024-04-10,ORL,MIL,1,-18,23.22,9,3,4,1,2,2,2,3,0,0,0,1,2,9,-14
2024-04-12,ORL,PHI,1,-12,3.82,3,2,1,0,0,0,0,0,0,0,0,0,2,4,-2
2024-04-14,ORL,MIL,0,25,14.28,3,3,1,1,0,0,2,2,0,0,0,0,1,7,27
