Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-12-12,LAC,SAC,0,20,6.57,2,1,1,0,0,0,0,0,2,0,0,1,1,2,-11
2023-12-16,LAC,NYK,0,22,4.98,0,0,0,0,0,0,0,2,1,0,0,0,0,0,-2
2024-03-12,LAC,MIN,0,-18,4.13,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2
2024-03-14,LAC,CHI,1,15,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-03-17,LAC,ATL,0,-17,2.47,2,2,0,0,1,2,1,1,1,0,0,0,2,5,0
2024-03-20,LAC,POR,1,13,5.77,3,1,1,0,0,0,0,0,0,1,0,1,0,2,-9
2024-03-22,LAC,POR,1,8,4.85,3,0,1,0,0,0,1,2,0,0,0,0,1,0,-11
2024-03-24,LAC,PHI,0,-14,3.95,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
2024-03-25,LAC,IND,0,-17,1.87,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2
2024-04-05,LAC,UTA,0,29,2.27,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2024-04-09,LAC,PHO,1,13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-10,LAC,PHO,0,-16,15.52,5,3,1,0,0,0,1,3,4,0,0,0,0,6,-5
2024-04-12,LAC,UTA,0,-1,16.92,4,1,2,0,0,0,2,3,4,0,1,1,2,2,8
2024-04-14,LAC,HOU,0,-11,46.35,22,6,9,2,0,0,2,6,6,2,1,0,2,14,-7
