Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-25,MIL,CHI,0,-11,1.82,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2024-10-27,MIL,BRK,1,-13,3.43,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4
2024-11-12,MIL,TOR,0,14,1.93,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1
2024-12-03,MIL,DET,1,21,2.42,3,2,1,1,0,0,0,1,0,0,0,1,0,5,5
2025-01-23,MIL,MIA,0,29,3.95,1,0,0,0,0,0,0,1,2,0,0,0,0,0,3
2025-02-03,MIL,OKC,1,-29,29.1,12,5,4,2,1,2,0,4,4,1,0,2,0,13,0
2025-02-07,WAS,CLE,0,-10,8.83,4,1,2,0,0,0,0,1,4,0,0,0,1,2,-4
2025-02-08,WAS,ATL,0,-14,7.45,2,1,1,0,0,0,0,1,1,0,0,0,4,2,-4
2025-02-12,WAS,IND,0,-4,9.73,2,1,2,1,0,0,0,0,0,0,0,1,0,3,10
