Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHI,MIL,0,-15,2.65,1,1,0,0,0,0,1,1,0,0,0,0,1,2,3
2024-10-25,PHI,TOR,1,-8,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-10-30,PHI,DET,0,-10,3.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
2024-11-02,PHI,MEM,0,-17,1.45,1,1,0,0,0,0,1,1,0,0,0,1,0,2,-1
2024-11-06,PHI,LAC,1,-12,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2024-11-08,PHI,LAL,1,-10,2.3,1,1,0,0,1,1,0,1,0,0,1,0,0,3,4
2024-11-12,PHI,NYK,0,-12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-13,PHI,CLE,0,-8,17.25,3,2,0,0,0,0,3,9,0,0,1,1,3,4,-4
2024-11-15,PHI,ORL,1,-12,1.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2024-11-18,PHI,MIA,1,-17,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-24,PHI,LAC,0,-26,8.55,0,0,0,0,0,0,0,2,0,0,0,0,2,0,-5
2024-11-30,PHI,DET,1,15,19.62,2,1,0,0,2,3,1,5,0,0,3,2,4,4,9
2024-12-03,PHI,CHO,1,6,13.72,2,2,0,0,2,2,0,1,0,0,0,2,2,6,4
2024-12-04,PHI,ORL,0,-4,14.3,3,0,0,0,0,0,2,3,0,0,0,0,2,0,-12
2024-12-21,PHI,CLE,1,-27,11.65,1,1,0,0,1,1,1,3,1,0,0,0,1,3,-4
2024-12-30,PHI,POR,1,22,4.05,0,0,0,0,2,2,0,0,1,0,0,0,2,2,-3
