Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,OKC,DEN,1,15,6.85,3,0,1,0,0,0,0,1,1,0,0,1,0,0,-1
2024-10-26,OKC,CHI,1,19,15.72,5,2,0,0,0,0,0,1,3,2,0,1,2,4,0
2024-10-27,OKC,ATL,0,24,14.45,1,0,0,0,0,0,0,3,3,0,1,0,1,0,12
2024-10-30,OKC,SAS,0,12,21.87,6,5,1,1,1,2,0,4,0,2,0,0,0,12,7
2024-11-01,OKC,POR,1,23,17.22,6,3,3,2,0,0,2,2,2,0,0,1,4,8,11
2024-11-02,OKC,LAC,1,13,7.57,0,0,0,0,0,0,0,0,0,0,0,2,4,0,-5
2024-11-04,OKC,ORL,0,16,12.42,4,2,1,0,0,0,0,1,1,0,0,1,0,4,-2
2024-11-06,OKC,DEN,1,-2,9.18,2,1,1,1,0,0,0,0,1,1,0,0,2,3,-4
2024-11-08,OKC,HOU,0,19,19.72,6,5,2,1,1,1,0,2,7,3,0,0,2,12,18
2024-11-10,OKC,GSW,0,-11,20.6,9,5,1,0,2,2,0,2,1,1,0,1,1,12,5
2024-11-11,OKC,LAC,0,6,10.52,3,1,1,0,0,0,0,1,1,0,0,2,1,2,2
2024-11-13,OKC,NOP,0,18,25.85,4,2,0,0,2,2,0,2,3,2,0,0,2,6,18
2024-11-15,OKC,PHO,0,16,22.63,7,3,2,1,0,0,2,4,3,0,0,1,2,7,-2
2024-11-17,OKC,DAL,0,-2,19.0,5,1,2,0,1,2,0,1,2,1,0,0,3,3,-3
2024-11-19,OKC,SAS,1,-6,13.43,1,1,1,1,0,0,0,0,1,1,0,2,2,3,4
2024-11-20,OKC,POR,0,10,22.33,8,4,3,2,0,0,2,4,1,2,0,2,1,10,12
2024-11-25,OKC,SAC,1,21,17.78,7,5,1,1,2,2,0,0,1,0,0,0,1,13,0
2024-11-27,OKC,GSW,1,4,16.45,8,1,3,0,0,0,1,1,0,1,0,1,2,2,-4
2024-11-29,OKC,LAL,1,8,17.95,3,1,3,1,1,2,0,0,0,1,0,0,1,4,1
2024-12-01,OKC,HOU,1,-3,7.23,4,0,1,0,0,0,1,1,0,0,0,1,1,0,-5
2024-12-03,OKC,UTA,0,27,16.97,3,2,2,1,0,0,1,2,1,1,0,1,4,5,1
2024-12-05,OKC,TOR,1,37,18.88,9,6,1,1,0,0,0,0,3,2,0,0,4,13,8
2024-12-07,OKC,NOP,1,10,18.73,8,4,1,0,2,2,0,3,4,0,1,1,1,10,11
2024-12-10,OKC,DAL,0,14,9.72,3,1,0,0,0,0,1,1,2,1,0,1,2,2,-8
2024-12-14,OKC,HOU,0,15,9.08,0,0,0,0,2,2,0,2,1,0,0,0,1,2,8
2024-12-19,OKC,ORL,1,6,9.47,2,1,1,1,2,2,0,1,2,0,0,1,1,5,7
2024-12-20,OKC,MIA,1,7,13.33,2,1,1,0,0,0,1,3,1,0,0,3,2,2,-15
2024-12-23,OKC,WAS,0,18,21.52,7,6,3,2,2,3,3,12,2,1,1,2,2,16,20
2024-12-26,OKC,IND,1,6,15.78,5,4,2,1,0,1,0,1,0,1,0,0,1,9,1
2024-12-28,OKC,CHO,1,12,31.57,8,4,2,1,1,1,1,5,4,0,0,1,1,10,7
2024-12-29,OKC,MEM,0,24,21.58,11,6,5,3,2,2,0,1,3,1,0,0,3,17,20
2024-12-31,OKC,MIN,0,8,17.97,4,1,3,0,1,1,1,3,0,0,0,0,2,3,2
