Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,HOU,CHO,0,-5,33.87,22,10,3,2,3,4,6,18,5,4,1,3,2,25,10
2024-10-25,HOU,MEM,0,20,31.7,13,5,2,0,6,8,5,15,2,1,0,3,5,16,17
2024-10-26,HOU,SAS,1,-3,22.03,8,2,2,1,1,2,1,5,2,2,0,1,3,6,-6
2024-10-28,HOU,SAS,1,5,26.13,14,5,1,1,1,2,5,12,5,1,1,2,5,12,-1
2024-10-31,HOU,DAL,1,6,34.78,16,5,1,0,7,9,6,12,4,0,1,1,3,17,10
2024-11-02,HOU,GSW,0,-6,20.63,10,5,1,0,4,6,3,10,4,0,1,2,3,14,-7
2024-11-04,HOU,NYK,0,12,33.37,15,11,3,0,3,3,2,14,5,0,4,4,2,25,14
2024-11-06,HOU,SAS,0,27,24.27,15,8,1,0,0,1,0,5,4,1,2,1,1,16,13
2024-11-08,HOU,OKC,1,-19,27.18,12,3,1,0,5,6,4,9,6,1,0,2,5,11,-11
2024-11-10,HOU,DET,1,2,30.33,17,11,0,0,5,7,3,10,2,0,1,1,2,27,11
2024-11-11,HOU,WAS,0,15,31.0,19,12,1,1,2,2,7,17,3,0,3,2,1,27,22
2024-11-13,HOU,LAC,0,8,30.03,14,6,2,1,0,0,4,11,6,1,4,4,3,13,-18
2024-11-15,HOU,LAC,0,21,32.98,9,3,3,1,9,10,2,10,10,2,2,1,2,16,38
2024-11-17,HOU,CHI,1,36,25.53,15,9,2,0,2,3,2,10,11,0,1,0,1,20,35
2024-11-18,HOU,MIL,1,-1,38.82,21,8,2,0,2,3,4,7,5,2,0,4,4,18,11
2024-11-20,HOU,IND,0,17,28.18,19,12,1,1,6,8,4,12,2,1,0,1,3,31,4
2024-11-22,HOU,POR,0,28,25.07,13,7,1,0,0,1,2,8,3,1,0,3,2,14,11
2024-11-23,HOU,POR,0,-6,35.87,17,7,0,0,8,11,2,5,5,2,0,2,3,22,-3
2024-11-26,HOU,MIN,1,6,41.77,23,9,3,0,4,4,3,10,11,3,3,2,3,22,28
2024-11-27,HOU,PHI,1,7,35.33,11,6,0,0,10,12,4,14,7,2,1,4,2,22,1
2024-12-01,HOU,OKC,0,3,38.0,17,7,1,0,6,8,5,14,9,0,1,1,2,20,0
2024-12-03,HOU,SAC,1,-9,31.8,20,10,2,1,3,4,3,8,6,1,0,2,3,24,-13
2024-12-05,HOU,GSW,1,-6,29.18,15,7,1,0,2,2,2,8,5,2,0,2,2,16,-10
2024-12-08,HOU,LAC,1,11,36.27,9,4,2,0,3,4,3,10,6,0,0,4,4,11,13
2024-12-11,HOU,GSW,0,1,31.63,18,10,1,0,6,7,3,11,5,3,0,4,0,26,-4
2024-12-14,HOU,OKC,1,-15,32.58,16,6,2,1,0,1,5,11,2,2,0,4,5,13,-5
2024-12-19,HOU,NOP,0,20,34.15,14,10,1,0,3,4,0,9,7,0,1,0,3,23,25
2024-12-22,HOU,TOR,1,4,32.68,14,7,2,0,3,5,3,10,5,3,2,5,2,17,4
2024-12-23,HOU,CHO,1,13,26.82,11,5,2,1,5,5,4,8,4,0,1,1,2,16,10
2024-12-26,HOU,NOP,1,17,25.17,11,5,2,0,0,0,3,13,6,0,0,3,2,10,19
2024-12-27,HOU,MIN,0,-1,40.85,25,16,1,0,6,10,8,12,1,1,0,2,4,38,-6
2024-12-29,HOU,MIA,0,-4,34.78,14,8,1,0,2,2,5,18,6,1,1,5,4,18,4
2025-01-01,HOU,DAL,0,11,36.75,16,9,1,0,5,8,0,6,4,5,0,4,2,23,21
2025-01-03,HOU,BOS,0,-23,28.75,15,6,1,0,2,2,2,7,3,1,1,4,4,14,-28
2025-01-05,HOU,LAL,0,4,31.42,14,6,2,0,2,4,2,6,4,0,0,2,4,14,-14
2025-01-07,HOU,WAS,1,23,29.68,23,12,2,0,2,2,4,10,6,2,0,4,2,26,29
2025-01-09,HOU,MEM,1,4,35.18,20,12,1,1,7,15,5,14,5,0,1,3,4,32,2
2025-01-13,HOU,MEM,0,2,32.23,17,7,1,0,3,6,3,8,5,3,1,6,5,17,6
2025-01-15,HOU,DEN,1,20,25.65,21,9,1,0,2,2,3,9,8,2,0,1,1,20,17
2025-01-16,HOU,SAC,1,-5,33.75,15,8,2,1,4,7,2,10,3,4,1,0,2,21,-21
2025-01-18,HOU,POR,1,22,30.73,19,10,1,1,2,5,6,15,6,2,1,3,2,23,12
2025-01-20,HOU,DET,0,-11,29.48,14,5,1,0,1,1,5,8,5,0,0,1,0,11,-8
2025-01-22,HOU,CLE,0,1,29.27,13,7,1,0,4,6,2,11,4,0,1,3,3,18,4
