Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,WAS,BOS,0,-20,3.18,2,1,0,0,0,0,0,0,1,1,0,1,0,2,4
2024-10-30,WAS,ATL,0,13,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02,WAS,MIA,0,-20,3.27,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2024-11-04,WAS,GSW,0,-13,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2024-11-08,WAS,MEM,1,-24,4.53,2,2,1,1,0,0,0,1,0,1,0,0,0,5,0
2024-11-10,WAS,ORL,1,-27,4.82,0,0,0,0,1,2,1,3,1,0,0,0,0,1,0
2024-11-11,WAS,HOU,1,-15,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-11-17,WAS,DET,0,-20,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-11-18,WAS,NYK,1,-28,14.95,6,4,1,1,0,2,0,3,0,0,0,0,1,9,-2
2024-11-24,WAS,IND,1,-12,6.13,2,2,1,1,0,1,0,0,0,1,0,0,0,5,-2
2024-11-26,WAS,CHI,0,-19,7.95,2,1,1,0,2,4,1,3,0,0,0,0,0,4,2
2024-11-27,WAS,LAC,0,-25,15.48,2,0,1,0,4,4,1,2,2,0,1,0,0,4,18
