Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,NOP,CHI,0,12,1.0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,-3
2024-10-27,NOP,POR,1,-22,3.72,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1
2024-11-03,NOP,ATL,0,-15,3.55,2,1,2,1,0,0,0,1,0,0,0,0,0,3,4
2024-11-04,NOP,POR,0,-18,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-08,NOP,ORL,1,-27,18.35,5,1,3,1,0,0,0,3,1,1,0,0,1,3,-18
2024-11-11,NOP,BRK,0,-2,8.2,1,1,0,0,0,0,0,0,0,2,0,0,0,2,-4
2024-11-13,NOP,OKC,1,-18,8.05,5,3,2,0,0,0,0,1,0,0,0,0,0,6,2
2024-11-19,NOP,DAL,1,-41,7.07,5,3,2,2,1,1,0,0,0,0,0,2,1,9,-7
2024-11-20,NOP,CLE,1,-28,39.57,25,14,12,4,2,2,1,5,3,0,0,0,1,34,-16
2024-11-22,NOP,GSW,0,-4,12.67,5,0,3,0,1,2,2,2,1,0,0,0,1,1,-8
