Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CHI,NOP,1,-12,24.97,6,4,2,0,0,0,0,4,3,0,0,2,2,8,-13
2024-10-25,CHI,MIL,1,11,27.6,8,1,5,0,0,0,0,5,5,0,1,1,1,2,10
2024-10-26,CHI,OKC,0,-19,24.2,11,1,9,1,0,0,0,5,6,0,0,2,4,3,-5
2024-10-28,CHI,MEM,1,3,27.28,8,4,4,2,0,0,2,8,4,0,1,0,1,10,0
2024-10-30,CHI,ORL,0,3,29.13,8,6,1,0,0,1,0,4,4,0,1,0,1,12,0
2024-11-01,CHI,BRK,1,-8,27.15,11,3,7,2,2,2,0,7,3,0,0,3,4,10,-4
2024-11-04,CHI,UTA,0,-9,34.8,13,9,2,0,7,7,3,5,5,0,1,1,2,25,2
2024-11-06,CHI,DAL,1,-20,24.87,13,2,10,2,0,0,1,5,4,0,0,2,3,6,-31
2024-11-07,CHI,MIN,0,-16,33.07,11,5,3,1,2,2,2,3,2,1,0,1,4,13,-20
2024-11-09,CHI,ATL,1,12,30.6,10,7,3,2,3,3,0,2,4,0,1,2,1,19,11
2024-11-11,CHI,CLE,0,-6,30.75,8,2,4,1,5,6,0,3,4,0,0,0,1,10,-21
2024-11-13,CHI,NYK,1,1,25.17,8,5,3,2,4,4,0,3,6,2,1,1,4,16,-4
2024-11-15,CHI,CLE,1,-18,26.22,9,6,3,2,1,2,1,5,4,1,1,2,5,15,-17
2024-11-17,CHI,HOU,0,-36,23.5,10,4,5,1,0,0,0,2,6,0,0,1,2,9,-17
2024-11-18,CHI,DET,1,10,33.28,12,4,2,0,1,2,1,1,1,0,1,0,0,9,8
2024-11-20,CHI,MIL,1,-16,32.27,7,4,1,0,0,0,0,3,3,1,0,3,3,8,-18
2024-11-22,CHI,ATL,0,14,38.4,10,8,3,2,2,2,1,3,8,2,0,2,3,20,1
2024-11-23,CHI,MEM,0,-11,29.33,7,3,4,2,0,2,0,1,5,0,0,1,2,8,-25
2024-11-26,CHI,WAS,1,19,30.3,10,4,4,1,3,4,0,3,3,2,1,2,1,12,22
2024-11-27,CHI,ORL,1,-14,30.67,12,10,3,1,0,2,1,4,2,1,0,0,1,21,-19
2024-11-29,CHI,BOS,0,-9,32.0,11,5,4,1,2,2,0,1,5,1,0,1,4,13,-15
2024-12-02,CHI,BRK,0,26,29.68,13,7,5,1,1,1,1,2,6,1,1,1,1,16,24
2024-12-05,CHI,SAS,1,15,35.23,13,9,3,3,6,6,3,10,11,3,0,1,3,27,23
2024-12-06,CHI,IND,0,-9,32.4,8,6,5,3,0,0,0,2,5,2,2,1,3,15,1
2024-12-08,CHI,PHI,0,-8,34.87,6,3,4,2,2,2,0,3,5,0,0,3,2,10,-16
2024-12-13,CHI,CHO,0,14,32.42,12,8,6,3,0,0,0,3,5,1,1,1,3,19,4
2024-12-16,CHI,TOR,1,1,39.75,15,5,6,1,1,2,0,5,5,1,1,0,3,12,-6
2024-12-19,CHI,BOS,1,9,37.65,14,7,5,3,0,0,1,8,4,2,0,1,1,17,17
2024-12-21,CHI,BOS,0,-25,32.25,7,3,4,1,0,0,1,4,6,1,0,1,1,7,-10
2024-12-23,CHI,MIL,0,-21,33.78,9,2,5,0,1,2,0,4,11,2,0,4,2,5,-19
2025-01-15,CHI,ATL,0,-16,25.12,7,4,1,0,1,1,1,3,2,2,0,1,1,9,12
2025-01-17,CHI,CHO,0,-2,28.2,8,4,3,1,0,0,1,5,4,1,0,0,4,9,4
2025-01-19,CHI,POR,1,-11,32.15,8,4,3,1,3,4,0,1,4,1,0,1,3,12,-11
2025-01-23,CHI,GSW,1,-25,22.6,6,4,4,2,3,4,0,2,2,0,0,0,2,13,-26
2025-01-25,CHI,PHI,0,-12,27.87,10,3,5,2,0,0,1,2,2,0,0,2,2,8,-10
2025-01-27,CHI,DEN,0,8,34.43,13,6,7,4,1,2,2,2,2,2,1,2,1,17,20
2025-01-29,CHI,BOS,1,-22,31.52,13,5,5,2,0,0,1,4,4,1,0,1,2,12,-23
2025-01-31,CHI,TOR,1,16,35.17,9,2,6,2,0,0,0,4,8,1,1,1,1,6,10
2025-02-02,CHI,DET,1,-8,31.63,9,6,5,2,0,0,1,3,5,0,1,3,3,14,-11
2025-02-04,CHI,MIA,0,9,28.78,11,8,2,2,3,3,0,2,9,1,1,1,4,21,3
2025-02-05,CHI,MIN,1,-19,36.48,10,5,5,1,0,0,0,0,4,2,0,2,3,11,-8
2025-02-08,CHI,GSW,0,-21,30.27,6,4,3,1,1,1,0,1,4,1,0,4,4,10,-13
2025-02-11,CHI,DET,0,-40,20.18,6,3,3,1,1,2,0,1,2,3,0,3,0,8,-28
2025-02-12,CHI,DET,0,-18,35.08,16,9,5,0,5,6,1,3,6,2,0,4,4,23,-9
2025-02-20,CHI,NYK,1,-2,28.12,8,2,5,1,0,0,0,5,3,1,0,3,1,5,-16
