Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,BRK,ATL,1,-4,24.2,4,3,0,0,0,0,2,5,8,0,1,6,5,6,-8
2024-10-25,BRK,ORL,1,-15,23.9,5,2,0,0,3,4,0,6,3,1,1,4,5,7,-17
2024-10-27,BRK,MIL,0,13,23.78,3,1,0,0,0,0,2,6,6,1,0,2,4,2,-9
2024-10-30,BRK,MEM,1,13,24.52,5,4,0,0,0,0,2,5,3,1,0,2,5,8,6
2024-11-01,BRK,CHI,0,8,25.57,5,4,0,0,0,0,0,8,11,0,2,3,3,8,5
2024-11-03,BRK,DET,0,-14,24.47,4,2,0,0,0,0,0,6,6,1,0,3,2,4,-3
2024-11-08,BRK,BOS,1,-4,27.28,6,4,0,0,0,0,1,6,8,1,0,3,1,8,-8
2024-11-11,BRK,NOP,1,2,22.3,5,3,0,0,0,0,1,5,12,2,0,3,3,6,8
2024-11-15,BRK,NYK,1,-2,24.72,5,2,0,0,0,0,1,7,5,1,0,0,1,4,0
2024-11-17,BRK,NYK,1,-10,22.12,3,0,0,0,0,0,0,4,8,0,1,3,3,0,-3
2024-11-19,BRK,CHO,0,1,25.8,8,5,0,0,0,0,4,9,5,2,1,3,2,10,14
2024-11-22,BRK,PHI,1,-15,26.22,4,1,0,0,0,0,1,4,4,0,1,2,0,2,-20
2024-11-24,BRK,SAC,1,5,26.82,3,2,0,0,0,0,1,3,5,1,1,2,2,4,4
2024-11-27,BRK,PHO,1,10,27.33,8,7,0,0,0,0,1,9,8,1,0,2,4,14,5
2024-11-29,BRK,ORL,0,-23,26.37,2,2,0,0,0,2,0,7,8,0,0,3,2,4,-9
2024-12-01,BRK,ORL,0,-8,11.65,1,0,0,0,0,0,1,2,5,1,0,1,3,0,1
2024-12-04,BRK,IND,0,9,20.7,3,3,0,0,1,2,1,7,9,2,3,0,1,7,20
2024-12-08,BRK,MIL,0,-5,17.6,0,0,0,0,0,0,0,3,1,0,0,2,2,0,-5
2024-12-13,BRK,MEM,1,-16,21.17,3,1,0,0,0,0,0,4,8,0,1,2,2,2,-3
