Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,SAS,DAL,1,-11,8.87,3,2,0,0,2,2,0,0,2,0,0,0,0,6,13
2024-10-26,SAS,HOU,0,3,6.05,3,1,0,0,0,0,0,1,2,0,0,0,1,2,0
2024-10-28,SAS,HOU,0,-5,12.2,6,2,3,1,1,2,2,2,2,0,0,1,0,6,-1
2024-10-30,SAS,OKC,1,-12,12.95,5,2,2,0,1,2,0,1,0,0,0,2,0,5,3
2024-10-31,SAS,UTA,1,18,5.45,2,0,2,0,0,0,0,0,0,0,0,2,1,0,-14
2024-11-02,SAS,MIN,0,10,1.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024-11-06,SAS,HOU,1,-27,15.87,8,2,2,1,0,0,0,0,2,1,0,1,2,5,-10
2024-11-07,SAS,POR,0,13,21.22,4,4,0,0,2,2,0,1,8,2,0,2,2,10,0
2024-11-09,SAS,UTA,0,-1,18.97,4,2,0,0,1,1,0,0,2,1,0,2,1,5,-4
2024-11-11,SAS,SAC,0,20,11.12,0,0,0,0,0,0,0,1,0,0,0,2,0,0,-4
2024-11-13,SAS,WAS,0,9,12.55,5,5,0,0,0,0,0,1,2,1,0,1,1,10,9
2024-11-15,SAS,LAL,0,-5,8.45,4,0,2,0,0,0,0,0,1,0,1,0,1,0,-16
2024-11-16,SAS,DAL,1,-17,18.48,5,2,2,0,2,2,1,1,1,0,0,1,0,6,4
2024-11-21,SAS,UTA,0,8,4.32,3,0,2,0,1,2,0,2,0,0,0,0,0,1,-5
2024-11-23,SAS,GSW,0,10,13.62,5,3,2,1,0,0,1,2,1,1,0,1,1,7,8
2024-11-26,SAS,UTA,1,13,21.75,5,4,2,1,2,4,1,3,4,2,0,2,0,11,34
