Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,25.85,10,7,1,1,1,1,1,3,3,2,1,4,4,16,8
2024-10-25,MIL,CHI,0,-11,27.83,9,4,3,1,0,0,2,12,1,1,0,1,0,9,-5
2024-10-27,MIL,BRK,1,-13,26.85,14,7,4,1,1,1,2,10,2,0,1,0,0,16,-21
2024-10-28,MIL,BOS,1,-11,19.28,6,2,1,0,0,0,1,6,0,0,1,4,1,4,-12
2024-10-31,MIL,MEM,1,-23,24.93,14,5,5,1,0,0,5,7,0,1,0,1,2,11,-17
2024-11-02,MIL,CLE,0,-1,20.17,10,5,2,0,0,0,1,8,0,0,0,2,2,10,-16
2024-11-04,MIL,CLE,1,-2,38.88,21,10,2,0,1,2,3,18,1,0,3,1,3,21,-3
2024-11-07,MIL,UTA,0,23,26.6,15,7,6,3,2,3,3,6,0,0,0,0,3,19,2
2024-11-08,MIL,NYK,1,-22,16.9,8,1,3,0,2,2,2,5,1,0,0,1,2,4,-14
2024-11-10,MIL,BOS,0,-6,23.27,12,6,3,1,2,2,1,7,0,1,0,0,2,15,4
2024-11-12,MIL,TOR,0,14,18.0,17,8,7,1,0,0,3,8,0,0,0,1,0,17,7
2024-11-16,MIL,CHO,1,-1,23.9,15,9,2,1,2,5,2,7,3,0,0,0,1,21,5
2024-11-18,MIL,HOU,0,1,20.72,9,4,1,1,2,2,0,4,1,0,1,1,1,11,-10
2024-11-20,MIL,CHI,0,16,22.45,6,2,3,1,3,3,1,6,6,0,0,3,1,8,8
2024-11-22,MIL,IND,0,12,23.35,12,7,4,3,0,0,1,7,1,1,0,2,2,17,6
2024-11-23,MIL,CHO,0,6,26.52,13,5,3,1,0,1,1,7,2,1,3,0,2,11,12
2024-11-26,MIL,MIA,1,3,18.37,15,5,3,1,0,0,3,6,1,0,0,1,0,11,-8
2024-11-30,MIL,WAS,0,10,23.35,6,4,2,1,0,0,1,6,2,1,0,0,0,9,5
2024-12-03,MIL,DET,1,21,26.42,12,5,7,4,0,0,0,4,3,1,0,0,2,14,-2
2024-12-04,MIL,ATL,0,-15,17.67,6,2,2,0,2,2,0,5,3,2,0,3,3,6,-8
2024-12-06,MIL,BOS,1,-6,20.87,15,4,4,0,1,2,7,18,3,0,0,1,2,9,7
2024-12-08,MIL,BRK,1,5,31.43,10,9,5,5,0,0,0,5,1,1,3,2,0,23,12
2024-12-10,MIL,ORL,0,5,31.82,11,9,3,2,2,3,2,10,4,1,1,0,1,22,11
2024-12-14,MIL,ATL,0,8,22.95,10,5,3,0,0,0,1,9,2,0,1,0,2,10,-5
2024-12-20,MIL,CLE,1,-23,20.22,9,4,2,1,0,0,1,3,2,1,0,1,4,9,-20
2024-12-21,MIL,WAS,0,11,31.73,21,14,9,6,0,0,2,10,8,3,1,2,1,34,6
2024-12-23,MIL,CHI,1,21,32.3,18,7,6,2,3,4,1,13,6,0,0,1,3,19,15
2024-12-26,MIL,BRK,0,-6,35.32,16,7,4,0,4,4,2,8,4,2,0,4,3,18,-16
2024-12-28,MIL,CHI,1,-5,33.92,17,5,7,2,2,2,3,9,4,2,1,1,3,14,-4
2024-12-31,MIL,IND,1,8,30.93,14,6,2,0,2,2,4,15,3,2,0,0,0,14,15
2025-01-02,MIL,BRK,0,-3,28.18,9,4,4,3,4,4,1,8,0,0,1,4,2,15,-2
2025-01-04,MIL,POR,0,-3,25.55,11,4,4,1,0,0,1,7,1,3,0,1,3,9,-5
2025-01-06,MIL,TOR,1,24,22.77,12,8,6,4,0,0,1,7,3,0,0,1,2,20,9
2025-01-08,MIL,SAS,0,16,19.32,12,2,3,0,1,2,2,11,2,1,1,1,2,5,20
2025-01-10,MIL,ORL,1,3,25.07,9,5,3,1,0,0,0,7,1,1,0,0,3,11,12
2025-01-12,MIL,NYK,1,-34,18.97,7,4,1,0,0,0,1,4,0,0,0,0,2,8,-19
