Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,UTA,MEM,0,-2,12.32,2,1,0,0,1,2,2,2,0,2,0,0,1,3,-12
2024-10-25,UTA,GSW,0,-41,17.8,9,3,7,2,1,1,2,3,0,0,0,1,0,9,-28
2024-10-28,UTA,DAL,1,-8,12.65,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4
2024-10-29,UTA,SAC,0,-17,15.7,8,4,5,3,0,0,1,3,1,0,0,1,1,11,13
2024-10-31,UTA,SAS,0,-18,14.52,3,2,2,1,0,0,0,3,1,0,0,2,0,5,8
2024-11-02,UTA,DEN,1,-26,16.05,6,3,4,2,2,2,0,0,1,1,0,3,1,10,-12
2024-11-04,UTA,CHI,1,9,10.15,3,1,2,0,0,0,0,1,0,0,0,3,0,2,-4
2024-11-07,UTA,MIL,1,-23,3.42,2,1,1,0,4,4,0,1,0,0,0,0,0,6,1
2024-11-12,UTA,PHO,0,-8,10.1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0
2024-11-21,UTA,SAS,1,-8,22.08,13,7,7,4,0,0,1,6,1,0,1,0,2,18,-19
2024-11-26,UTA,SAS,0,-13,26.53,11,6,7,4,0,0,0,0,0,1,0,3,1,16,-15
2024-11-27,UTA,DEN,0,-19,25.15,12,5,6,3,0,0,1,2,1,2,0,1,2,13,-18
2024-11-30,UTA,DAL,0,-12,22.9,12,4,9,3,2,2,3,6,1,2,0,1,2,13,-1
2024-12-01,UTA,LAL,0,-1,16.95,6,2,6,2,0,0,0,2,3,0,0,1,2,6,-16
2024-12-03,UTA,OKC,1,-27,19.65,5,2,3,1,1,1,0,2,1,0,0,5,2,6,-13
2024-12-06,UTA,POR,1,42,19.88,6,5,1,0,1,1,0,1,4,1,0,2,1,11,10
2024-12-08,UTA,SAC,1,-44,16.8,7,3,6,3,0,0,0,1,2,1,0,1,1,9,-30
2024-12-13,UTA,PHO,0,-8,12.67,4,3,4,3,0,0,0,1,0,0,0,1,1,9,-3
2024-12-16,UTA,LAC,1,-37,24.6,9,2,7,1,1,2,2,5,5,2,0,4,2,6,-17
2024-12-19,UTA,DET,1,7,12.42,3,2,2,1,0,0,0,5,2,0,0,1,2,5,5
2024-12-21,UTA,BRK,1,11,18.25,8,3,4,1,1,1,1,4,2,1,1,0,0,8,4
