Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,TOR,CLE,0,-30,15.42,6,3,0,0,0,0,2,7,1,0,0,1,4,6,-10
2024-10-25,TOR,PHI,0,8,7.62,2,0,0,0,2,2,4,6,0,0,1,3,2,2,-9
2024-10-26,TOR,MIN,1,-11,12.32,4,2,0,0,2,2,2,3,1,1,2,2,3,6,5
2024-10-30,TOR,CHO,1,-5,3.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-10
2024-11-04,TOR,DEN,1,-2,3.0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,6
2024-11-06,TOR,SAC,1,-15,2.53,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2024-11-09,TOR,LAC,1,-2,8.5,3,2,0,0,0,0,1,2,3,0,1,0,5,4,9
2024-11-10,TOR,LAL,1,-20,10.48,2,2,0,0,0,0,0,0,0,0,1,0,2,4,-10
2024-11-12,TOR,MIL,1,-14,17.68,9,4,0,0,0,0,5,13,2,0,2,0,0,8,-10
2024-11-15,TOR,DET,0,-4,10.45,2,1,0,0,1,2,0,2,1,0,0,2,0,3,0
2024-11-16,TOR,BOS,1,-3,8.58,4,2,0,0,0,0,1,2,2,0,0,2,0,4,0
2024-11-24,TOR,CLE,1,-14,1.05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2
2024-11-25,TOR,DET,1,-2,14.43,7,4,0,0,1,2,3,4,5,0,0,0,4,9,13
2024-11-27,TOR,NOP,1,26,6.28,3,2,0,0,0,0,1,1,0,1,0,1,2,4,-1
2024-12-05,TOR,OKC,0,-37,19.28,2,2,0,0,0,0,0,7,1,1,2,3,2,4,-2
