Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,NOP,CHI,0,12,29.95,19,9,11,5,0,0,0,2,5,1,1,0,1,23,18
2024-10-25,NOP,POR,1,2,39.87,17,8,9,4,0,0,0,2,3,4,1,1,2,20,9
2024-10-27,NOP,POR,1,-22,35.85,21,10,10,3,4,6,0,4,3,4,0,3,2,27,-29
2024-10-29,NOP,GSW,1,-18,31.2,8,2,4,1,0,0,1,6,5,0,2,4,1,5,-7
2024-11-25,NOP,IND,1,-4,30.5,20,9,10,3,2,2,0,4,1,0,0,2,2,23,-13
2024-11-27,NOP,TOR,0,-26,29.9,20,7,11,4,1,3,1,3,4,0,0,2,1,19,-20
2024-11-29,NOP,MEM,1,-11,35.55,19,11,7,3,5,8,2,4,2,1,0,1,3,30,0
2024-12-01,NOP,NYK,1,-33,25.2,16,6,3,0,1,1,1,3,3,1,0,0,2,13,-22
2024-12-02,NOP,ATL,1,-12,34.62,26,12,11,3,2,4,2,6,2,1,0,1,4,29,-7
2024-12-05,NOP,PHO,0,2,37.32,18,9,9,3,4,6,0,3,6,2,0,0,4,25,4
2024-12-07,NOP,OKC,0,-10,37.72,19,5,9,0,1,2,2,5,8,2,2,2,3,11,7
2024-12-08,NOP,SAS,1,-5,34.22,18,8,8,3,0,0,0,4,5,0,0,2,2,19,-16
2024-12-12,NOP,SAC,0,-2,36.97,24,14,11,6,2,2,0,3,3,0,0,2,2,36,-4
2024-12-15,NOP,IND,1,-15,30.92,18,6,5,1,2,2,2,3,2,1,0,3,6,15,-10
2024-12-19,NOP,HOU,1,-20,33.9,17,6,5,1,5,6,0,5,6,1,0,3,3,18,-16
2024-12-21,NOP,NYK,0,-11,32.35,13,5,4,0,3,4,2,5,4,1,1,2,1,13,-10
2024-12-22,NOP,DEN,0,-3,38.52,21,8,10,4,4,6,0,6,9,1,1,2,2,24,0
2024-12-26,NOP,HOU,0,-17,26.85,12,5,5,2,1,2,1,2,3,0,0,1,2,13,-13
2024-12-27,NOP,MEM,0,-8,34.52,22,12,8,3,5,5,1,5,4,1,1,1,5,32,-16
2024-12-30,NOP,LAC,0,-3,39.1,25,12,14,8,1,2,0,2,4,1,0,4,2,33,6
2025-01-01,NOP,MIA,1,-11,34.32,16,9,5,1,3,5,1,4,5,0,1,1,1,22,-12
2025-01-03,NOP,WAS,0,12,30.67,27,18,16,10,4,4,1,3,2,0,0,1,2,50,21
2025-01-05,NOP,WAS,1,12,35.72,18,9,11,6,1,2,0,3,3,0,1,3,1,25,-5
2025-01-07,NOP,MIN,0,-7,30.05,14,1,7,1,2,3,0,2,2,0,1,0,3,5,-15
2025-01-08,NOP,POR,0,-19,27.1,17,10,7,3,0,0,0,2,2,0,0,2,3,23,-17
2025-01-10,NOP,PHI,1,8,34.8,24,13,11,6,6,11,2,3,3,0,0,1,0,38,2
2025-01-12,NOP,BOS,1,-1,37.92,15,5,6,1,2,3,1,4,5,0,1,1,4,13,11
2025-01-14,NOP,CHI,1,6,29.43,13,3,7,2,0,0,2,4,5,1,0,0,3,8,-8
2025-01-15,NOP,DAL,0,3,33.5,14,4,7,1,2,2,0,0,2,1,2,2,0,11,10
2025-01-17,NOP,UTA,0,13,29.92,16,8,12,6,4,5,1,5,4,1,0,2,3,26,16
2025-01-20,NOP,UTA,0,4,43.67,31,18,12,5,4,4,0,8,4,0,3,2,3,45,2
2025-01-24,NOP,MEM,1,-13,33.98,11,6,5,3,7,11,0,1,4,0,1,2,3,22,-10
2025-01-25,NOP,CHO,1,-31,22.77,13,3,6,1,2,2,1,2,3,0,0,2,2,9,-13
2025-01-27,NOP,TOR,1,-9,36.47,21,9,7,2,2,4,0,7,2,2,0,2,2,22,-16
2025-01-29,NOP,DAL,0,-1,35.83,21,9,7,3,2,2,1,3,8,1,0,1,2,23,11
2025-01-31,NOP,BOS,0,-2,33.9,19,8,7,1,0,1,0,2,1,1,0,2,2,17,-2
2025-02-03,NOP,DEN,1,-12,34.87,22,10,9,5,5,5,0,6,5,0,1,3,4,30,-3
2025-02-05,NOP,DEN,1,-25,27.6,14,6,6,3,4,4,1,1,3,1,0,3,0,19,-23
2025-02-08,NOP,SAC,1,-5,33.38,19,10,11,6,5,6,0,6,3,1,2,3,2,31,5
2025-02-12,NOP,SAC,0,-8,30.63,17,7,5,0,0,0,1,3,3,0,0,2,3,14,-23
2025-02-13,NOP,SAC,0,7,41.17,25,16,12,7,4,6,2,7,2,0,0,2,1,43,8
