Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,5.35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-13
2024-10-26,ORL,MEM,1,-13,4.88,3,2,3,2,0,0,0,0,0,0,0,0,1,6,11
2024-11-01,ORL,CLE,1,-11,4.13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7
2024-11-03,ORL,DAL,1,-23,6.98,3,1,0,0,0,0,1,2,0,0,0,0,1,2,3
2024-11-04,ORL,OKC,1,-16,9.08,3,0,3,0,0,0,0,1,0,0,0,0,1,0,-5
2024-11-08,ORL,NOP,0,27,3.03,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3
2024-11-10,ORL,WAS,0,27,3.77,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-4
2024-11-12,ORL,CHO,0,25,4.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
2024-11-15,ORL,PHI,0,12,1.22,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
2024-11-20,ORL,LAC,1,-11,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-11-23,ORL,DET,0,11,5.6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-8
2024-11-27,ORL,CHI,0,14,4.42,0,0,0,0,2,2,0,0,0,0,0,0,0,2,-8
2024-11-29,ORL,BRK,1,23,2.67,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0
2024-12-03,ORL,NYK,1,-15,7.22,2,1,2,1,0,0,0,0,0,0,1,0,0,3,14
2024-12-06,ORL,PHI,1,-8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-12-08,ORL,PHO,0,5,18.13,4,3,3,2,0,0,1,2,0,0,0,0,0,8,-16
2024-12-10,ORL,MIL,1,-5,4.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2
2024-12-15,ORL,NYK,0,-9,5.72,2,1,2,1,0,0,0,0,0,0,0,0,0,3,-1
2024-12-21,ORL,MIA,0,7,11.52,3,0,2,0,0,0,0,0,1,0,0,0,0,0,-9
2024-12-27,ORL,NYK,0,-23,4.53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2024-12-29,ORL,BRK,0,1,15.37,5,3,4,3,3,3,0,0,1,1,0,0,3,12,9
2025-01-01,ORL,DET,1,-9,27.3,4,1,4,1,0,0,1,2,1,2,0,0,3,3,6
2025-01-03,ORL,TOR,1,9,24.42,5,2,4,2,0,0,1,3,1,1,1,0,1,6,7
2025-01-05,ORL,UTA,0,-13,24.78,10,3,10,3,0,0,1,2,0,2,0,0,1,9,3
2025-01-06,ORL,NYK,1,9,15.98,3,0,3,0,0,0,0,1,1,0,0,1,2,0,-5
2025-01-09,ORL,MIN,0,-15,33.03,7,4,6,4,2,2,0,1,1,0,0,2,3,14,-4
2025-01-10,ORL,MIL,0,-3,29.47,5,2,4,1,0,0,2,3,2,0,0,0,5,5,-3
2025-01-12,ORL,PHI,0,5,25.7,7,2,6,1,0,0,0,1,0,1,0,1,4,5,-3
2025-01-15,ORL,MIL,1,-29,24.47,8,2,7,2,2,2,1,2,2,0,0,0,1,8,-24
2025-01-17,ORL,BOS,1,-27,14.35,3,0,3,0,0,0,0,0,0,0,0,0,1,0,-2
2025-01-19,ORL,DEN,0,-13,16.0,3,2,3,2,0,0,0,0,1,0,0,0,2,6,-2
2025-01-21,ORL,TOR,1,-16,27.73,5,1,4,1,0,0,4,8,2,0,0,0,3,3,-26
2025-01-23,ORL,POR,0,-22,11.7,2,0,2,0,0,0,1,1,0,0,0,0,0,0,-9
2025-01-30,ORL,POR,1,-29,4.8,2,1,1,0,0,0,0,1,0,0,0,0,0,2,-8
2025-02-05,ORL,SAC,1,19,7.03,3,1,2,1,0,0,0,1,0,0,0,0,1,3,-10
2025-02-06,ORL,DEN,1,-22,7.47,1,0,1,0,1,2,0,1,0,0,0,0,0,1,7
2025-02-12,ORL,CHO,0,16,12.0,3,2,3,2,0,0,0,1,0,1,0,0,0,6,4
2025-02-23,ORL,WAS,0,20,9.8,1,1,1,1,0,0,0,1,0,0,0,0,2,3,7
