Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHI,MIL,0,-15,37.45,10,5,1,0,2,2,4,9,3,0,1,3,4,12,-20
2024-10-25,PHI,TOR,1,-8,33.78,6,2,1,0,7,10,4,5,4,0,1,3,4,11,2
2024-10-27,PHI,IND,1,4,36.83,16,6,5,1,4,6,4,12,1,1,0,5,4,17,-5
2024-10-30,PHI,DET,0,-10,32.58,10,2,3,1,2,4,1,5,1,0,0,2,4,7,1
2024-11-02,PHI,MEM,0,-17,27.7,7,1,3,0,7,10,1,3,3,1,1,2,1,9,-26
2024-11-04,PHI,PHO,1,-2,39.03,6,2,3,1,0,0,3,10,5,1,0,0,2,5,7
2024-11-06,PHI,LAC,1,-12,30.75,10,4,4,1,5,10,0,2,2,1,0,1,1,14,-11
2024-11-08,PHI,LAL,1,-10,26.17,6,5,4,3,0,0,1,3,5,0,0,2,0,13,-3
2024-11-10,PHI,CHO,0,2,41.08,5,1,2,1,2,2,1,5,3,4,0,2,2,5,1
2024-11-12,PHI,NYK,0,-12,35.92,10,7,3,1,2,2,0,2,3,4,0,1,2,17,-14
