Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,BRK,ATL,1,-4,32.02,10,4,6,1,5,6,0,4,0,1,1,0,3,14,-10
2024-10-25,BRK,ORL,1,-15,35.4,12,4,10,2,2,3,1,2,2,0,1,2,4,12,-14
2024-10-27,BRK,MIL,0,13,28.52,12,5,9,3,0,0,0,6,3,2,0,1,3,13,2
2024-10-29,BRK,DEN,0,-5,39.82,14,7,10,6,0,0,1,7,5,1,0,0,2,20,-12
2024-10-30,BRK,MEM,1,13,35.23,12,4,8,4,2,2,0,2,4,0,1,0,3,14,2
2024-11-01,BRK,CHI,0,8,31.75,11,5,7,2,2,2,0,6,5,1,0,0,1,14,0
2024-11-03,BRK,DET,0,-14,30.07,19,9,12,3,5,6,0,1,3,1,1,0,3,26,-5
2024-11-04,BRK,MEM,0,2,36.05,11,8,4,3,1,2,1,3,2,0,0,0,2,20,16
2024-11-08,BRK,BOS,1,-4,39.58,13,6,8,3,3,3,2,8,4,0,0,0,2,18,1
2024-11-09,BRK,CLE,1,-5,31.3,13,8,7,4,3,3,1,5,1,0,0,0,0,23,4
