Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CLE,TOR,1,30,20.63,9,8,2,2,1,2,0,1,4,0,0,0,1,19,19
2024-10-25,CLE,DET,0,12,19.6,7,4,2,1,0,2,1,3,2,3,1,0,1,9,7
2024-10-26,CLE,WAS,1,19,19.18,4,3,2,2,2,2,0,0,4,0,2,0,1,10,6
2024-10-28,CLE,NYK,1,6,26.28,4,1,2,0,3,4,1,4,3,2,0,2,1,5,19
2024-10-30,CLE,LAL,0,24,21.83,8,6,6,4,0,0,0,0,6,1,0,1,2,16,20
2024-11-01,CLE,ORL,0,11,22.33,12,5,7,2,1,2,0,3,7,0,0,2,2,13,18
2024-11-06,CLE,NOP,1,9,27.78,13,7,4,2,0,0,2,6,6,1,0,1,0,16,6
2024-11-08,CLE,GSW,0,19,21.22,5,2,3,2,2,2,2,7,4,3,1,1,0,8,16
2024-11-09,CLE,BRK,0,5,31.38,11,6,4,0,0,0,0,2,6,1,2,1,2,12,19
2024-11-11,CLE,CHI,1,6,24.15,7,3,4,2,4,5,0,2,3,1,0,1,0,12,1
2024-11-13,CLE,PHI,1,8,24.98,8,2,4,1,2,2,0,3,3,1,1,1,1,7,6
2024-11-15,CLE,CHI,0,18,26.07,10,7,5,4,4,5,1,3,8,0,0,2,2,22,18
2024-11-17,CLE,CHO,0,14,31.65,5,1,3,0,2,2,2,4,2,0,0,2,5,4,-7
