Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,OKC,DEN,1,15,35.78,18,11,5,0,3,5,4,14,5,2,4,2,2,25,9
2024-10-26,OKC,CHI,1,19,28.77,18,8,5,0,5,8,3,16,0,1,2,2,2,21,8
2024-10-27,OKC,ATL,0,24,33.28,12,8,5,3,6,8,2,9,4,1,6,3,2,25,19
2024-10-30,OKC,SAS,0,12,27.82,10,7,3,3,2,2,0,5,2,2,2,5,3,19,8
2024-11-01,OKC,POR,1,23,18.38,3,1,2,0,4,4,0,1,3,1,5,2,4,6,12
2024-11-02,OKC,LAC,1,13,29.35,9,3,4,1,3,4,1,14,4,1,1,3,0,10,11
2024-11-04,OKC,ORL,0,16,21.5,10,5,2,1,3,5,2,9,1,0,2,2,1,14,15
2024-11-06,OKC,DEN,1,-2,35.55,14,5,3,2,3,3,3,10,0,0,1,3,3,15,-11
2024-11-08,OKC,HOU,0,19,29.15,14,8,6,4,9,10,1,5,1,0,3,1,1,29,16
2024-11-10,OKC,GSW,0,-11,5.17,3,0,2,0,0,0,0,4,0,0,0,0,0,0,4
2025-02-07,OKC,TOR,0,12,22.03,5,2,1,0,0,0,0,5,1,2,4,1,3,4,22
2025-02-10,OKC,NOP,0,36,24.9,10,4,5,2,2,4,0,6,0,1,5,2,3,12,5
2025-02-13,OKC,MIN,1,-15,30.08,7,3,2,1,4,6,4,12,2,2,2,2,2,11,-3
2025-02-21,OKC,UTA,1,23,27.88,15,7,4,1,5,6,4,7,1,0,3,2,2,20,17
2025-02-23,OKC,MIN,1,7,27.62,11,8,4,3,0,0,1,4,1,0,3,1,2,19,4
2025-02-26,OKC,BRK,1,8,32.05,12,7,4,2,6,7,4,17,4,2,3,0,1,22,14
2025-02-28,OKC,ATL,1,16,14.83,8,3,4,0,1,2,0,4,3,0,0,1,0,7,12
2025-03-03,OKC,HOU,0,9,30.05,11,4,3,0,3,4,3,11,3,2,3,4,4,11,7
